Company,Job,Salary,Location,Year
CSM CY LYNNWOOD LLC,FRONT DESK MANAGER,40000.0,"LYNNWOOD, WA",2015
VALIANTICA INC,FRONT END DEVELOPER,60000.0,"SAN JOSE, CA",2015
AVCO CONSULTING INC,FRONT END DEVELOPER,71802.0,"WORCESTER, MA",2015
AMERICAN UNIT INC,FRONT END DEVELOPER,76107.0,"REDWOOD CITY, CA",2015
IBM CORPORATION,FRONT END DEVELOPER,76294.0,"AUSTIN, TX",2015
IBM CORPORATION,FRONT END DEVELOPER,76294.0,"AUSTIN, TX",2015
HYADES TECHNOLOGY INC,FRONT END DEVELOPER,78000.0,"SAN JOSE, CA",2015
HYADES TECHNOLOGY INC,FRONT END DEVELOPER,78000.0,"CUPERTINO, CA",2015
TRACKR INC,FRONT END DEVELOPER,90000.0,"SANTA BARBARA, CA",2015
CYRUS BIOTECHNOLOGY INC,FRONT END DEVELOPER,90000.0,"SEATTLE, WA",2015
SUN LIFE FINANCIAL (US) SERVICES COMPANY INC,FRONT END DEVELOPER,94000.0,"WELLESLY HILLS, MA",2015
EXPEDIA INC,FRONT END DEVELOPER,96866.0,"SAN FRANCISCO, CA",2015
EXPEDIA INC,FRONT END DEVELOPER,96866.0,"SAN FRANCISCO, CA",2015
TROVE PREDICTIVE DATA SCIENCE LLC,FRONT END DEVELOPER,97000.0,"FOSTER CITY, CA",2015
OMAZE INC,FRONT END DEVELOPER,105000.0,"CULVER CITY, CA",2015
KARMA AUTOMOTIVE LLC,FRONT END DEVELOPER - CONNECTED CAR,93000.0,"COSTA MESA, CA",2015
FACEBOOK INC,FRONT END ENGINEER,100000.0,"MENLO PARK, CA",2015
YIELDMO INC,FRONT END ENGINEER,110000.0,"NEW YORK, NY",2015
CLUBHOUSE SOFTWARE INC,FRONT END ENGINEER,112000.0,"NEW YORK, NY",2015
PROSPER MARKETPLACE INC,FRONT END ENGINEER,117603.0,"SAN FRANCISCO, CA",2015
FACEBOOK INC,FRONT END ENGINEER,125000.0,"MENLO PARK, CA",2015
STAND TECHNOLOGIES INC,FRONT END ENGINEER,125000.0,"SAN FRANCISCO, CA",2015
DAILYMOTION INC,FRONT END ENGINEER,130666.0,"NEW YORK, NY",2015
SHUTTERSTOCK INC,FRONT END ENGINEER,130666.0,"NEW YORK, NY",2015
BEEPI INC,FRONT END ENGINEER,135000.0,"LOS ALTOS, CA",2015
ACER CLOUD TECHNOLOGY INC,FRONT END ENGINEER,140000.0,"SUNNYVALE, CA",2015
THERANOS INC,FRONT END ENGINEER,142376.0,"PALO ALTO, CA",2015
FACEBOOK INC,FRONT END ENGINEER,150000.0,"MENLO PARK, CA",2015
FACEBOOK INC,FRONT END ENGINEER,160000.0,"MENLO PARK, CA",2015
PRUDENTIAL INSURANCE COMPANY OF AMERICA,FRONT END SOFTWARE DEVELOPER,64700.0,"NEWARK, NJ",2015
PRUDENTIAL INSURANCE COMPANY OF AMERICA,FRONT END SOFTWARE ENGINEER,64700.0,"NEWARK, NJ",2015
PRUDENTIAL INSURANCE COMPANY OF AMERICA,FRONT END SOFTWARE ENGINEER,64700.0,"NEWARK, NJ",2015
DEX ONE SERVICE INC A DEX MEDIA COMPANY,FRONT END SOFTWARE ENGINEER,104000.0,"SANTA MONICA, CA",2015
TIE COMMERCE INC,FRONT END WEB DEVELOPER,73840.0,"TEWKSBURY, MA",2015
TIE COMMERCE INC,FRONT END WEB DEVELOPER,73840.0,"TEWKSBURY, MA",2015
MAN INVESTMENTS USA HOLDINGS INC,FRONT OFFICE APPLICATION SUPPORT ANALYST,130000.0,"NEW YORK, NY",2015
CAXTON ASSOCIATES LP,FRONT OFFICE DEVELOPMENT AND ARCHITECTURE,100000.0,"NEW YORK, NY",2015
COLUMBIA SUSSEX MANAGEMENT LLC,FRONT OFFICE MANAGER,50320.0,"SADDLE BROOK, NJ",2015
COLUMBIA SUSSEX MANAGEMENT LLC,FRONT OFFICE MANAGER,48000.0,"CHICAGO, IL",2015
PIONEER CONSULTING SERVICES LLC,FRONT-END DEVELOPER,75000.0,"PHONIEX, AZ",2015
BRIDGEWORK PARTNERS LLC,FRONT-END DEVELOPER,101920.0,"IRVING, TX",2015
INSTICATOR INC,FRONT-END ENGINEER,90000.0,"NEW YORK, NY",2015
SKILLSHARE INC,FRONT-END ENGINEER,110000.0,"NEW YORK, NY",2015
PINTEREST INC,FRONT-END ENGINEER,117603.0,"SAN FRANCISCO, CA",2015
HANDSHAKE CORP,FRONT-END ENGINEER,120000.0,"NEW YORK, NY",2015
PINTEREST INC,FRONT-END SOFTWARE ENGINEER,117603.0,"SAN FRANCISCO, CA",2015
RENTLYTICS INC,FRONT-END SOFTWARE ENGINEER,140000.0,"SAN FRANCISCO, CA",2015
HOUZZ INC,FRONT-END SOFTWARE ENGINEER,145000.0,"PALO ALTO, CA",2015
AVCO CONSULTING INC,FRONTEND WEB DEVELOPER,69160.0,"WORCESTER, MA",2015
