Company,Job,Salary,Location,Year
SYSTEMS TECHNOLOGY GROUP INC,TESTING ANALYST,53540.0,"DEARBORN, MI",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,75000.0,"WILMINGTON, DE",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,75000.0,"WILMINGTON, DE",2015
STERIS CORPORATION,TESTING ENGINEER,80000.0,"POINT RICHMOND, CA",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,103000.0,"WILMINGTON, DE",2015
IBM INDIA PRIVATE LIMITED,TESTING QA CONSULTANT,68370.0,"RICHARDSON, TX",2015
CAPITAL ONE SERVICES II LLC,TESTING SPECIALIST,65000.0,"WILMINGTON, DE",2015
CAPITAL ONE NATIONAL ASSOCIATION,TESTING SPECIALIST,77700.0,"RICHMOND, VA",2015
QUALITY SOFTWARE SERVICES INC,TESTING SPECIALIST,86595.0,"COLUMBIA, MD",2015
QUALITY SOFTWARE SERVICES INC,TESTING SPECIALIST,86595.0,"COLUMBIA, MD",2015
CITICORP CREDIT SERVICES INC (USA),TESTING TECHNICAL SPECIALIST,98000.0,"FLORENCE, KY",2015
ARKSTEK INC,QA,71282.0,"MORRISVILLE, NC",2015
