Company,Job,Salary,Location,Year
KSN TECHNOLOGIES INC,SECURITY ADMINISTRATOR,78000.0,"CHICAGO, IL",2015
KPK TECHNOLOGIES INC,SECURITY ANALYST,76253.0,"WEST CHESTER, PA",2015
BLUE BAY TECHNOLOGIES LLC,SECURITY ARCHITECT,130000.0,"EXCELSIOR, MN",2015
BLUE BAY TECHNOLOGIES LLC,SECURITY ARCHITECT,130000.0,"JERSEY CITY, NJ",2015
BLUE BAY TECHNOLOGIES LLC,SECURITY ARCHITECT,130000.0,"JERSEY CITY, NJ",2015
JASK LABS INC,SECURITY ARCHITECT,145000.0,"PALO ALTO, CA",2015
NXP SEMICONDUCTORS USA INC,SECURITY ARCHITECT,157567.0,"SAN JOSE, CA",2015
TIVO INC,SECURITY ARCHITECT,180000.0,"SAN JOSE, CA",2015
CIGITAL INC,SECURITY CONSULTANT,70000.0,"BLOOMINGTON, IN",2015
VALTECH SERVICES INC,SECURITY EGINEER,150000.0,"PLANO, TX",2015
ALLIANCEBERNSTEIN LP,SECURITY ENGINEER,65000.0,"NEW YORK, NY",2015
SECURITY INNOVATION INC,SECURITY ENGINEER,72000.0,"WILMINGTON, MA",2015
BAZAARVOICE INC,SECURITY ENGINEER,95000.0,"AUSTIN, TX",2015
VIRTELA TECHNOLOGY SERVICES INC,SECURITY ENGINEER,100000.0,"GREENWOOD VILLAGE, CO",2015
WYNDHAM WORLDWIDE OPERATIONS INC,SECURITY ENGINEER,101483.0,"PHOENIX, AZ",2015
LOOKOUT INC,SECURITY ENGINEER,110000.0,"SAN FRANCISCO, CA",2015
APPLE INC,SECURITY ENGINEER,120000.0,"CUPERTINO, CA",2015
APPLE INC,SECURITY ENGINEER,120349.0,"CUPERTINO, CA",2015
GOOGLE INC,SECURITY ENGINEER,120900.0,"SEATTLE, WA",2015
GOOGLE INC,SECURITY ENGINEER,126445.0,"MOUNTAIN VIEW, CA",2015
VALTECH SERVICES INC,SECURITY ENGINEER,150000.0,"PLANO, TX",2015
GOOGLE INC,SECURITY ENGINEER,153000.0,"MOUNTAIN VIEW, CA",2015
GOOGLE INC,SECURITY ENGINEER,162864.0,"KIRKLAND, WA",2015
AMAZON CORPORATE LLC,SECURITY ENGINEER I,72300.0,"SEATTLE, WA",2015
FIRST DATA TECHNOLOGIES INC,SECURITY ENGINEER I,90000.0,"GREENWOOD, CO",2015
FIRST DATA TECHNOLOGIES INC,SECURITY ENGINEER I,97375.0,"NORTH OLMSTED, OH",2015
ZOLON TECH SOLUTIONS INC,SECURITY ENGINEER II,94245.0,"COLUMBIA, MD",2015
AMAZON CORPORATE LLC,SECURITY ENGINEER II,96300.0,"SEATTLE, WA",2015
AMAZON WEB SERVICES INC,SECURITY ENGINEER MANAGER,116400.0,"SEATTLE, WA",2015
PINNACLE TECHNICAL RESOURCES INC,SECURITY ENGINEER-JUNOS,76000.0,"NASHVILLE, TN",2015
APPLE INC,SECURITY HARDWARE INTEGRATION ENGINEER,120000.0,"CUPERTINO, CA",2015
RIGHTCROWD SOFTWARE INC,SECURITY MANAGEMENT SPECIALIST,75000.0,"SEATTLE, WA",2015
HARMAN BECKER AUTOMOTIVE SYSTEMS INC,SECURITY PENETRATION TESTER,103000.0,"NOVI, MI",2015
HARMAN BECKER AUTOMOTIVE SYSTEMS INC,SECURITY PENETRATION TESTER,103000.0,"NOVI, MI",2015
VECTRA NETWORKS INC,SECURITY RESEARCH ENGINEER,160000.0,"SAN JOSE, CA",2015
INTEL CORPORATION,SECURITY RESEARCHER,73757.0,"HILLSBORO, OR",2015
INTEL CORPORATION,SECURITY RESEARCHER,88130.0,"HILLSBORO, OR",2015
MICROSOFT CORPORATION,SECURITY SOFTWARE ENGINEER,112000.0,"REDMOND, WA",2015
MICROSOFT CORPORATION,SECURITY SOFTWARE ENGINEER,126941.0,"REDMOND, WA",2015
BLOOMBERG LP,SECURITY SOFTWARE ENGINEER,160000.0,"NEW YORK, NY",2015
IBM INDIA PRIVATE LIMITED,SECURITY SOLUTIONS ARCHITECT,108938.0,"CAMBRIDGE, MA",2015
PROTECTION ONE ALARM MONITORING INC,SECURITY SYSTEMS SUPPORT ENGINEER,51000.0,"WICHITA, KS",2015
AIRWATCH LLC,SECURITY TECHNICAL ANALYST,112000.0,"ATLANTA, GA",2015
