Company,Job,Salary,Location,Year
ADECCO GROUP NA/MODIS INC,DEVOPS ENGINEER,108000.0,"COLUMBUS, OH",2015
TEK LEADERS INC,DEVOPS ENGINEER,60112.0,"HENRICO, VA",2015
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,DEVOPS ENGINEER,87999.0,"SHREWSBURY, MA",2015
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,DEVOPS ENGINEER,87999.0,"SHREWSBURY, MA",2015
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS ENGINEER,92248.0,"RESTON, VA",2015
DIVX LLC,DEVOPS ENGINEER,97000.0,"SAN DIEGO, CA",2015
GALAXY I TECHNOLOGIES INC,DEVOPS ENGINEER,98400.0,"SUNNYVALE, CA",2015
SLALOM LLC,DEVOPS ENGINEER,100000.0,"WESTWOOD, MA",2015
SLALOM LLC,DEVOPS ENGINEER,100000.0,"BOSTON, MA",2015
INTEGRATION APPLIANCE INC,DEVOPS ENGINEER,104909.0,"PALO ALTO, CA",2015
GALAXY I TECHNOLOGIES INC,DEVOPS ENGINEER,120500.0,"SUNNYVALE, CA",2015
ASCEND MANAGEMENT CONSULTING LLC,DEVOPS ENGINEER,121202.0,"HOUSTON, TX",2015
ONCAM INC,DEVOPS ENGINEER,125004.0,"LOS ANGELES, CA",2015
KOHL&#39;S DEPARTMENT STORES INC,DEVOPS ENGINEER,130000.0,"MILPITAS, CA",2015
DANLAW INC,DEVOPS ENGINEER,140000.0,"NOVI, MI",2015
GLOBANT LLC,DEVOPS ENGINEER,150000.0,"REDWOOD, CA",2015
TARGET CORPORATE SERVICES INC,DEVOPS ENGINEER DIGITAL,92685.0,"MINNEAPOLIS, MN",2015
ZENDESK INC,DEVOPS MANAGER,170000.0,"SAN FRANCISCO, CA",2015
PAYCOR INC,DEVOPS SUPPORT ENGINEER,85883.0,"FRISCO, TX",2015
BANK OF THE WEST,DEVOPS SYSTEMS ENGINEER,130000.0,"SAN RAMON, CA",2015
KCG AMERICAS LLC,"DEVOPS, ETG TECHNICAL OPERATIONS",126000.0,"JERSEY CITY, NJ",2015
