Company,Job,Salary,Location,Year
SYSTEMS TECHNOLOGY GROUP INC,TESTING ANALYST,53540.0,"DEARBORN, MI",2015
IBM INDIA PRIVATE LIMITED,TESTING COORDINATOR,66040.0,"RICHMOND, VA",2015
IBM INDIA PRIVATE LIMITED,TESTING COORDINATOR,66040.0,"RICHMOND, VA",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,75000.0,"WILMINGTON, DE",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,75000.0,"WILMINGTON, DE",2015
STERIS CORPORATION,TESTING ENGINEER,80000.0,"POINT RICHMOND, CA",2015
BARCLAYS BANK DELAWARE,TESTING ENGINEER,103000.0,"WILMINGTON, DE",2015
DELL MARKETING LP,TESTING ENGINEERING ADVISOR,89350.0,"PHOENIX, AZ",2015
DELL MARKETING LP,TESTING ENGINEERING ADVISOR,95000.0,"QUINCY, MA",2015
DELL MARKETING LP,TESTING ENGINEERING ADVISOR,98821.0,"QUINCY, MA",2015
DELL MARKETING LP,TESTING ENGINEERING SENIOR ADVISOR,106475.0,"WELLESLEY, MA",2015
DELL MARKETING LP,TESTING ENGINEERING SR. ANALYST,71050.0,"EDEN PRAIRIE, MN",2015
PROLIFICS TESTING INC,TESTING LEAD,80000.0,"FREMONT, CA",2015
QUALITY SOFTWARE SERVICES INC,TESTING LEAD,100450.0,"LEXINGTON, SC",2015
QUALITY SOFTWARE SERVICES INC,TESTING LEAD,100450.0,"LEXINGTON, SC",2015
TECH MATRIX INC,TESTING LEAD CONSULTANT,70000.0,"STAMFORD, CT",2015
IBM INDIA PRIVATE LIMITED,TESTING QA CONSULTANT,68370.0,"RICHARDSON, TX",2015
GLOBAL RESOURCE MANAGEMENT INC,TESTING SENIOR QUALITY ASSURANCE ANALYST,72820.0,"PISCATAWAY, NJ",2015
CAPITAL ONE SERVICES II LLC,TESTING SPECIALIST,65000.0,"WILMINGTON, DE",2015
CAPITAL ONE NATIONAL ASSOCIATION,TESTING SPECIALIST,77700.0,"RICHMOND, VA",2015
QUALITY SOFTWARE SERVICES INC,TESTING SPECIALIST,86595.0,"COLUMBIA, MD",2015
QUALITY SOFTWARE SERVICES INC,TESTING SPECIALIST,86595.0,"COLUMBIA, MD",2015
CITICORP CREDIT SERVICES INC (USA),TESTING TECHNICAL SPECIALIST,98000.0,"FLORENCE, KY",2015
ARKSTEK INC,QA,71282.0,"MORRISVILLE, NC",2015
