Company,Job,Salary,Location,Year
SELECT SOURCE INTERNATIONAL,CLOUD ARCHITECT,111920.0,"PLEASANTON, CA",2016
INTERNATIONAL TECHNOLOGIES PRO LLC,CLOUD ARCHITECT,60000.0,"PLEASANTON, CA",2016
COLLABORATIVE SYSTEMS INC,CLOUD ARCHITECT,70000.0,"CHESTERBROOK, PA",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,78125.0,"SPARTANBURG, SC",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,78125.0,"SPARTANBURG, SC",2016
NASSCOMM INC,CLOUD ARCHITECT,80998.0,"IRVING, TX",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,82000.0,"SPARTANBURG, SC",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,82000.0,"SPARTANBURG, SC",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
AYDA LABS INC,CLOUD ARCHITECT,90000.0,"FREMONT, CA",2016
S CUBE SOFT INC,CLOUD ARCHITECT,92000.0,"ENGLEWOOD CLIFFS, NJ",2016
POWERPLAN INC,CLOUD ARCHITECT,92851.0,"ATLANTA, GA",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,95000.0,"SPARTANBURG, SC",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,95000.0,"SPARTANBURG, SC",2016
UNITED GUARANTY CORPORATION,CLOUD ARCHITECT,125300.0,"GREENSBORO, NC",2016
JASPER TECHNOLOGIES INC,CLOUD ARCHITECT,170000.0,"SANTA CLARA, CA",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT IAAS,90000.0,"PRINCETON, NJ",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT IAAS,95000.0,"PRINCETON, NJ",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT PAAS,90000.0,"PRINCETON, NJ",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT PAAS,130000.0,"PRINCETON, NJ",2016
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT PAAS,145000.0,"PRINCETON, NJ",2016
