Company,Job,Salary,Location,Year
STROZ FRIEDBERG LLC,CYBER ASSOCIATE,73611.0,"SAN FRANCISCO, CA",2016
STROZ FRIEDBERG LLC,CYBER ASSOCIATE,80000.0,"LOS ANGELES, CA",2016
GRANT THORNTON LLP,CYBER RISK MANAGER,135000.0,"CHICAGO, IL",2016
PEPSICO INC,CYBER SECURITY - GLOBAL SECURITY SPLUNK ENGINEER,125000.0,"PLANO, TX",2016
SCHNEIDER ELECTRIC USA INC,CYBER SECURITY ANALYST,74859.0,"LAVERGNE, TN",2016
NETENRICH INC,CYBER SECURITY ANALYST,77605.0,"ADDISON, TX",2016
JPMORGAN CHASE &amp; CO,CYBER SECURITY ANALYST,92500.0,"NEW YORK, NY",2016
LIGHTSPEED TECHNOLOGIES INC,CYBER SECURITY ENGINEER,70000.0,"POWAY, CA",2016
OFI GLOBAL ASSET MANAGEMENT INC,CYBER SECURITY ENGINEER,69300.0,"CENTENNIAL, CO",2016
BLUECROSS BLUESHIELD OF TENNESSEE,CYBER SECURITY ENGINEER,71552.0,"CHATTANOOGA, TN",2016
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ENGINEER,75000.0,"HERNDON, VA",2016
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ENGINEER,80000.0,"HERNDON, VA",2016
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ENGINEER,80000.0,"HERNDON, VA",2016
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ENGINEER,80000.0,"HERNDON, VA",2016
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ENGINEER,90000.0,"HERNDON, VA",2016
BLUECROSS BLUESHIELD OF TENNESSEE,CYBER SECURITY OPERATIONS SPECIALIST,74755.0,"CHATTANOOGA, TN",2016
HONEYWELL INTERNATIONAL INC,CYBER SECURITY SOLUTIONS ARCHITECT,110000.0,"HOUSTON, TX",2016
DIGITS LLC,CYBER SECURITY SYSTEMS ENGINEER,54122.0,"BUFFALO, NY",2016
INSURANCE SERVICES OFFICE INC,CYBER THREAT MANAGER,105049.0,"JERSEY CITY, NJ",2016
FIREEYE INC,"CYBER THREAT RESEARCHER, IRAN",91104.0,"CHANTILLY, VA",2016
PACIFIC GAS AND ELECTRIC COMPANY,CYBER THREAT SPECIALIST INFORMATION SECURITY,172000.0,"SAN RAMON, CA",2016
MICROSOFT CORPORATION,CYBERSECURITY STRATEGIST,135000.0,"REDMOND, WA",2016
MICROSOFT CORPORATION,CYBERSECURITY STRATEGIST,135000.0,"REDMOND, WA",2016
BLUECROSS BLUESHIELD OF TENNESSEE,CYBERSECURITY TECHNOLOGY SOLUTION ARCHITECT,107890.0,"CHATTANOOGA, TN",2016
