Company,Job,Salary,Location,Year
BELL INFO SOLUTIONSLLC,DATA ANALAYST,65000.0,"EDEN PRAIRIE, MN",2016
ACCENZ LLC,DATA ANALSYT,60000.0,"TROY, MI",2016
ACCENZ LLC,DATA ANALSYT,60000.0,"TROY, MI",2016
ACCENZ LLC,DATA ANALSYT,61797.0,"NEW YORK, NY",2016
MESNAC AMERICAS CO LTD,DATA ANALYSIS &amp; MACHINE LEARNING ENGINEER,74589.0,"AKRON, OH",2016
MEGAPUTER INTELLIGENCE INC,DATA ANALYSIS CONSULTANT  STATISTICIAN,55000.0,"BLOOMINGTON, IN",2016
MEGAPUTER INTELLIGENCE INC,DATA ANALYSIS CONSULTANT  STATISTICIAN,59000.0,"BLOOMINGTON, IN",2016
MEGAPUTER INTELLIGENCE INC,DATA ANALYSIS CONSULTANT  STATISTICIAN,72000.0,"BLOOMINGTON, IN",2016
MEGAPUTER INTELLIGENCE INC,DATA ANALYSIS CONSULTANT  STATISTICIAN,73000.0,"BLOOMINGTON, IN",2016
RPS TEK SOL LLC,DATA ANALYSIS ENGINEER,75000.0,"NASHVILLE, TN",2016
IM FLASH TECHNOLOGIES LLC,DATA ANALYSIS ENGINEER,88796.0,"LEHI, UT",2016
SANTANDER BANK NA,DATA ANALYSIS SAS PROGRAM ANALYST,60000.0,"BOSTON, MA",2016
ARIZONA STATE UNIVERSITY,DATA ANALYSIS SPECIALIST,55997.0,"TEMPE, AZ",2016
NYC METRO REGIONAL CENTER LLC,DATA ANALYST,33380.0,"FLUSHING, NY",2016
LTS MD INC,DATA ANALYST,40000.0,"LANHAM, MD",2016
TDWANG ADVERTISING GROUP LLC,DATA ANALYST,41560.0,"SEATTLE, WA",2016
ADECCO GROUP NA/MODIS INC,DATA ANALYST,46000.0,"OLDSMAR, FL",2016
ADECCO GROUP NA/MODIS INC,DATA ANALYST,46000.0,"OLDSMAR, FL",2016
ADECCO GROUP NA/MODIS INC,DATA ANALYST,46000.0,"OLDSMAR, FL",2016
COPY SOLUTION INC,DATA ANALYST,46000.0,"MONTEREY PARK, CA",2016
A&#39;GACI LLC,DATA ANALYST,46120.0,"SAN ANTONIO, TX",2016
PEREION SOLUTIONS LLC,DATA ANALYST,50000.0,"READING, MA",2016
BROTHERS GLOBAL INC,DATA ANALYST,52000.0,"ACWORTH, GA",2016
RENOVATION CENTER INC,DATA ANALYST,52000.0,"NORCROSS, GA",2016
NAMEI GROUP INC,DATA ANALYST,52000.0,"FOREST HILLS, NY",2016
NAMEI GROUP INC,DATA ANALYST,52000.0,"FOREST HILLS, NY",2016
ALBERT EINSTEIN COLLEGE OF MEDICINE,DATA ANALYST,53160.0,"BRONX,NEW YORK, NY",2016
POPULUS GROUP LLC,DATA ANALYST,53260.0,"BETHESDA, MD",2016
ONE ALLIANCE INSURANCE AGENCY INC,DATA ANALYST,53600.0,"PARAMUS, NJ",2016
SHOO-IN LLC,DATA ANALYST,53820.0,"NEW YORK, NY",2016
EPOSEIDON OUTDOOR ADVENTURE INC,DATA ANALYST,54000.0,"GARDEN CITY, NY",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,54500.0,"DES MOINES, IA",2016
THE UNITED SOLUTIONS GROUP INC,DATA ANALYST,54760.0,"ALLENTOWN, PA",2016
THE UNITED SOLUTIONS GROUP INC,DATA ANALYST,54760.0,"ALLENTOWN, PA",2016
KHAN FUNDS MANAGEMENT AMERICA INC,DATA ANALYST,55000.0,"NEW YORK, NY",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,55720.0,"WEST DES MOINES, IA",2016
AGAMA SOLUTIONS INC,DATA ANALYST,57720.0,"PLEASANTON, CA",2016
SOUTH TEXAS MERCHANTS ASSOCIATION COOPERATIVE,DATA ANALYST,58340.0,"SAN ANTONIO, TX",2016
SOUTH TEXAS MERCHANTS ASSOCIATION COOPERATIVE,DATA ANALYST,58340.0,"SAN ANTONIO, TX",2016
UNITED BUS TECHNOLOGY INC,DATA ANALYST,58640.0,"MCLEAN, VA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,58920.0,"SAN DIEGO, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,58920.0,"SAN DIEGO, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,58920.0,"SAN DIEGO, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,58920.0,"SAN DIEGO, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,59420.0,"WHITE PLAINS, NY",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,59720.0,"SAN FRANCISCO, CA",2016
SATNAM TECHNOLOGIES INC,DATA ANALYST,60000.0,"STERLING, VA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,60000.0,"SAN DIEGO, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,60000.0,"WAYNE, PA",2016
POPULUS GROUP LLC,DATA ANALYST,61360.0,"WASHINGTON, DC",2016
POPULUS GROUP LLC,DATA ANALYST,61360.0,"WASHINGTON, DC",2016
SATNAM TECHNOLOGIES INC,DATA ANALYST,62000.0,"STERLING, VA",2016
POPULUS GROUP LLC,DATA ANALYST,62840.0,"PUEBLO, CO",2016
HCL GLOBAL SYSTEMS INC,DATA ANALYST,63280.0,"FARMINGTON HILLS, MI",2016
PERIGEE CAPITAL PARTNERS LLC,DATA ANALYST,63580.0,"ROUND ROCK, TX",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,63900.0,"WAYNE, PA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,63900.0,"PHILADELPHIA, PA",2016
FINOVERA INC,DATA ANALYST,63960.0,"MILPITAS, CA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,65780.0,"REDMOND, WA",2016
POPULUS GROUP LLC,DATA ANALYST,65780.0,"REDMOND, WA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,65780.0,"BELLEVUE, WA",2016
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,66480.0,"RANCHO CUCAMONGA, CA",2016
GOKEN AMERICA LLC,DATA ANALYST,67020.0,"DUBLIN, OH",2016
UNITED BUS TECHNOLOGY INC,DATA ANALYST,68740.0,"MCLEAN, VA",2016
ILIKEBUS INC,DATA ANALYST,68740.0,"MCLEAN, VA",2016
COLLABERA INC,DATA ANALYST,70000.0,"IRVING, TX",2016
VASTIKA INC,DATA ANALYST,70000.0,"WEST CHESTER, PA",2016
COLLABERA INC,DATA ANALYST,70000.0,"NEW YORK, NY",2016
ESOLUTIONS AMERICA INC,DATA ANALYST,70000.0,"RICHMOND, VA",2016
EPIQ CLASS ACTION &amp; CLAIM SOLUTIONS INC,DATA ANALYST,71020.0,"BEAVERTON, OR",2016
POPULUS GROUP LLC,DATA ANALYST,71200.0,"NORTHRIDGE, CA",2016
HCL GLOBAL SYSTEMS INC,DATA ANALYST,71580.0,"PORTLAND, OR",2016
POPULUS GROUP LLC,DATA ANALYST,74000.0,"SOUTHFIELD, MI",2016
EDATAKA LLC,DATA ANALYST,75760.0,"LAWRENCE, NJ",2016
AURUM CAPITAL MANAGEMENT CORP,DATA ANALYST,76920.0,"SAN JOSE, CA",2016
AURUM CAPITAL MANAGEMENT CORP,DATA ANALYST,76920.0,"SAN JOSE, CA",2016
AURUM CAPITAL MANAGEMENT CORP,DATA ANALYST,76920.0,"SAN JOSE, CA",2016
MCKINSEY &amp; COMPANY INC UNITED STATES,DATA ANALYST,76920.0,"ATLANTA, GA",2016
POPULUS GROUP LLC,DATA ANALYST,80000.0,"REDMOND, WA",2016
POPULUS GROUP LLC,DATA ANALYST,80000.0,"LEXINGTON, MA",2016
MCKINSEY &amp; COMPANY INC UNITED STATES,DATA ANALYST,82400.0,"WALTHAM, MA",2016
