Company,Job,Salary,Location,Year
SEARS HOLDINGS MANAGEMENT CORPORATION,MACHINE LEARNING - FRONT END DEVELOPER,140000.0,"TAMPA, FL",2016
GOOGLE INC,MACHINE LEARNING ACCELERATOR ARCHITECT,155000.0,"MOUNTAIN VIEW, CA",2016
ITEMIZE CORP,MACHINE LEARNING ANALYST,65000.0,"NEW YORK, NY",2016
GLASSDOOR INC,MACHINE LEARNING ARCHITECT,177000.0,"SAN FRANCISCO, CA",2016
GLASSDOOR INC,MACHINE LEARNING ARCHITECT,177000.0,"SAN FRANCISCO, CA",2016
APPLE INC,MACHINE LEARNING ENG,105000.0,"AUSTIN, TX",2016
APPLE INC,MACHINE LEARNING ENG,130000.0,"CUPERTINO, CA",2016
APPLE INC,MACHINE LEARNING ENG,140000.0,"CUPERTINO, CA",2016
APPLE INC,MACHINE LEARNING ENG 4,180000.0,"CUPERTINO, CA",2016
NINOH INC,MACHINE LEARNING ENGINEER,85000.0,"NEW YORK, NY",2016
ROAM ANALYTICS INC,MACHINE LEARNING ENGINEER,85000.0,"SAN MATEO, CA",2016
ROAM ANALYTICS INC,MACHINE LEARNING ENGINEER,90000.0,"SAN MATEO, CA",2016
EVERYFIT INC,MACHINE LEARNING ENGINEER,100000.0,"BOSTON, MA",2016
THE NIELSEN COMPANY (US) LLC,MACHINE LEARNING ENGINEER,100000.0,"NEW YORK, NY",2016
WAYBLAZER,MACHINE LEARNING ENGINEER,120000.0,"AUSTIN, TX",2016
WAYBLAZER,MACHINE LEARNING ENGINEER,120000.0,"AUSTIN, TX",2016
CHARTBOOST INC,MACHINE LEARNING ENGINEER,127500.0,"SAN FRANCISCO, CA",2016
SLICE TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,135000.0,"SAN MATEO, CA",2016
EVERSTRING TECHNOLOGY LIMITED,MACHINE LEARNING ENGINEER,137500.0,"SAN MATEO, CA",2016
BAIDU USA LLC,MACHINE LEARNING ENGINEER,145000.0,"SUNNYVALE, CA",2016
SLICE TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,160000.0,"SAN MATEO, CA",2016
ENTEFY INC,MACHINE LEARNING ENGINEER PROGRAMMER,114629.0,"PALO ALTO, CA",2016
FORD MOTOR COMPANY,MACHINE LEARNING FOR AUTONOMOUS VEHICLE RESEARCH ENGINEER,81994.0,"DEARBORN, MI",2016
SEARS HOLDINGS MANAGEMENT CORPORATION,MACHINE LEARNING FRONT END DEVELOPER,143000.0,"EMERYVILLE, CA",2016
APPLE INC,MACHINE LEARNING MGR,200000.0,"CUPERTINO, CA",2016
ROAM ANALYTICS INC,MACHINE LEARNING PLATFORM ENGINEER,150000.0,"SAN MATEO, CA",2016
GEN NINE INC,MACHINE LEARNING RESEARCH AND DEVELOPMENT SCIENTIST,66500.0,"LOUISVILLE, KY",2016
ANALOG DEVICES INC,MACHINE LEARNING RESEARCH SCIENTIST,89000.0,"CAMBRIDGE, MA",2016
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENTER,MACHINE LEARNING RESEARCHER,129100.0,"SAN RAMON, CA",2016
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENTER,MACHINE LEARNING RESEARCHER,133100.0,"SAN RAMON, CA",2016
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENTER,MACHINE LEARNING RESEARCHER,135000.0,"SAN RAMON, CA",2016
ALTISOURCE SOLUTIONS INC,MACHINE LEARNING SCIENTIST,100800.0,"BOSTON, MA",2016
KASISTO INC,MACHINE LEARNING SCIENTIST,102544.0,"NEW YORK, NY",2016
PREMISE DATA CORPORATION,MACHINE LEARNING SCIENTIST,120000.0,"SAN FRANCISCO, CA",2016
PREMISE DATA CORPORATION,MACHINE LEARNING SCIENTIST,127046.0,"SAN FRANCISCO, CA",2016
PHYSIOSIGNS INC,MACHINE LEARNING SCIENTIST,139672.0,"SUNNYVALE, CA",2016
MICROSOFT CORPORATION,MACHINE LEARNING SCIENTIST,152833.0,"REDMOND, WA",2016
WAL-MART ASSOCIATES INC,MACHINE LEARNING SCIENTIST,155000.0,"SUNNYVALE, CA",2016
PARALLEL MACHINES INC,MACHINE LEARNING SOFTWARE ENGINEER,84000.0,"TACOMA, WA",2016
PARALLEL MACHINES INC,MACHINE LEARNING SOFTWARE ENGINEER,84000.0,"TACOMA, WA",2016
CAPTRICITY INC,MACHINE LEARNING SOFTWARE ENGINEER,115000.0,"OAKLAND, CA",2016
ROCKET FUEL INC,MACHINE LEARNING SOFTWARE ENGINEER,135000.0,"REDWOOD CITY, CA",2016
EVERNOTE CORPORATION,MACHINE LEARNING SOFTWARE ENGINEER,145000.0,"REDWOOD CITY, CA",2016
LAWRENCE LIVERMORE NATIONAL SECURITY LLC,MACHINE LEARNING SPECIALIST COMPUTER RESEARCH SCIENTIST,175200.0,"LIVERMORE, CA",2016
MICRON SEMICONDUCTOR PRODUCTS INC,MLC TLC NAND PRODUCT LINE MANAGER,125000.0,"FOLSOM, CA",2016
