Company,Job,Salary,Location,Year
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,60133.0,"DALLAS, TX",2016
SQUEEZE MOBILITY LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
SQUEEZE MOBILE LLC,MOBILE ADMINISTRATOR,61200.0,"DALLAS, TX",2016
POPULUS GROUP LLC,MOBILE ANALYST,74000.0,"LEAWOOD, KS",2016
DIGITAL INTELLIGENCE SYSTEMS LLC,MOBILE ANALYTICS DEVELOPER,61440.0,"CARY, NC",2016
IBM INDIA PRIVATE LIMITED,MOBILE AND INTEGRATION ARCHITECT,104041.0,"CHICAGO, IL",2016
IBM INDIA PRIVATE LIMITED,MOBILE AND INTEGRATION ARCHITECT,104041.0,"CHICAGO, IL",2016
GURUFOCUSCOM LLC,MOBILE APP DEVELOPER,46500.0,"PLANO, TX",2016
GURUFOCUSCOM LLC,MOBILE APP DEVELOPER,46500.0,"PLANO, TX",2016
VORMITTAG ASSOCIATES INC,MOBILE APP DEVELOPER,57200.0,"RONKONKOMA, NY",2016
VORMITTAG ASSOCIATES INC,MOBILE APP DEVELOPER,57200.0,"RONKONKOMA, NY",2016
ADROIX CORP,MOBILE APP DEVELOPER,62000.0,"ALPHARETTA, GA",2016
GLOBALPOINT INC,MOBILE APP DEVELOPER,63877.0,"NORTH BRUNSWICK, NJ",2016
TITLE SOURCE INC,MOBILE APP DEVELOPER,67538.0,"DETROIT, MI",2016
TITLE SOURCE INC,MOBILE APP DEVELOPER,67538.0,"DETROIT, MI",2016
ERIC LIN,MOBILE APP DEVELOPER,72000.0,"LA CANADA FLINTRIDGE, CA",2016
XTREAM IT PEOPLE INC,MOBILE APP DEVELOPER,85000.0,"FOSTER CITY, CA",2016
XTREAM IT PEOPLE INC,MOBILE APP DEVELOPER,85000.0,"FOSTER CITY, CA",2016
MBO PARTNERS INC,MOBILE APP DEVELOPER,90646.0,"ROSSLYN, VA",2016
