Company,Job,Salary,Location,Year
MOBILEMPOWER LLC,DATA SCIENCE ANALYST,160000.0,"BOSTON, MA",2016
PURECARS AUTOMOTIVE LLC,DATA SCIENCE ANALYST,44304.0,"ATLANTA, GA",2016
REALTY MOGUL CO,DATA SCIENCE ANALYST,53186.0,"LOS ANGELES, CA",2016
REALTY MOGUL CO,DATA SCIENCE ANALYST,53186.0,"LOS ANGELES, CA",2016
THE BOSTON GROUP INC,DATA SCIENCE ANALYST,59738.0,"BOSTON, MA",2016
RBUS INC,DATA SCIENCE ANALYST,61485.0,"FORT MILL, SC",2016
RBUS INC,DATA SCIENCE ANALYST,61485.0,"FORT MILL, SC",2016
THE BOSTON GROUP INC,DATA SCIENCE ANALYST,62500.0,"BOSTON, MA",2016
THE BOSTON GROUP INC,DATA SCIENCE ANALYST,62500.0,"BOSTON, MA",2016
INSURANCE SERVICES OFFICE INC,DATA SCIENCE ANALYST,65000.0,"JERSEY CITY, NJ",2016
AETNA LIFE INSURANCE COMPANY,DATA SCIENCE ANALYST,67000.0,"HARTFORD, CT",2016
MERCEDES-BENZ FINANCIAL SERVICES USA LLC,DATA SCIENCE ANALYST,75000.0,"FARMINGTON HILLS, MI",2016
LIFETOUCH NATIONAL SCHOOL STUDIOS INC,DATA SCIENCE ANALYST,78229.0,"EDEN PRAIRIE, MN",2016
BOX INC,DATA SCIENCE ANALYST,85738.0,"REDWOOD CITY, CA",2016
JUSTENOUGH SOFTWARE CORPORATION INC,DATA SCIENCE ANALYST,120000.0,"IRVINE, CA",2016
UDEMY INC,DATA SCIENCE ANALYST GROWTH,77064.0,"SAN FRANCISCO, CA",2016
INSURANCE SERVICES OFFICE INC,DATA SCIENCE ANALYST II,70500.0,"JERSEY CITY, NJ",2016
COX MEDIA GROUP LLC,DATA SCIENCE AND ANALYTICS MANAGER,105000.0,"ATLANTA, GA",2016
COX MEDIA GROUP LLC,DATA SCIENCE AND ANALYTICS MANAGER,105000.0,"ATLANTA, GA",2016
CAPITALOGIX TRADING LP,DATA SCIENCE ASSOCIATE,53331.0,"COPPELL, TX",2016
CAPITALOGIX TRADING LP,DATA SCIENCE ASSOCIATE,65000.0,"COPPELL, TX",2016
CAPITALOGIX TRADING LP,DATA SCIENCE ASSOCIATE,70000.0,"COPPELL, TX",2016
AVANT INC,DATA SCIENCE ASSOCIATE,75000.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE CONSULTANT,103037.0,"CHAMPAIGN, IL",2016
ACCENTURE LLP,DATA SCIENCE CONSULTANT,103037.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE CONSULTANT,103037.0,"BOSTON, MA",2016
ACCENTURE LLP,DATA SCIENCE CONSULTANT,103037.0,"SOMERVILLE, MA",2016
UNIVERSITY OF MICHIGAN,DATA SCIENCE CONSULTANT GEOSPATIAL,85000.0,"ANN ARBOR, MI",2016
FUSIONOPS INC,DATA SCIENCE DEVELOPER,80933.0,"MOUNTAIN VIEW, CA",2016
MISSISSIPPI DEPARTMENT OF EDUCATION,DATA SCIENCE DIRECTOR,92000.0,"JACKSON, MS",2016
FEM INC,DATA SCIENCE ENGINEER,80000.0,"GLENDALE, CA",2016
SIGMOD INC,DATA SCIENCE ENGINEER,95000.0,"PALO ALTO, CA",2016
TAPJOY INC,DATA SCIENCE ENGINEER,96866.0,"SAN FRANCISCO, CA",2016
TAPJOY INC,DATA SCIENCE ENGINEER,96866.0,"SAN FRANCISCO, CA",2016
SOJERN INC,DATA SCIENCE ENGINEER,120000.0,"SAN FRANCISCO, CA",2016
SOJERN INC,DATA SCIENCE ENGINEER,120000.0,"SAN FRANCISCO, CA",2016
ADROLL INC,DATA SCIENCE ENGINEER,130000.0,"SAN FRANCISCO, CA",2016
NETBASE SOLUTIONS INC,DATA SCIENCE ENGINEER,130000.0,"SANTA CLARA, CA",2016
MACHINE ZONE INC,DATA SCIENCE ENGINEER,131154.0,"PALO ALTO, CA",2016
AGARI DATA INC,DATA SCIENCE ENGINEER,135000.0,"SAN MATEO, CA",2016
A9COM INC,DATA SCIENCE ENGINEER,148000.0,"PALO ALTO, CA",2016
A9COM INC,DATA SCIENCE ENGINEER,155000.0,"PALO ALTO, CA",2016
A9COM INC,DATA SCIENCE ENGINEER,155000.0,"PALO ALTO, CA",2016
AMINO INC,DATA SCIENCE ENGINEER,155000.0,"SAN FRANCISCO, CA",2016
MOBILEMPOWER LLC,DATA SCIENCE INSTRUCTOR,160000.0,"BOSTON, MA",2016
CAPITALOGIX TRADING LP,DATA SCIENCE LEAD,75000.0,"COPPELL, TX",2016
MONSANTO COMPANY,DATA SCIENCE LEAD,123406.0,"CHESTERFIELD, MO",2016
AIRBNB INC,DATA SCIENCE MACHINE LEARNING,185000.0,"SAN FRANCISCO, CA",2016
PRESS GANEY ASSOCIATES INC,DATA SCIENCE MANAGER,101005.0,"WAKEFIELD, MA",2016
IBM CORPORATION,DATA SCIENCE MANAGER,115800.0,"NEW YORK, NY",2016
ACCENTURE LLP,DATA SCIENCE MANAGER,118000.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE MANAGER,118000.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE MANAGER,118000.0,"NOVI, MI",2016
ACCENTURE LLP,DATA SCIENCE MANAGER,118000.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE MANAGER,118000.0,"NOVI, MI",2016
ZYNGA INC,DATA SCIENCE MANAGER,130000.0,"SAN FRANCISCO, CA",2016
UBER TECHNOLOGIES INC,DATA SCIENCE MANAGER,135000.0,"SAN FRANCISCO, CA",2016
UBER TECHNOLOGIES INC,DATA SCIENCE MANAGER,135000.0,"SAN FRANCISCO, CA",2016
GNS HEALTHCARE INC,DATA SCIENCE MANAGER,165000.0,"SEATTLE, WA",2016
FACEBOOK INC,"DATA SCIENCE MANAGER, ANALYTICS",210000.0,"MENLO PARK, CA",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"LOS ANGELES, CA",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"BOSTON, MA",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"ARLINGTON, MA",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"CHICAGO, IL",2016
ACCENTURE LLP,DATA SCIENCE SENIOR ANALYST,103604.0,"LEXINGTON, MA",2016
ACCENTURE LLP,DATA SCIENCE SENIOR MANAGER,181500.0,"ARLINGTON HEIGHTS, IL",2016
ACCENTURE LLP,DATA SCIENCE SENIOR MANAGER,181500.0,"CHICAGO, IL",2016
AVANT INC,DATA SCIENCE SR. ANALYST,90000.0,"CHICAGO, IL",2016
MONSANTO COMPANY,DATA SCIENCE TECHNICAL LEAD,104064.0,"ST. LOUIS, MO",2016
A9COM INC,DATA SCIENCES ENGINEER,148000.0,"PALO ALTO, CA",2016
A9COM INC,DATA SCIENCES ENGINEER,148000.0,"PALO ALTO, CA",2016
A9COM INC,DATA SCIENCES ENGINEER I,150000.0,"PALO ALTO, CA",2016
PERCOLATA CORPORATION,DATA SCIENTIST,46060.0,"PALO ALTO, CA",2016
ALLAZO HEALTH CORP,DATA SCIENTIST,62000.0,"NEW YORK, NY",2016
TEKSYSTEMS INC,DATA SCIENTIST,62060.0,"DEARBORN, MI",2016
TEKSYSTEMS INC,DATA SCIENTIST,63720.0,"DEARBORN, MI",2016
CHUMMY LLC,DATA SCIENTIST,65080.0,"BURLINGAME, CA",2016
ADECCO USA INC,DATA SCIENTIST,68380.0,"CHICAGO, IL",2016
FIRST LEADS INC,DATA SCIENTIST,72100.0,"EMERYVILLE, CA",2016
BUDDYHOPP INC,DATA SCIENTIST,73460.0,"SANTA MONICA, CA",2016
BUDDYHOPP INC,DATA SCIENTIST,73460.0,"SANTA MONICA, CA",2016
A2 CONSULTING LLC,DATA SCIENTIST,90000.0,"PHILADELPHIA, PA",2016
MSX AMERICAS INC,DATA SCIENTIST,91200.0,"DEARBORN, MI",2016
MCKINSEY &amp; COMPANY INC UNITED STATES,DATA SCIENTIST,98900.0,"NEW YORK, NY",2016
STARSHR INC,DATA SCIENTIST,100000.0,"PITTSBURGH, PA",2016
POPULUS GROUP LLC,DATA SCIENTIST,120000.0,"NEW YORK, NY",2016
THE BOSTON CONSULTING GROUP INC,DATA SCIENTIST,120200.0,"BOSTON, MA",2016
DUODUO MEDIA TECHNOLOGY,DATA SCIENTIST,152000.0,"NEW YORK, NY",2016
DUODUO MEDIA TECHNOLOGY INC,DATA SCIENTIST,152000.0,"NEW YORK, NY",2016
DOMINION ENTERPRISES,DATA SCIENTIST,29973.0,"NORFOLK, VA",2016
MEDHOST SERVICES INC,DATA SCIENTIST,42245.0,"FRANKLIN, TN",2016
WAYFAIR LLC,DATA SCIENTIST,42765.0,"BOSTON, MA",2016
WAYFAIR LLC,DATA SCIENTIST,42765.0,"BOSTON, MA",2016
THE RAINMAKER GROUP HOLDINGS INC,DATA SCIENTIST,44304.0,"ALPHARETTA, GA",2016
COX AUTOMOTIVE INC,DATA SCIENTIST,44304.0,"ATLANTA, GA",2016
CHECKFREE SERVICES CORPORATION,DATA SCIENTIST,46900.0,"DUBLIN, OH",2016
GHG CORPORATION,DATA SCIENTIST,50000.0,"WEBSTER, TX",2016
GHG CORPORATION,DATA SCIENTIST,50000.0,"WEBSTER, TX",2016
GLEAN WORKS LLC,DATA SCIENTIST,50000.0,"ST. AUGUSTINE, FL",2016
LIVE OAK BANK,DATA SCIENTIST,50004.0,"WILMINGTON, NC",2016
CCC INFORMATION SERVICES INC,DATA SCIENTIST,50336.0,"CHICAGO, IL",2016
CCC INFORMATION SERVICES INC,DATA SCIENTIST,50336.0,"CHICAGO, IL",2016
ADS ALLIANCE DATA SYSTEMS INC,DATA SCIENTIST,51000.0,"ROSEMONT, IL",2016
SKILLS EQ,DATA SCIENTIST,53893.0,"NEW YORK CITY, NY",2016
DRAFTSERV TECHNOLOGIES LLC,DATA SCIENTIST,55000.0,"SUWANEE, GA",2016
AUNALYTICS INC,DATA SCIENTIST,55000.0,"SOUTH BEND, IN",2016
ORACLE AMERICA INC,DATA SCIENTIST,56072.0,"WESTMINSTER, CO",2016
MCKESSON CORPORATION,DATA SCIENTIST,57429.0,"THE WOODLANDS, TX",2016
MCKESSON CORPORATION,DATA SCIENTIST,57429.0,"THE WOODLANDS, TX",2016
TRIPADVISOR LLC,DATA SCIENTIST,59738.0,"NEEDHAM, MA",2016
TRIPADVISOR LLC,DATA SCIENTIST,59738.0,"NEEDHAM, MA",2016
CARDINALCOMMERCE,DATA SCIENTIST,60000.0,"MENTOR, OH",2016
CARDINALCOMMERCE CORPORATION,DATA SCIENTIST,60000.0,"MENTOR, OH",2016
COGITATIVO INC,DATA SCIENTIST,60029.0,"BERKELEY, CA",2016
HASH FINANCE LLC,DATA SCIENTIST,60486.0,"LAGUNA BEACH, CA",2016
ATP USA INC,DATA SCIENTIST,60486.0,"MISSION VIEJO, CA",2016
ATP USA INC,DATA SCIENTIST,60486.0,"MISSION VIEJO, CA",2016
SEMRUSH INC,DATA SCIENTIST,60986.0,"TREVOSE, PA",2016
HUMANA INC,DATA SCIENTIST,61131.0,"LOUISVILLE, KY",2016
TE CONNECTIVITY CORPORATION,DATA SCIENTIST,63000.0,"BERWYN, PA",2016
SERVICENOW INC,DATA SCIENTIST,63045.0,"KIRKLAND, WA",2016
TARGETED VICTORY LLC,DATA SCIENTIST,63814.0,"ALEXANDRIA, VA",2016
REVEAL MOBILE INC,DATA SCIENTIST,64189.0,"RALEIGH, NC",2016
LOGICNOW INC,DATA SCIENTIST,64596.0,"CAMBRIDGE, MA",2016
IBM INDIA PRIVATE LIMITED,DATA SCIENTIST,64641.0,"SAINT PETERSBURG, FL",2016
IBM INDIA PRIVATE LIMITED,DATA SCIENTIST,64641.0,"SAINT PETERSBURG, FL",2016
HUMANA INSURANCE COMPANY,DATA SCIENTIST,64750.0,"FREDERICK, MD",2016
DRIVEN ANALYTICS INC,DATA SCIENTIST,65000.0,"EDMOND, OK",2016
INAUTH INC,DATA SCIENTIST,65000.0,"BOSTON, MA",2016
VIRTUE GROUP LLC,DATA SCIENTIST,65500.0,"ALPHARETTA, GA",2016
ORACLE AMERICA INC,DATA SCIENTIST,66144.0,"WESTMINSTER, CO",2016
ORACLE AMERICA INC,DATA SCIENTIST,66144.0,"BROOMFIELD, CO",2016
SERVICENOW INC,DATA SCIENTIST,66622.0,"KIRKLAND, WA",2016
PRICELINECOM LLC,DATA SCIENTIST,66685.0,"NEW YORK, NY",2016
CCC INFORMATION SERVICES INC,DATA SCIENTIST,66934.0,"CHICAGO, IL",2016
LHP SOFTWARE LLC,DATA SCIENTIST,67000.0,"COLUMBUS, IN",2016
DEVICE IDEAS LLC,DATA SCIENTIST,67200.0,"BROOKLYN, NY",2016
XACTWARE SOLUTIONS INC,DATA SCIENTIST,67500.0,"LEHI, UT",2016
GENSCAPE INC,DATA SCIENTIST,67683.0,"SAN FRANCISCO, CA",2016
RENTRAK CORPORATION,DATA SCIENTIST,68400.0,"PORTLAND, OR",2016
INSTITUTE FOR MEDICAL RESEARCH INC,DATA SCIENTIST,68775.0,"DURHAM, NC",2016
LGBS SOFTWARE INC,DATA SCIENTIST,69000.0,"MAHWAH, NJ",2016
SNAPCHAT INC,DATA SCIENTIST,69410.0,"VENICE, CA",2016
IBM CORPORATION,DATA SCIENTIST,69529.0,"CHICAGO, IL",2016
VANTIV LLC,DATA SCIENTIST,69550.0,"SYMMES TOWNSHIP, OH",2016
VANTIV LLC,DATA SCIENTIST,69550.0,"SYMMES TOWNSHIP, OH",2016
VANTIV LLC,DATA SCIENTIST,69550.0,"SYMMES TOWNSHIP, OH",2016
VANTIV LLC,DATA SCIENTIST,69550.0,"SYMMES TOWNSHIP, OH",2016
ORBITZ WORLDWIDE LLC,DATA SCIENTIST,69763.0,"CHICAGO, IL",2016
EXPEDIA INC,DATA SCIENTIST,69763.0,"CHICAGO, IL",2016
THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,70000.0,"OLDSMAR, FL",2016
BASTILLE NETWORKS INC,DATA SCIENTIST,70000.0,"ATLANTA, GA",2016
FLO LLC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
ICUBE CONSULTANCY SERVICES INC,DATA SCIENTIST,70000.0,"JACKSONVILLE, FL",2016
RANG TECHNOLOGIES INC,DATA SCIENTIST,70000.0,"BENTONVILLE, AR",2016
ICUBE CONSULTANCY SERVICES INC,DATA SCIENTIST,70000.0,"JACKSONVILLE, FL",2016
ICUBE CONSULTANCY SERVICES INC,DATA SCIENTIST,70000.0,"JACKSONVILLE, FL",2016
ICUBE CONSULTANCY SERVICES INC,DATA SCIENTIST,70000.0,"JACKSONVILLE, FL",2016
FRONT DESK INC,DATA SCIENTIST,70000.0,"SEATTLE, WA",2016
KOGENTIX INC,DATA SCIENTIST,70000.0,"SCHAUMBURG, IL",2016
KOGENTIX INC,DATA SCIENTIST,70000.0,"SCHAUMBURG, IL",2016
SUPSTAT INC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
SUPSTAT INC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
INTELLIPRO GROUP INC,DATA SCIENTIST,70000.0,"MOUNTAIN VIEW, CA",2016
ZESTFINANCE INC,DATA SCIENTIST,70000.0,"LOS ANGELES, CA",2016
JPMORGAN CHASE &amp; CO,DATA SCIENTIST,70000.0,"BROOKLYN, NY",2016
THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,70000.0,"OLDSMAR, FL",2016
HEARST BUSINESS MEDIA CORPORATION,DATA SCIENTIST,70000.0,"LAWRENCEVILLE, GA",2016
BIG WHITE WALL HOLDINGS INC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
FEEDZAI INC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
FEEDZAI INC,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
SPARKCOGNITION INC,DATA SCIENTIST,70000.0,"AUSTIN, TX",2016
RENTRAK CORPORATION,DATA SCIENTIST,70000.0,"NEW YORK, NY",2016
SPARKCOGNITION INC,DATA SCIENTIST,70000.0,"AUSTIN, TX",2016
TAVANT TECHNOLOGIES INC,DATA SCIENTIST,70000.0,"INDIANAPOLIS, IN",2016
NTE MOBILITY PARTNERS LLC,DATA SCIENTIST,70000.0,"NORTH RICHLAND HILLS, TX",2016
RESULTS GENERATION GROUP LLC,DATA SCIENTIST,70000.0,"AUSTIN, TX",2016
THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,70000.0,"OLDSMAR, FL",2016
THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,70000.0,"OLDSMAR, FL",2016
RANG TECHNOLOGIES INC,DATA SCIENTIST,70000.0,"PISCATAWAY, NJ",2016
RANG TECHNOLOGIES INC,DATA SCIENTIST,70000.0,"NORWOOD, MA",2016
