Company,Job,Salary,Location,Year
EVERQUOTE INC,FRONT -END WEB DEVELOPER &amp; DESIGNER,75000.0,"CAMBRIDGE, MA",2016
TELFAIR MUSEUM OF ART INC,FRONT DESK ASSOCIATE,18160.0,"SAVANNAH, GA",2016
THE PLASTIC SURGERY GROUP OF CENTRAL ILLINOIS LTD,FRONT DESK COORDINATOR,32000.0,"LAS VEGAS, NV",2016
THE PLASTIC SURGERY GROUP OF CENTRAL ILLINOIS LTD,FRONT DESK COORDINATOR,32000.0,"LAS VEGAS, NV",2016
WINEGARDNER &amp; HAMMONS HOTEL GROUP,FRONT DESK MANAGER,32000.0,"CINCINNATI, OH",2016
AVCO CONSULTING INC,FRONT END ANGULAR WEB DEVELOPER,66997.0,"WORCESTER, MA",2016
SRI TECH SOLUTIONS INC,FRONT END APPLICATION DEVELOPER,84739.0,"BELLEVUE, WA",2016
THE NEW YORK PUBLIC LIBRARY,FRONT END APPLICATIONS DEVELOPER,70221.0,"NEW YORK, NY",2016
GENAPSYS INC,FRONT END ARCHITECT,140000.0,"REDWOOD CITY, CA",2016
PEBBLE TECHNOLOGY CORP,FRONT END DESIGN DEVELOPER,95000.0,"REDWOOD CITY, CA",2016
SCVNGR INC,FRONT END DESIGNER DEVELOPER,60000.0,"BOSTON, MA",2016
ILOVEVELVET INC,FRONT END DEVELOPER,53760.0,"NEW YORK, NY",2016
TAG WORLDWIDE (USA) INC,FRONT END DEVELOPER,60720.0,"NEW YORK, NY",2016
POPULUS GROUP LLC,FRONT END DEVELOPER,110000.0,"SUNNYVALE, CA",2016
POPULUS GROUP LLC,FRONT END DEVELOPER,110000.0,"SUNNYVALE, CA",2016
POPULUS GROUP LLC,FRONT END DEVELOPER,110000.0,"SUNNYVALE, CA",2016
THE CODDINGTON GROUP LLC,FRONT END DEVELOPER,120000.0,"ATLANTA, GA",2016
POPULUS GROUP LLC,FRONT END DEVELOPER,164000.0,"SUNNYVALE, CA",2016
DOMINION ENTERPRISES,FRONT END DEVELOPER,44262.0,"NORFOLK, VA",2016
RE AGENT SOLUTIONS LLC,FRONT END DEVELOPER,50000.0,"BOCA RATON, FL",2016
JETAPORT INC,FRONT END DEVELOPER,50752.0,"NEW YORK, NY",2016
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,51022.0,"EAST MOLINE, IL",2016
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,51022.0,"EAST MOLINE, IL",2016
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,51022.0,"EAST MOLINE, IL",2016
RED BELL REAL ESTATE LLC,FRONT END DEVELOPER,55000.0,"WEST VALLEY CITY, UT",2016
EUCLID TECHNOLOGY LLC,FRONT END DEVELOPER,55000.0,"BETHESDA, MD",2016
MICROINFO INC,FRONT END DEVELOPER,60000.0,"UNIVERSITY PARK, PA",2016
MICROINFO INC,FRONT END DEVELOPER,60000.0,"UNIVERSITY PARK, PA",2016
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,60000.0,"PLANO, TX",2016
KRONSYS INC,FRONT END DEVELOPER,60000.0,"MORRISVILLE, NC",2016
AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE,FRONT END DEVELOPER,60549.0,"ALEXANDRIA, VA",2016
AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE,FRONT END DEVELOPER,60549.0,"ALEXANDRIA, VA",2016
BELL INFO SOLUTIONSLLC,FRONT END DEVELOPER,61000.0,"HERNDON, VA",2016
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,61000.0,"MCLEAN, VA",2016
INTERNET BRANDS INC,FRONT END DEVELOPER,61610.0,"EL SEGUNDO, CA",2016
TECHNUMEN INC,FRONT END DEVELOPER,63877.0,"PISCATAWAY, NJ",2016
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,65000.0,"DURHAM, NC",2016
GENIUS MINDS LLC,FRONT END DEVELOPER,65000.0,"MINNEAPOLIS, MN",2016
NATIONAL REGISTRY OF EMERGENCY MEDICAL TECHNICIANS,FRONT END DEVELOPER,65000.0,"COLUMBUS, OH",2016
AGAP TECHNOLOGIES INC,FRONT END DEVELOPER,68827.0,"FARMERS BRANCH, TX",2016
AGAP TECHNOLOGIES INC,FRONT END DEVELOPER,70221.0,"NEW YORK CITY, NY",2016
AVCO CONSULTING INC,FRONT END DEVELOPER,70803.0,"WORCESTER, MA",2016
MICROINFO INC,FRONT END DEVELOPER,70803.0,"HERNDON, VA",2016
AVCO CONSULTING INC,FRONT END DEVELOPER,71000.0,"WORCESTER, MA",2016
FUSION PLUS SOLUTIONS INC,FRONT END DEVELOPER,71000.0,"SAN JOSE, CA",2016
MATRIX RESOURCES INC,FRONT END DEVELOPER,72000.0,"RICHARDSON, TX",2016
TECHNUMEN INC,FRONT END DEVELOPER,72010.0,"PISCATAWAY, NJ",2016
FRESH DIRECT LLC,FRONT END DEVELOPER,72010.0,"LONG CITY ISLAND, NY",2016
TECHNUMEN INC,FRONT END DEVELOPER,72010.0,"PISCATAWAY, NJ",2016
PRIVCO MEDIA LLC,FRONT END DEVELOPER,72010.0,"NEW YORK, NY",2016
VALTECH SOLUTIONS INC,FRONT END DEVELOPER,72500.0,"NEW YORK, NY",2016
CENTERFIELD MEDIA,FRONT END DEVELOPER,73000.0,"EL SEGUNDO, CA",2016
I 5 TECH INC,FRONT END DEVELOPER,73000.0,"NEW YORK, NY",2016
I 5 TECH INC,FRONT END DEVELOPER,73000.0,"NEW YORK, NY",2016
MODELO INC,FRONT END DEVELOPER,74402.0,"CAMBRIDGE, MA",2016
ANAGH TECHNOLOGIES INC,FRONT END DEVELOPER,75000.0,"PISCATAWAY, NJ",2016
INFIELD DIGITAL LLC,FRONT END DEVELOPER,76107.0,"SAN FRANCISCO, CA",2016
OVERSTOCKCOM INC,FRONT END DEVELOPER,76586.0,"SALT LAKE CITY, UT",2016
SMARTBRIEF INC,FRONT END DEVELOPER,78000.0,"WASHINGTON, DC",2016
HYADES TECHNOLOGY INC,FRONT END DEVELOPER,78000.0,"SAN JOSE, CA",2016
HYADES TECHNOLOGY INC,FRONT END DEVELOPER,78000.0,"CUPERTINO, CA",2016
DOTW LLC,FRONT END DEVELOPER,79019.0,"SANTA MONICA, CA",2016
DOTW LLC,FRONT END DEVELOPER,79019.0,"SANTA MONICA, CA",2016
ANAGH TECHNOLOGIES INC,FRONT END DEVELOPER,80000.0,"PISCATAWAY, NJ",2016
LANVERA LTD,FRONT END DEVELOPER,80000.0,"COPPELL, TX",2016
THE BRUIN GROUP LLC,FRONT END DEVELOPER,85000.0,"NEW YORK, NY",2016
THE BRUIN GROUP LLC,FRONT END DEVELOPER,85000.0,"NEW YORK, NY",2016
AIM CONSULTING GROUP LLC,FRONT END DEVELOPER,87360.0,"CHICAGO, IL",2016
ZILLOW INC,FRONT END DEVELOPER,88800.0,"SEATTLE, WA",2016
COMPASS BANK,FRONT END DEVELOPER,91000.0,"DALLAS, TX",2016
FRAGRANT JEWELS LLC,FRONT END DEVELOPER,93000.0,"LOS ANGELES, CA",2016
STELLUS TECHNOLOGIES INC,FRONT END DEVELOPER,95000.0,"IRVINE, CA",2016
PEXESO INC,FRONT END DEVELOPER,95000.0,"SAN FRANCISCO, CA",2016
MONSTER WORLDWIDE INC,FRONT END DEVELOPER,95000.0,"WESTON, MA",2016
PERSONALIZED BEAUTY DISCOVERY INC,FRONT END DEVELOPER,96866.0,"SAN MATEO, CA",2016
TREMUS INC,FRONT END DEVELOPER,96866.0,"PALO ALTO, CA",2016
SOLUTION DESIGN GROUP,FRONT END DEVELOPER,97000.0,"GOLDEN VALLEY, MN",2016
TREMUS INC,FRONT END DEVELOPER,98342.0,"PALO ALTO, CA",2016
MAGNANIMOUS INC,FRONT END DEVELOPER,100000.0,"SAN FRANCISCO, CA",2016
VALTECH SOLUTIONS INC,FRONT END DEVELOPER,100000.0,"PLANO, TX",2016
SKYKICK INC,FRONT END DEVELOPER,101088.0,"SEATTLE, WA",2016
ATYPON SYSTEMS INC,FRONT END DEVELOPER,110000.0,"SANTA CLARA, CA",2016
ATYPON SYSTEMS INC,FRONT END DEVELOPER,110000.0,"SANTA CLARA, CA",2016
ANOMALI INCORPORATED,FRONT END DEVELOPER,110000.0,"REDWOOD CITY, CA",2016
SILVER SPRING NETWORKS INC,FRONT END DEVELOPER,117603.0,"REDWOOD CITY, CA",2016
BISLR INC,FRONT END DEVELOPER,117603.0,"SAN FRANCISCO, CA",2016
AUTOPILOTHQ INC,FRONT END DEVELOPER,117603.0,"SAN FRANCISCO, CA",2016
RED OAK TECH INC,FRONT END DEVELOPER,146848.0,"SAN JOSE, CA",2016
GENERAL ELECTRIC COMPANY,FRONT END DEVELOPER,150000.0,"SAN RAMON, CA",2016
FLEXTON INC,FRONT END DEVELOPER,160000.0,"SAN BRUNO, CA",2016
ROAM ANALYTICS INC,FRONT END DEVELOPER AND INTERFACE ENGINEER,85000.0,"SAN MATEO, CA",2016
