Company,Job,Salary,Location,Year
VERISILICON INC,GPU ARCHITECT,138000.0,"SANTA CLARA, CA",2016
VIVANTE CORPORATION,GPU ARCHITECT,138000.0,"SANTA CLARA, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,81347.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,82098.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,85869.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88234.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88234.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88234.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88234.0,"HILLSBORO, OR",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88629.0,"HILLSBORO, OR",2016
RAINBOW STUDIOS INC,GRAPHICS SOFTWARE ENGINEER,89000.0,"PHOENIX, AZ",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,94328.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,94328.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,94328.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2016
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,102086.0,"HILLSBORO, OR",2016
