Company,Job,Salary,Location,Year
PRO-TEK CONSULTING,FRONT - END DEVELOPER,90000.0,"LOS ANGELES, CA",2017
MDM BRICKELL HOTEL GROUP LTD,FRONT DESK SUPERVISOR,28080.0,"MIAMI, FL",2017
IBASET INC,FRONT END  FULL STACK DEVELOPER,72821.0,"FOOTHILL RANCH, CA",2017
CUSTOM BUSINESS SOLUTIONS INC,FRONT END .NET DEVELOPER,90064.0,"ANN ARBOR, MI",2017
SOFTWARE TECHNOLOGY INC,FRONT END AEM DEVELOPER,76000.0,"MOUNTAIN VIEW, CA",2017
WESTERN UNION LLC,FRONT END ANALYTICS DEVELOPER,120000.0,"SAN FRANCISCO, CA",2017
GLOBALCLICK LLC,FRONT END ANGULAR DEVELOPER,112000.0,"ENGLEWOOD, CO",2017
STREAMS INC,FRONT END APPLICATION DEVELOPER,60000.0,"RICHARDSON, TX",2017
RED BEACON INC,FRONT END ARCHITECT,136573.0,"FOSTER CITY, CA",2017
RED BEACON INC,FRONT END ARCHITECT,147846.0,"FOSTER CITY, CA",2017
APPLE INC,FRONT END CAD ENGINEER,190000.0,"CUPERTINO, CA",2017
GUTHY-RENKER LLC,FRONT END DESIGN - DEVELOPMENT MANAGER,114000.0,"EL SEGUNDO, CA",2017
POINT DIGITAL FINANCE INC,FRONT END DESIGNER,112500.0,"PALO ALTO, CA",2017
POINT DIGITAL FINANCE INC,FRONT END DESIGNER,112500.0,"PALO ALTO, CA",2017
SAMSUNG AUSTIN SEMICONDUCTOR LLC,FRONT END DESIGNER II,87000.0,"AUSTIN, TX",2017
TAG WORLDWIDE (USA) INC,FRONT END DEVELOPER,60720.0,"NEW YORK, NY",2017
POPULUS GROUP LLC,FRONT END DEVELOPER,84000.0,"COLUMBUS, OH",2017
MBTECHNOSOLUTIONS INC,FRONT END DEVELOPER,90000.0,"PITTSBURGH, PA",2017
VALIANTICA INC,FRONT END DEVELOPER,110000.0,"MOUNTAIN VIEW, CA",2017
POPULUS GROUP LLC,FRONT END DEVELOPER,130000.0,"WASHINGTON, DC",2017
MICHIGAN TECHNOLOGICAL UNIVERSITY,FRONT END DEVELOPER,48500.0,"HOUGHTON, MI",2017
RE AGENT SOLUTIONS LLC,FRONT END DEVELOPER,50000.0,"BOCA RATON, FL",2017
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,53394.0,"EAST MOLINE, IL",2017
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,53394.0,"EAST MOLINE, IL",2017
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,53394.0,"EAST MOLINE, IL",2017
RED BELL REAL ESTATE LLC,FRONT END DEVELOPER,55000.0,"MIDVALE, UT",2017
SIMPLISAFE INC,FRONT END DEVELOPER,56472.0,"BOSTON, MA",2017
DOMINION ENTERPRISES,FRONT END DEVELOPER,56534.0,"NORFOLK, VA",2017
ICSA INC,FRONT END DEVELOPER,60000.0,"CLEVELAND, OH",2017
MERLIN SIGHT LLC,FRONT END DEVELOPER,60000.0,"PORT WASHINGTON, NY",2017
ADVANSOFT INTERNATIONAL INC,FRONT END DEVELOPER,60000.0,"ARLINGTON HEIGHTS, IL",2017
TSQ SYSTEMS INC,FRONT END DEVELOPER,60382.0,"LAKE SUCCESS, NY",2017
TRI VENTURES INC D/B/A AQUENT LLC,FRONT END DEVELOPER,63773.0,"EAST MOLINE, IL",2017
CYBER X DESIGNS LLC,FRONT END DEVELOPER,65000.0,"SUMMIT, NJ",2017
MOXIE IT SOLUTIONS INC,FRONT END DEVELOPER,66000.0,"SAN DIEGO, CA",2017
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,68000.0,"DURHAM, NC",2017
MODELO INC,FRONT END DEVELOPER,68390.0,"CAMBRIDGE, MA",2017
ORABASE SOLUTIONS LLC,FRONT END DEVELOPER,68557.0,"HARTFORD, CT",2017
ICSA INC,FRONT END DEVELOPER,70000.0,"BLOOMINGTON, IL",2017
ANTUIT INC,FRONT END DEVELOPER,70000.0,"NEW YORK, NY",2017
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,70000.0,"PLANO, TX",2017
TECHNUMEN INC,FRONT END DEVELOPER,70221.0,"PISCATAWAY, NJ",2017
TECHNUMEN INC,FRONT END DEVELOPER,70221.0,"PISCATAWAY, NJ",2017
AVCO CONSULTING INC,FRONT END DEVELOPER,70803.0,"WORCESTER, MA",2017
JC PENNEY CORPORATION INC,FRONT END DEVELOPER,71000.0,"PLANO, TX",2017
KREEYAA LLC,FRONT END DEVELOPER,71000.0,"GURNEE, IL",2017
EXPRESS GLOBAL SOLUTIONS LLC,FRONT END DEVELOPER,72000.0,"ITASCA, IL",2017
TAG WORLDWIDE (USA) INC,FRONT END DEVELOPER,72344.0,"NEW YORK, NY",2017
OPTIMAL ASSET MANAGEMENT INC,FRONT END DEVELOPER,73091.0,"LOS ALTOS, CA",2017
NIXSOL INC,FRONT END DEVELOPER,74500.0,"WAUKESHA, WI",2017
GLOBALCLICK LLC,FRONT END DEVELOPER,75000.0,"NEW ORLEANS, LA",2017
ENVIRTA TECHNOLOGIES LLC,FRONT END DEVELOPER,75000.0,"ANN ARBOR, MI",2017
CURSE LLC,FRONT END DEVELOPER,75000.0,"HUNTSVILLE, AL",2017
E-NEXUS INC,FRONT END DEVELOPER,75000.0,"INDIANAPOLIS, IN",2017
MICROINFO INC,FRONT END DEVELOPER,75504.0,"ORLANDO, FL",2017
LULLABOT INC,FRONT END DEVELOPER,77500.0,"PROVIDENCE, RI",2017
HYADES TECHNOLOGY INC,FRONT END DEVELOPER,78000.0,"CUPERTINO, CA",2017
COMMERCIAL REAL ESTATE EXCHANGE INC,FRONT END DEVELOPER,79541.0,"VENICE, CA",2017
COMMERCIAL REAL ESTATE EXCHANGE INC,FRONT END DEVELOPER,79541.0,"VENICE, CA",2017
SERVICETITAN INC,FRONT END DEVELOPER,80000.0,"GLENDALE, CA",2017
SERVICENOW INC,FRONT END DEVELOPER,80184.0,"SAN FRANCISCO, CA",2017
INNOVATIVE INTELLIGENT SOLUTIONS LLC,FRONT END DEVELOPER,81000.0,"FREMONT, CA",2017
INNOVATIVE INTELLIGENT SOLUTIONS LLC,FRONT END DEVELOPER,81000.0,"FREMONT, CA",2017
INNOVATIVE INTELLIGENT SOLUTIONS LLC,FRONT END DEVELOPER,81000.0,"FREMONT, CA",2017
INNOVATIVE INTELLIGENT SOLUTIONS LLC,FRONT END DEVELOPER,81000.0,"FREMONT, CA",2017
YODLE WEBCOM INC,FRONT END DEVELOPER,82400.0,"NEW YORK, NY",2017
FITCH RATINGS INC,FRONT END DEVELOPER,83000.0,"CHICAGO, IL",2017
AVCO CONSULTING INC,FRONT END DEVELOPER,83512.0,"WORCESTER, MA",2017
IT CATS LLC,FRONT END DEVELOPER,84000.0,"CHICAGO, IL",2017
AVCO CONSULTING INC,FRONT END DEVELOPER,84427.0,"WORCESTER, MA",2017
AVCO CONSULTING INC,FRONT END DEVELOPER,84427.0,"WORCESTER, MA",2017
AVCO CONSULTING INC,FRONT END DEVELOPER,85197.0,"WORCESTER, MA",2017
SIRI INFOSOLUTIONS INC,FRONT END DEVELOPER,85600.0,"HENRICO, VA",2017
THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,FRONT END DEVELOPER,86154.0,"NEWARK, NJ",2017
INDEPENDENT FLOOR TESTING &amp; INSPECTION INC,FRONT END DEVELOPER,87506.0,"CONCORD, CA",2017
FIRST INSIGHT INC,FRONT END DEVELOPER,87818.0,"WARRENDALE, PA",2017
CARSCOM,FRONT END DEVELOPER,88879.0,"CHICAGO, IL",2017
DALLAS CREATION CENTER INC,FRONT END DEVELOPER,89000.0,"DALLAS, TX",2017
STELLAR SOFTWARE NETWORK INC,FRONT END DEVELOPER,90000.0,"BOTHELL, WA",2017
INFIELD DIGITAL LLC,FRONT END DEVELOPER,90000.0,"SAN FRANCISCO, CA",2017
FITCH RATINGS INC,FRONT END DEVELOPER,90000.0,"CHICAGO, IL",2017
PYRAMID CONSULTING INC,FRONT END DEVELOPER,91000.0,"ALPHARETTA, GA",2017
AMENSYS INC,FRONT END DEVELOPER,91000.0,"LEWISVILLE, TX",2017
GARTNER INC,FRONT END DEVELOPER,92025.0,"STAMFORD, CT",2017
TECHNUMEN INC,FRONT END DEVELOPER,92768.0,"PISCATAWAY, NJ",2017
TECHNUMEN INC,FRONT END DEVELOPER,92768.0,"PISCATAWAY, NJ",2017
TECHNUMEN INC,FRONT END DEVELOPER,92768.0,"PISCATAWAY, NJ",2017
TURNBERRY SOLUTIONS INC,FRONT END DEVELOPER,93000.0,"PHILADELPHIA, PA",2017
IBM CORPORATION,FRONT END DEVELOPER,94619.0,"SAN JOSE, CA",2017
MATRIX RESOURCES INC,FRONT END DEVELOPER,95000.0,"SAN FRANCISCO, CA",2017
VEYO LLC,FRONT END DEVELOPER,95000.0,"SAN DIEGO, CA",2017
OVERSTOCKCOM INC,FRONT END DEVELOPER,96038.0,"MIDVALE, UT",2017
IBM CORPORATION,FRONT END DEVELOPER,96720.0,"SAN JOSE, CA",2017
IBM CORPORATION,FRONT END DEVELOPER,96720.0,"SAN JOSE, CA",2017
IBM CORPORATION,FRONT END DEVELOPER,96720.0,"SAN JOSE, CA",2017
TREMUS INC,FRONT END DEVELOPER,98987.0,"MENLO PARK, CA",2017
HIRETEAMMATE INC,FRONT END DEVELOPER,100000.0,"MOUNTAIN VIEW, CA",2017
TALTEAM INC,FRONT END DEVELOPER,100000.0,"HERNDON, VA",2017
NCR CORPORATION,FRONT END DEVELOPER,102003.0,"ENCINO, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"SAN JOSE, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"SAN JOSE, CA",2017
A1 KAISER INC,FRONT END DEVELOPER,102149.0,"JERSEY CITY, NJ",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"CUPERTINO, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"CUPERTINO, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"CUPERTINO, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"CUPERTINO, CA",2017
IVYMAX INC,FRONT END DEVELOPER,102149.0,"CUPERTINO, CA",2017
IT RESOURCES INC,FRONT END DEVELOPER,102149.0,"SAN JOSE, CA",2017
