Company,Job,Salary,Location,Year
LOGIC PLANET INC,FULL STACK .NET ANGULAR JS DEVELOPER,86100.0,"BAKERSFIELD, CA",2017
CREST FINANCIAL SERVICES LLC,FULL STACK .NET DEVELOPER,70000.0,"DRAPER, UT",2017
CREST FINANCIAL SERVICES LLC,FULL STACK .NET DEVELOPER,70000.0,"DRAPER, UT",2017
DAYSMART SOFTWARE LLC,FULL STACK .NET DEVELOPER,87500.0,"ANN ARBOR, MI",2017
HOLTEC INTERNATIONAL,FULL STACK .NET DEVELOPER,90000.0,"CAMDEN, NJ",2017
MARKIT NORTH AMERICA INC D/B/A IHS MARKIT,FULL STACK AGILE WEB DEVELOPER,51896.0,"BOULDER, CO",2017
JUMP2IT SOLUTIONS INC,FULL STACK ANDROID DEVELOPER,53000.0,"ARLINGTON HEIGHTS, IL",2017
JUMP2IT SOLUTIONS INC,FULL STACK ANDROID DEVELOPER,53000.0,"ARLINGTON HEIGHTS, IL",2017
AIG EMPLOYEE SERVICES INC,FULL STACK APPLICATION DEVELOPER,103000.0,"CHARLOTTE, NC",2017
SELCOUTH BANDS INC,FULL STACK CLOUD ENGINEER,58000.0,"DENVER, CO",2017
UNIVERSITY OF BRIDGEPORT,FULL STACK DATA ARCHITECT AND RESEARCH SCIENTIST,70000.0,"BRIDGEPORT, CT",2017
ONE CONCERN INC,FULL STACK DESIGNER,81931.0,"PALO ALTO, CA",2017
MOTOROLA SOLUTIONS INC,FULL STACK DEVELOPE,77964.0,"CHICAGO, IL",2017
ISO DOC INC D/B/A ISO DEVELOPERS,FULL STACK DEVELOPER,66000.0,"WINTHROP, MA",2017
VINIMAYA INC,FULL STACK DEVELOPER,72100.0,"CINCINNATI, OH",2017
VINIMAYA INC,FULL STACK DEVELOPER,72100.0,"CINCINNATI, OH",2017
FAST SWITCH LTD,FULL STACK DEVELOPER,94000.0,"COLUMBUS, OH",2017
POPULUS GROUP LLC,FULL STACK DEVELOPER,120000.0,"CHICAGO, IL",2017
STASIS LABS INC,FULL STACK DEVELOPER,43722.0,"LOS ANGELES, CA",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,52166.0,"CHICAGO, IL",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,52166.0,"CHICAGO, IL",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,52166.0,"CHICAGO, IL",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,52166.0,"CHICAGO, IL",2017
OPTIMATIC MEDIA INC,FULL STACK DEVELOPER,54000.0,"NEW YORK, NY",2017
PREDICTRONICS CORP,FULL STACK DEVELOPER,54787.0,"CINCINNATI, OH",2017
EP KAUFMANN &amp; CO USA INC,FULL STACK DEVELOPER,55000.0,"PALM BEACH, FL",2017
NIXSOL INC,FULL STACK DEVELOPER,60000.0,"NEW YORK, NY",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,60000.0,"CHICAGO, IL",2017
SUPERIOR SOFTWARE AND TECHNOLOGY SOLUTIONS LLC,FULL STACK DEVELOPER,60000.0,"ST LOUIS, MO",2017
PURDUE UNIVERSITY,FULL STACK DEVELOPER,60000.0,"WEST LAFAYETTE, IN",2017
JNIT TECHNOLOGIES,FULL STACK DEVELOPER,60000.0,"AUSTIN, TX",2017
COGENSIA LLC,FULL STACK DEVELOPER,60000.0,"SCHAUMBURG, IL",2017
AMBER ENGINE LLC,FULL STACK DEVELOPER,61963.0,"DETROIT, MI",2017
SQUILLION SYSTEMS LLC,FULL STACK DEVELOPER,65000.0,"NORTHBROOK, IL",2017
TPP LLC,FULL STACK DEVELOPER,65000.0,"DES PLAINES, IL",2017
HIGHGROUND ENTERPRISE SOLUTIONS INC,FULL STACK DEVELOPER,70000.0,"CHICAGO, IL",2017
CEREBRI AI INC,FULL STACK DEVELOPER,70000.0,"AUSTIN, TX",2017
HYATT CORPORATION,FULL STACK DEVELOPER,70000.0,"CHICAGO, IL",2017
ONE CLIPBOARD INC,FULL STACK DEVELOPER,70221.0,"NEW YORK, NY",2017
TECHNUMEN INC,FULL STACK DEVELOPER,70221.0,"PISCATAWAY, NJ",2017
GRAPNEL TECH SERVICES LLC,FULL STACK DEVELOPER,73500.0,"REDMOND, WA",2017
SYNTASA CORPORATION,FULL STACK DEVELOPER,74000.0,"HERNDON, VA",2017
HYPGAMES INC,FULL STACK DEVELOPER,74214.0,"LONGWOOD, FL",2017
LINKWELL SOLUTIONS LLC,FULL STACK DEVELOPER,75000.0,"LITTLE ROCK, AR",2017
TEENSAFE INC,FULL STACK DEVELOPER,75941.0,"SANTA MONICA, CA",2017
