Company,Job,Salary,Location,Year
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,95118.0,"SAN DIEGO, CA",2017
SAMSUNG AUSTIN SEMICONDUCTOR LLC,GPU MEMSYS VERIFICATION ENGINEER,100000.0,"AUSTIN, TX",2017
SAMSUNG AUSTIN SEMICONDUCTOR LLC,GPU VERIFICATION ENGINEER 2,110000.0,"AUSTIN, TX",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,83129.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86195.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,86694.0,"FOLSOM, CA",2017
INTEL MOBILE COMMUNICATIONS,GRAPHICS SOFTWARE ENGINEER,88629.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88629.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,88946.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,89066.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,89066.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,97344.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,98218.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,98218.0,"FOLSOM, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,101109.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,103168.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,103168.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,103168.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,103168.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,107677.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,107677.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,107684.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,107684.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,107951.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,111395.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,112774.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,117686.0,"HILLSBORO, OR",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,122533.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,122533.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,122932.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,122932.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,123071.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,123071.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,123200.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,123220.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,123629.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,125025.0,"SANTA CLARA, CA",2017
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,125025.0,"SANTA CLARA, CA",2017
