Company,Job,Salary,Location,Year
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,170000.0,"CUPERTINO, CA",2017
APPLE INC,AR VR SW DEVELOP ENG,120000.0,"CUPERTINO, CA",2017
APPLE INC,AR VR SW DEVELOP ENG,130000.0,"CUPERTINO, CA",2017
APPLE INC,AR VR SW DEVELOP ENG,142938.0,"CUPERTINO, CA",2017
APPLE INC,AR VR SW DEVELOP ENG 4,170000.0,"CUPERTINO, CA",2017
APPLE INC,AR VR SW DEVELOP ENG 4,170000.0,"CUPERTINO, CA",2017
NOVEL LABORATORIES INC,AR&amp;D CHEMIST,57075.0,"SOMERSET, NJ",2017
QATAR FOUNDATION INTERNATIONAL LLC,ARABIC INSTRUCTOR,160000.0,"WASHINGTON, DC",2017
MISSOURI STATE UNIVERSITY,ARABIC LANGUAGE CURRICULUM SPECIALIST,38700.0,"SPRINGFIELD, MO",2017
FLOW TRADERS US LLC,ARBITRAGE ANALYST,84000.0,"NEW YORK, NY",2017
FLOW TRADERS US LLC,ARBITRAGE ANALYST,84000.0,"NEW YORK, NY",2017
TREECARELA INC,ARBORIST CLIMBER,36000.0,"INGLEWOOD, CA",2017
TREECARELA INC,ARBORIST CLIMBER,40000.0,"INGLEWOOD, CA",2017
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,ARBOVIRAL BIRTH DEFECT,88358.0,"LINCOLN, NE",2017
AMZUR TECHNOLOGIES INC,ARCGIS DEVELOPER,66000.0,"WARREN, NJ",2017
PERKINS + WILL INC,ARCH II,49000.0,"CHICAGO, IL",2017
PERKINS + WILL CRA LLC,ARCH II,54000.0,"DALLAS, TX",2017
PERKINS + WILL INC,ARCH II,55000.0,"BOSTON, MA",2017
PERKINS + WILL CRA LLC,ARCH II,57000.0,"DALLAS, TX",2017
PERKINS + WILL INC,ARCH II,62000.0,"WASHINGTON, DC",2017
PERKINS + WILL INC,ARCH II,64000.0,"BOSTON, MA",2017
A EPSTEIN AND SONS INTERNATIONAL INC,ARCH III,50000.0,"CHICAGO, IL",2017
PERKINS + WILL INC,ARCH III,65000.0,"SEATTLE, WA",2017
PERKINS + WILL CRA LLC,ARCH III,67500.0,"DALLAS, TX",2017
PERKINS + WILL INC,ARCH III,73000.0,"SAN FRANCISCO, CA",2017
ADRIAN SMITH + GORDON GILL ARCHITECTURE,ARCH LEVEL B,48000.0,"CHICAGO, IL",2017
ST AUGUSTINE LIGHTHOUSE &amp; MARITIME MUSEUM INC,ARCHAEOLOGIST,20000.0,"ST. AUGUSTINE, FL",2017
AMERICAN FOUNDATION FOR THE STUDY OF MAN,ARCHEOLOGIST,60000.0,"FALLS CHURCH, VA",2017
RAVZ INC,ARCHER CONSULTANT,78000.0,"IRVING, TX",2017
TEKNAUX LLC,ARCHER DEVELOPER,70803.0,"HERNDON, VA",2017
POLAKAMS LLC,ARCHER INTERNET SECURITY SPECIALIST,118400.0,"PHOENIX, AZ",2017
