Company,Job,Salary,Location,Year
INTEGRATION TECHNOLOGY CORP,CLOUD ARCHITECH,98000.0,"SAN JUAN, PR",2017
INTEGRATION TECHNOLOGY CORP,CLOUD ARCHITECH,98000.0,"SAN JUAN, PR",2017
AMERICAN INFORMATION TECHNOLOGY CORPORATION,CLOUD ARCHITECT,80160.0,"CHICAGO, IL",2017
MCKINSEY &amp; COMPANY INC UNITED STATES,CLOUD ARCHITECT,126360.0,"WALTHAM, MA",2017
HANU SOFTWARE SOLUTIONS INC,CLOUD ARCHITECT,95000.0,"SPARTANBURG, SC",2017
GENAPSYS INC,CLOUD ARCHITECT,95389.0,"REDWOOD CITY, CA",2017
THERMO FISHER SCIENTIFIC INC,CLOUD ARCHITECT,97802.0,"PITTSBURGH, PA",2017
DOLPHIN SOLUTIONS INC,CLOUD ARCHITECT,99200.0,"ALPHARETTA, GA",2017
ORIGIN WIRELESS INC,CLOUD ARCHITECT,100000.0,"GREENBELT, MD",2017
ACUTE INFOSYSTEMS INC,CLOUD ARCHITECT,105000.0,"RENTON, WA",2017
ACUTE INFOSYSTEMS INC,CLOUD ARCHITECT,105000.0,"RENTON, WA",2017
ACUTE INFOSYSTEMS INC,CLOUD ARCHITECT,105000.0,"RENTON, WA",2017
KITEWHEEL LLC,CLOUD ARCHITECT,110000.0,"BOSTON, MA",2017
AMAZON WEB SERVICES INC,CLOUD ARCHITECT,120000.0,"DALLAS, TX",2017
HENTSU LLC,CLOUD ARCHITECT,120000.0,"NEW YORK CITY, NY",2017
HENTSU LLC,CLOUD ARCHITECT,120000.0,"NEW YORK CITY, NY",2017
ECHIDNA INC,CLOUD ARCHITECT,125000.0,"MILPITAS, CA",2017
ARCH CAPITAL SERVICES INC,CLOUD ARCHITECT,125300.0,"RALEIGH, NC",2017
ARCH CAPITAL SERVICES INC,CLOUD ARCHITECT,125300.0,"GREENSBORO, NC",2017
CONNECTYOURCARE LLC,CLOUD ARCHITECT,131000.0,"HUNT VALLEY, MD",2017
CONNECTYOURCARE LLC,CLOUD ARCHITECT,131000.0,"MOUNT JULIET, TN",2017
EQUINIX INC,CLOUD ARCHITECT,131840.0,"NEW YORK, NY",2017
REAN CLOUD LLC,CLOUD ARCHITECT,140000.0,"HERNDON, VA",2017
REAN CLOUD LLC,CLOUD ARCHITECT,150000.0,"HERNDON, VA",2017
CLOUDVIEW PARTNERS LLC,CLOUD ARCHITECT,153000.0,"EDISON, NJ",2017
CLOUDVIEW PARTNERS LLC,CLOUD ARCHITECT,153000.0,"ISELIN, NJ",2017
