Company,Job,Salary,Location,Year
INTOGO LLC,DATA ARCHITECT,28000.0,"JACKSONVILLE, FL",2017
SYNCHRONISYS INC,DATA ARCHITECT,62000.0,"IRVING, TX",2017
CONCEPTS INFORMATION TECHNOLOGY INC,DATA ARCHITECT,62000.0,"LOMBARD, IL",2017
NOVALINK SOLUTIONS LLC,DATA ARCHITECT,72000.0,"WOODLAWN, MD",2017
NOVALINK SOLUTIONS LLC,DATA ARCHITECT,75000.0,"COLUMBIA, SC",2017
POPULUS GROUP LLC,DATA ARCHITECT,124000.0,"HONOLULU, HI",2017
POPULUS GROUP LLC,DATA ARCHITECT,220000.0,"SAN FRANCISCO, CA",2017
SLALOM LLC,DATA ARCHITECT,45677.0,"SEATTLE, WA",2017
PROFUSION SYSTEMS INC,DATA ARCHITECT,60000.0,"NORTH BRUNSWICK, NJ",2017
PROFUSION SYSTEMS INC,DATA ARCHITECT,60000.0,"NORTH BRUNSWICK, NJ",2017
THE NORMANDY GROUP LLC,DATA ARCHITECT,60000.0,"CINCINNATI, OH",2017
SKL SOLUTIONS INC,DATA ARCHITECT,61000.0,"PLANO, TX",2017
SURGO GROUP LLC,DATA ARCHITECT,62500.0,"NEW YORK CITY, NY",2017
GSSR INC,DATA ARCHITECT,65000.0,"GREENVILLE, SC",2017
CHARTER GLOBAL INC,DATA ARCHITECT,65000.0,"THE WOODLANDS, TX",2017
FENDER MUSICAL INSTRUMENTS CORPORATION,DATA ARCHITECT,65624.0,"SCOTTSDALE, AZ",2017
SLALOM LLC,DATA ARCHITECT,65666.0,"SEATTLE, WA",2017
VLS SYSTEMS INC,DATA ARCHITECT,70000.0,"CHARLOTTE, NC",2017
VEDICSOFT SOLUTIONS LLC,DATA ARCHITECT,71781.0,"MARYSVILLE, OH",2017
DEREX TECHNOLOGIES INC,DATA ARCHITECT,72500.0,"CRANSTON, RI",2017
MISSION HOSPITAL INC,DATA ARCHITECT,73080.0,"ASHEVILLE, NC",2017
NPV STAFFING LLC,DATA ARCHITECT,75000.0,"BELLEVUE, WA",2017
NPV STAFFING LLC,DATA ARCHITECT,75000.0,"WEST CHESTER, PA",2017
NORTHWESTERN MEMORIAL HEALTHCARE,DATA ARCHITECT,76107.0,"CHICAGO, IL",2017
KRONSYS INC,DATA ARCHITECT,77000.0,"ADDISON, TX",2017
3I INFOTECH INC,DATA ARCHITECT,77000.0,"PHILADELPHIA, PA",2017
SEARS HOLDINGS MANAGEMENT CORPORATION,DATA ARCHITECT,77832.0,"HOFFMAN ESTATES, IL",2017
IBM INDIA PRIVATE LIMITED,DATA ARCHITECT,77997.0,"SAINT PETERSBURG, FL",2017
IBM INDIA PRIVATE LIMITED,DATA ARCHITECT,77997.0,"SAINT PETERSBURG, FL",2017
INFINITY INSURANCE COMPANY,DATA ARCHITECT,79297.0,"BIRMINGHAM, AL",2017
NAM TECHNOLOGIES INC,DATA ARCHITECT,80000.0,"ALPHARETTA, GA",2017
NAM TECHNOLOGIES INC,DATA ARCHITECT,80000.0,"ALPHARETTA, GA",2017
SLALOM LLC,DATA ARCHITECT,80000.0,"CHICAGO, IL",2017
GEISINGER SYSTEM SERVICES,DATA ARCHITECT,80000.0,"DANVILLE, PA",2017
IBM INDIA PRIVATE LIMITED,DATA ARCHITECT,80637.0,"CHARLOTTE, NC",2017
TECHNOSOFT CORPORATION,DATA ARCHITECT,82000.0,"PLANTATION, FL",2017
BELLEVUE COLLEGE,DATA ARCHITECT,83883.0,"BELLEVUE, WA",2017
LOGICATECHINC,DATA ARCHITECT,84000.0,"DEERFIELD, IL",2017
THINC SYSTEMS INC,DATA ARCHITECT,84000.0,"LIBERTYVILLE, IL",2017
DIGIPULSE TECHNOLOGIES INC,DATA ARCHITECT,85000.0,"CHERRY HILL, NJ",2017
SLK AMERICA INC,DATA ARCHITECT,85000.0,"BUFFALO, NY",2017
NPV STAFFING LLC,DATA ARCHITECT,86000.0,"DALLAS, TX",2017
ETTAIN GROUP INC,DATA ARCHITECT,87818.0,"MATTHEWS, NC",2017
PRONIX INC,DATA ARCHITECT,88500.0,"RANCHO CORDOVA, CA",2017
EXPEED SOFTWARE LLC,DATA ARCHITECT,90000.0,"LOUISVILLE, KY",2017
ERP ANALYSTS INC,DATA ARCHITECT,90000.0,"DUBLIN, OH",2017
ERP ANALYSTS INC,DATA ARCHITECT,90000.0,"DUBLIN, OH",2017
VALUELABS INC,DATA ARCHITECT,90000.0,"OLDSMAR, FL",2017
VALUELABS INC,DATA ARCHITECT,90000.0,"OLDSMAR, FL",2017
GROUPM WORLDWIDE LLC,DATA ARCHITECT,90000.0,"NEW YORK, NY",2017
TECHNOSOFT CORPORATION,DATA ARCHITECT,90000.0,"FORT LAUDERDALE, FL",2017
