Company,Job,Salary,Location,Year
FIRST TEK INC,SCRUM MANAGER,89918.0,"THOUSAND OAKS, CA",2017
FAVLY INC,SCRUM MANAGER PROJECT MANAGER,98000.0,"OJAI, CA",2017
FAVLY INC,SCRUM MANAGER PROJECT MANAGER,98000.0,"OJAI, CA",2017
SARK TECHNOLOGY SOLUTIONS LLC,SCRUM MASTER,55000.0,"FRANKLIN, TN",2017
KYYBA INC,SCRUM MASTER,80000.0,"JERSEY CITY, NJ",2017
ADECCO GROUP NA/MODIS INC,SCRUM MASTER,81980.0,"COLUMBUS, OH",2017
POPULUS GROUP LLC,SCRUM MASTER,88140.0,"MENOMONEE FALLS, WI",2017
APPSINTEGRATION INC,SCRUM MASTER,92300.0,"SAN FRANCISCO, CA",2017
POPULUS GROUP LLC,SCRUM MASTER,100000.0,"CHICAGO, IL",2017
UNICON INTERNATIONAL INC,SCRUM MASTER,100000.0,"COLUMBUS, OH",2017
POPULUS GROUP LLC,SCRUM MASTER,106000.0,"CHARLOTTE, NC",2017
TEKSYSTEMS INC,SCRUM MASTER,140000.0,"NEW YORK, NY",2017
ADROIT ASSOCIATES INC,SCRUM MASTER,52500.0,"LIBERTY CORNER, NJ",2017
INFOSHARE SYSTEMS INC,SCRUM MASTER,54725.0,"QUINCY, MA",2017
RENEE SYSTEMS INC,SCRUM MASTER,60000.0,"SAN ANTONIO, TX",2017
PHOTON INFOTECH INC,SCRUM MASTER,60000.0,"COLUMBUS, OH",2017
BSASPEC INC,SCRUM MASTER,60000.0,"REYNOLDSBURG, OH",2017
NIXSOL INC,SCRUM MASTER,60000.0,"RARITAN, NJ",2017
BSASPEC INC,SCRUM MASTER,60000.0,"MINNEAPOLIS, MN",2017
KYYBA INC,SCRUM MASTER,60000.0,"JUNO BEACH, FL",2017
PROSOFT TECHNOLOGIES INC,SCRUM MASTER,60000.0,"APPLETON, WI",2017
WIPRO LIMITED,SCRUM MASTER,60362.0,"CINCINNATI, OH",2017
SRIJAN TECHNOLOGIES USA INC,SCRUM MASTER,62000.0,"DETROIT, MI",2017
SRIJAN TECHNOLOGIES USA INC,SCRUM MASTER,62000.0,"DETROIT, MI",2017
RENEE SYSTEMS INC,SCRUM MASTER,64500.0,"BASKING RIDGE, NJ",2017
WIPRO LIMITED,SCRUM MASTER,64522.0,"RICHFIELD, MN",2017
ADROIT ASSOCIATES INC,SCRUM MASTER,65000.0,"EDEN PRAIRIE, MN",2017
RSR-UNLIMITED,SCRUM MASTER,65000.0,"BOSTON, MA",2017
MAVEN COMPANIES INC,SCRUM MASTER,65000.0,"BETHEL PARK, PA",2017
BSASPEC INC,SCRUM MASTER,65000.0,"O&#39;FALLON, MO",2017
ADROIT ASSOCIATES INC,SCRUM MASTER,65000.0,"EDEN PRAIRIE, MN",2017
ADROIT ASSOCIATES INC,SCRUM MASTER,65000.0,"EDEN PRAIRIE, MN",2017
ADBAKX LLC,SCRUM MASTER,65000.0,"RICHARDSON, TX",2017
BSASPEC INC,SCRUM MASTER,65000.0,"MINNEAPOLIS, MN",2017
ADBAKX LLC,SCRUM MASTER,65000.0,"ELKRIDGE, MD",2017
ADBAKX LLC,SCRUM MASTER,65000.0,"EDEN PRAIRIE, MN",2017
TECHOPS INC,SCRUM MASTER,65083.0,"MORRISTOWN, NJ",2017
RSR-UNLIMITED,SCRUM MASTER,66000.0,"FRAMINGHAM, MA",2017
SYNERGY TECHNOLOGIES LLC,SCRUM MASTER,67000.0,"JACKSONVILLE, FL",2017
WIPRO LIMITED,SCRUM MASTER,68702.0,"MOORESVILLE, NC",2017
PHOTON INFOTECH INC,SCRUM MASTER,69493.0,"COLUMBUS, OH",2017
PHOTON INFOTECH INC,SCRUM MASTER,69493.0,"COLUMBUS, OH",2017
WIPRO LIMITED,SCRUM MASTER,69701.0,"PISCATAWAY, NJ",2017
WIPRO LIMITED,SCRUM MASTER,69763.0,"O FALLON, MO",2017
ADROIT ASSOCIATES INC,SCRUM MASTER,70000.0,"LONG ISLAND CITY, NY",2017
VASTEK INC,SCRUM MASTER,70250.0,"SAINT LOUIS, MO",2017
IBM INDIA PRIVATE LIMITED,SCRUM MASTER,71319.0,"MONROE, LA",2017
SERENITY INFOTECH INC,SCRUM MASTER,71427.0,"RICHMOND, VA",2017
PARASOL SYSTEMS LLC,SCRUM MASTER,71510.0,"NEW YORK, NY",2017
