Company,Job,Salary,Location,Year
ICON IT GROUP,DATA ARCHITECH,95000.0,"MCLEAN, VA",2018
SOFTPATH SYSTEM LLC,DATA ARCHITECH,104790.0,"NORCROSS, GA",2018
POPULUS GROUP LLC,DATA ARCHITECT,90420.0,"COLUMBUS, OH",2018
POPULUS GROUP LLC,DATA ARCHITECT,140000.0,"HONOLULU, HI",2018
ZOLON TECH SOLUTIONS INC,DATA ARCHITECT,162000.0,"LINTHICUM, MD",2018
GENESYS TECHNOLOGIES INC,DATA ARCHITECT,45000.0,"IRWINDALE, CA",2018
SUPERLOGIX INC,DATA ARCHITECT,59613.0,"TRENTON, NJ",2018
SPERIDIAN TECHNOLOGIES LLC,DATA ARCHITECT,60000.0,"ALBUQUERQUE, NM",2018
SPERIDIAN TECHNOLOGIES LLC,DATA ARCHITECT,60000.0,"ALBUQUERQUE, NM",2018
MALLA SYSTEMS DBA EFULGENT,DATA ARCHITECT,61152.0,"PHOENIX, AZ",2018
SYNTEL INC,DATA ARCHITECT,63898.0,"MADISON, WI",2018
CONCERT TECH CORPORATION,DATA ARCHITECT,64646.0,"ROCKVILLE, MD",2018
UNIVERSITY PHYSICIANS &amp; SURGEONS INC,DATA ARCHITECT,65000.0,"HUNTINGTON, WV",2018
MINDPROS INC,DATA ARCHITECT,65000.0,"OWINGS MILLS, MD",2018
SAMIRIAN CHEMICALS INC,DATA ARCHITECT,65400.0,"CAMPBELL, CA",2018
EXPEDENT CORP,DATA ARCHITECT,66000.0,"LOWELL, AR",2018
EXPEDENT CORP,DATA ARCHITECT,66000.0,"LOWELL, AR",2018
TECHNUMEN INC,DATA ARCHITECT,66000.0,"TALLAHASSEE, FL",2018
NPV STAFFING LLC,DATA ARCHITECT,70000.0,"WALLINGFORD, CT",2018
INFLUENCE HEALTH INC,DATA ARCHITECT,70000.0,"ATLANTA, GA",2018
MPLATFORM LLC,DATA ARCHITECT,70000.0,"NEW YORK, NY",2018
NGA GROUP INC,DATA ARCHITECT,70000.0,"WAYNE, NJ",2018
MINDPROS INC,DATA ARCHITECT,70000.0,"OWINGS MILLS, MD",2018
MISSION HOSPITAL INC,DATA ARCHITECT,71400.0,"ASHEVILLE, NC",2018
DIVERSANT LLC,DATA ARCHITECT,71926.0,"WESTERVILLE, OH",2018
EXPEDENT CORP,DATA ARCHITECT,72000.0,"LOWELL, AR",2018
EXPEDENT CORP,DATA ARCHITECT,72000.0,"LOWELL, AR",2018
UROOJ LLC,DATA ARCHITECT,72000.0,"TETERBORO, NJ",2018
IT RESOURCES INC,DATA ARCHITECT,72072.0,"OWINGS MILLS, MD",2018
