Company,Job,Salary,Location,Year
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,64000.0,"COSTA MESA, CA",2018
DATA WAREHOUSE LABS INC,DATA ENGINEER,73480.0,"MOSSVILLE, IL",2018
DATA WAREHOUSE LABS INC,DATA ENGINEER,73480.0,"MOSSVILLE, IL",2018
DATA WAREHOUSE LABS INC,DATA ENGINEER,73480.0,"MOSSVILLE, IL",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,74300.0,"RANCHO SANTA MARGARITA, CA",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,74300.0,"POWAY, CA",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,79500.0,"WAYNE, PA",2018
PLUTO7 CONSULTING INC,DATA ENGINEER,85800.0,"LOS ANGELES, CA",2018
TALENTQ INC,DATA ENGINEER,90000.0,"NORTHBROOK, IL",2018
TALENTQ INC,DATA ENGINEER,90000.0,"NORTHBROOK, IL",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,98720.0,"SAN FRANCISCO, CA",2018
CODE ACE SOLUTIONS INC,DATA ENGINEER,106600.0,"SUNNYVALE, CA",2018
REVOLUTION TECHNOLOGIESLLC,DATA ENGINEER,110000.0,"LISLE, IL",2018
EXPERIS US INC,DATA ENGINEER,115680.0,"SEATTLE, WA",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,116420.0,"SAN FRANCISCO, CA",2018
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,116420.0,"SAN FRANCISCO, CA",2018
MAAYEE INC,DATA ENGINEER,136700.0,"MENLO PARK, CA",2018
POPULUS GROUP LLC,DATA ENGINEER,140000.0,"SANTA MONICA, CA",2018
TRICOM QUEST,DATA ENGINEER,140000.0,"MOUNTAIN VIEW, CA",2018
JUDGE TECHNICAL SERVICES INC,DATA ENGINEER,140000.0,"LEWISVILLE, TX",2018
HOMES MEDIA SOLUTIONS LLC,DATA ENGINEER,56909.0,"NORFOLK, VA",2018
HOMES MEDIA SOLUTIONS LLC,DATA ENGINEER,56909.0,"NORFOLK, VA",2018
HOMES MEDIA SOLUTIONS LLC,DATA ENGINEER,56909.0,"NORFOLK, VA",2018
GLOBAL PAYMENT HOLDING COMPANY,DATA ENGINEER,58000.0,"CHARLOTTE, NC",2018
EAST DALEY CAPITAL,DATA ENGINEER,60000.0,"CENTENNIAL, CO",2018
IMAGINE SOFTWARE INC,DATA ENGINEER,62000.0,"BROOKLYN HEIGHTS, OH",2018
OCTAHEDRON LLC,DATA ENGINEER,62000.0,"MINNEAPOLIS, MN",2018
SPIN ANALYTICS AND STRATEGY LLC,DATA ENGINEER,62099.0,"NASHVILLE, TN",2018
OATH HOLDINGS INC,DATA ENGINEER,63000.0,"CHAMPAIGN, IL",2018
MEDTRONIC INC,DATA ENGINEER,63482.0,"MOUNDS VIEW, MN",2018
PHDATA INC,DATA ENGINEER,64000.0,"MINNEAPOLIS, MN",2018
ZILLIONIX LLC,DATA ENGINEER,64000.0,"FREMONT, CA",2018
ZILLIONIX LLC,DATA ENGINEER,64000.0,"FREMONT, CA",2018
ZILLIONIX LLC,DATA ENGINEER,64000.0,"FREMONT, CA",2018
PHDATA INC,DATA ENGINEER,64000.0,"MINNEAPOLIS, MN",2018
PHDATA INC,DATA ENGINEER,64000.0,"MINNEAPOLIS, MN",2018
STECK SYSTEMS INC,DATA ENGINEER,64563.0,"WEST PORT, CT",2018
THE MSR GROUP LLC,DATA ENGINEER,64813.0,"OMAHA, NE",2018
MINDPROS INC,DATA ENGINEER,65000.0,"OWINGS MILLS, MD",2018
MINDPROS INC,DATA ENGINEER,65000.0,"OWINGS MILLS, MD",2018
MINDPROS INC,DATA ENGINEER,65000.0,"OWINGS MILLS, MD",2018
OATH HOLDINGS INC,DATA ENGINEER,65291.0,"OMAHA, NE",2018
CLIPPERDATA LLC,DATA ENGINEER,65728.0,"RALEIGH, NC",2018
VENSAR TECHNOLOGY INC,DATA ENGINEER,66000.0,"SAN ANTONIO, TX",2018
JVION INC,DATA ENGINEER,66000.0,"JOHNS CREEK, GA",2018
JVION INC,DATA ENGINEER,66000.0,"JOHNS CREEK, GA",2018
STATE AUTO PROPERTY &amp; CASUALTY INSURANCE COMPANY,DATA ENGINEER,66500.0,"COLUMBUS, OH",2018
QUANTIPHI INC,DATA ENGINEER,67142.0,"NEWTOWN SQUARE, PA",2018
XPO ENTERPRISE SERVICES INC,DATA ENGINEER,67350.0,"PORTLAND, OR",2018
XPO ENTERPRISE SERVICES INC,DATA ENGINEER,67350.0,"PORTLAND, OR",2018
STATE AUTO PROPERTY AND CASUALTY INSURANCE COMPANY,DATA ENGINEER,67621.0,"COLUMBUS, OH",2018
INMOMENT INC,DATA ENGINEER,68000.0,"SOUTH JORDAN, UT",2018
PHDATA INC,DATA ENGINEER,68000.0,"ST. LOUIS, MO",2018
INMOMENT INC,DATA ENGINEER,68000.0,"SOUTH JORDAN, UT",2018
INMOMENT INC,DATA ENGINEER,69000.0,"SOUTH JORDAN, UT",2018
INMOMENT INC,DATA ENGINEER,69000.0,"SOUTH JORDAN, UT",2018
ELLKAY LLC,DATA ENGINEER,69701.0,"ELMWOOD, NJ",2018
ELLKAY LLC,DATA ENGINEER,69701.0,"ELMWOOD, NJ",2018
LITTLE STAR MEDIA INC,DATA ENGINEER,69701.0,"NEW YORK, NY",2018
ROCKET TRAVEL INC,DATA ENGINEER,69701.0,"BROOKLYN, NY",2018
ROCKET TRAVEL INC,DATA ENGINEER,69701.0,"BROOKLYN, NY",2018
ELLKAY LLC,DATA ENGINEER,69701.0,"ELMWOOD, NJ",2018
ELLKAY LLC,DATA ENGINEER,69701.0,"ELMWOOD, NJ",2018
BIDTELLECT INC,DATA ENGINEER,70000.0,"DELRAY BEACH, FL",2018
CLICK THERAPEUTICS INC,DATA ENGINEER,70000.0,"NEW YORK, NY",2018
SOURCERESS INC,DATA ENGINEER,70000.0,"SAN FRANCISCO, CA",2018
KSM CONSULTING LLC,DATA ENGINEER,70000.0,"INDIANAPOLIS, IN",2018
PROCLIVITY MEDIA INC,DATA ENGINEER,70000.0,"NEW YORK, NY",2018
ENDURANCE GROUP INC,DATA ENGINEER,70000.0,"ADA, MI",2018
CLICK THERAPEUTICS INC,DATA ENGINEER,70000.0,"NEW YORK, NY",2018
RISKONNECT INC,DATA ENGINEER,70000.0,"KENNESAW, GA",2018
