Company,Job,Salary,Location,Year
JACE IT GROUP LLC,DEVOPS,72000.0,"NEWARK, DE",2018
PHOTON INFOTECH INC,DEVOPS,87000.0,"DEERFIELD, IL",2018
IT TOPSPOT LLC,DEVOPS  AWS CLOUD CONSULTANT,91000.0,"COPPELL, TX",2018
MAP-IT SOLUTIONS INC,DEVOPS  BUILD AND RELEASE ENGINEER,80000.0,"CHANDLER, AZ",2018
OBERON IT,DEVOPS  LINUX ENGINEER,85000.0,"O&#39;FALLON, MO",2018
OBERON IT,DEVOPS  LINUX ENGINEER,92000.0,"DALLAS, TX",2018
FORMAC INC,DEVOPS  OPERATIONS ENGINEER,88733.0,"SUNNYVALE, CA",2018
VMC SOFT TECHNOLOGIES INC,DEVOPS  SITE RELIABILITY ENGINEER,90000.0,"SAN ANTONIO, TX",2018
GALAXY I TECHNOLOGIES INC,DEVOPS  SYSOPS ENGINEER,85000.0,"ATLANTA, GA",2018
VMC SOFT TECHNOLOGIES INC,DEVOPS  SYSTEMS ENGINEER,86000.0,"RICHMOND, VA",2018
GLOBAL IT INC,DEVOPS &amp; BUILD RELEASE ENGINEER,112549.0,"BELLEVUE, WA",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS &amp; DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS &amp; DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS &amp; DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS &amp; DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
SYSGAIN INC,DEVOPS &amp; IOT ENGINEER,84718.0,"REDMOND, WA",2018
CIGNITI TECHNOLOGIES INC,DEVOPS - AUTOMATION ARCHITECT,89003.0,"IRVING, TX",2018
YAPSTONE HOLDINGS INC,DEVOPS - CLOUD SOLUTIONS ENGINEER,131165.0,"WALNUT CREEK, CA",2018
JPMORGAN CHASE &amp; CO,DEVOPS - SOFTWARE ENGINEERING,120000.0,"WILMINGTON, DE",2018
JPMORGAN CHASE &amp; CO,DEVOPS - SOFTWARE ENGINEERING,120000.0,"WILMINGTON, DE",2018
SRIVEN INFOSYS INC,DEVOPS -TRAINER,64000.0,"FLUSHING, NY",2018
E-DEFT SOLUTIONS LLC,DEVOPS ADMINISTRATOR,66539.0,"CHARLOTTE, NC",2018
VDRIVEINFO INC,DEVOPS ADMINISTRATOR,83000.0,"WEST CHESTE, PA",2018
VDRIVE IT SOLUTIONS INC,DEVOPS ADMINISTRATOR,83000.0,"WEST CHESTER, PA",2018
VDRIVEINFO INC,DEVOPS ADMINISTRATOR,83000.0,"WEST CHESTER, PA",2018
TEAMITSERVE INC,DEVOPS ADMINISTRATOR,85000.0,"MILFORD, CT",2018
SLASHSUPPORT INC,DEVOPS ADMINISTRATOR,85208.0,"ADDISON, TX",2018
FIRST TEK INC,DEVOPS ANALYST,81702.0,"ROCKVILLE,, MD",2018
SIGNATURE IT SOLUTIONS INC,DEVOPS AND AWS ENGINEER,79000.0,"PHOENIX, AZ",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
INFOSHARE SYSTEMS INC,DEVOPS AND DATABASE ADMINISTRATOR,66040.0,"MISSION VIEJO, CA",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS AND DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
PYRAMID TECHNOLOGY SOLUTIONS INC,DEVOPS AND DATABASE ADMINISTRATOR,66186.0,"INDIANAPOLIS, IN",2018
FUTUREQUEST SYSTEMS INC,DEVOPS AND NETWORK ADMINISTRATOR,85000.0,"FREMONT, CA",2018
HEXAR IT SOLUTIONS INC,DEVOPS APPLICATION DEVELOPER,82000.0,"WESTBOROUGH, MA",2018
INFODRIVE SYSTEMS INC,DEVOPS APPLICATION ENGINEER,90000.0,"OKEMOS, MI",2018
ACE TECHNOLOGIES INC,DEVOPS APPLICATION ENGINEER,90000.0,"COLUMBUS, OH",2018
VIGNA SOLUTIONS INC,DEVOPS ARCHITECT,95120.0,"ANN ARBOR, MI",2018
VIGNA SOLUTIONS INC,DEVOPS ARCHITECT,133520.0,"NEW YORK, NY",2018
VIGNA SOLUTIONS INC,DEVOPS ARCHITECT,133520.0,"NEW YORK, NY",2018
VIGNA SOLUTIONS INC,DEVOPS ARCHITECT,133520.0,"NEW YORK, NY",2018
