Company,Job,Salary,Location,Year
GENERAL MOTORS COMPANY,ARTIFICIAL INTELLIGENCE  MACHINE LEARNING RESEARCHER,95004.0,"WARREN, MI",2018
TOTVS INC,ARTIFICIAL INTELLIGENCE - OPERATIONS RESEARCH ANALYST,130000.0,"MOUNTAIN VIEW, CA",2018
ADMIT HUB LLC,ARTIFICIAL INTELLIGENCE CHATBOT ENGINEER,110000.0,"CHICAGO, IL",2018
SIUVO INC,ARTIFICIAL INTELLIGENCE DEVELOPER,87700.0,"PRINCETON, NJ",2018
SIUVO INC,ARTIFICIAL INTELLIGENCE DEVELOPER,87700.0,"PRINCETON, NJ",2018
SIUVO INC,ARTIFICIAL INTELLIGENCE DEVELOPER,87700.0,"PRINCETON, NJ",2018
SIUVO INC,ARTIFICIAL INTELLIGENCE DEVELOPER,87700.0,"PRINCETON, NJ",2018
SONIKS CONSULTING LLC,ARTIFICIAL INTELLIGENCE DEVELOPER,90189.0,"EULESS, TX",2018
SONIKS CONSULTING LLC,ARTIFICIAL INTELLIGENCE DEVELOPER,90646.0,"DALLAS, TX",2018
MIDEA EMERGING TECHNOLOGY CO LTD,ARTIFICIAL INTELLIGENCE ENGINEER,93260.0,"SAN JOSE, CA",2018
LEGENDARY AI LLC,ARTIFICIAL INTELLIGENCE ENGINEER,75000.0,"MELBOURNE, FL",2018
SERVICELINK SERVICES LLC,ARTIFICIAL INTELLIGENCE ENGINEER,96845.0,"MOON TOWNSHIP, PA",2018
MIDEA EMERGING TECHNOLOGY CO LTD,ARTIFICIAL INTELLIGENCE ENGINEER,96990.0,"SAN JOSE, CA",2018
STRAYER UNIVERSITY,ARTIFICIAL INTELLIGENCE ENGINEER,100000.0,"HERNDON, VA",2018
SANDLER,ARTIFICIAL INTELLIGENCE ENGINEER,100000.0,"HERNDON, VA",2018
MIDEA EMERGING TECHNOLOGY CO LTD,ARTIFICIAL INTELLIGENCE ENGINEER,122158.0,"SAN JOSE, CA",2018
AMERICAN HAVAL MOTOR TECHNOLOGY LLC,ARTIFICIAL INTELLIGENCE ENGINEER,145000.0,"FARMINGTON HILLS, MI",2018
UNICORN MARKETS LLC,ARTIFICIAL INTELLIGENCE FINANCIAL ENGINEER,78000.0,"CHICAGO, IL",2018
VISTEON CORPORATION,ARTIFICIAL INTELLIGENCE INTEGRATION ENGINEER,91800.0,"SANTA CLARA, CA",2018
VISTEON CORPORATION,ARTIFICIAL INTELLIGENCE INTEGRATION ENGINEER,91800.0,"SANTA CLARA, CA",2018
VISTEON CORPORATION,ARTIFICIAL INTELLIGENCE R&amp;D SCIENTIST,106080.0,"SANTA CLARA, CA",2018
