Company,Job,Salary,Location,Year
GEOMAGICAL LABS INC,DEEP LEARNING &amp; SLAM 3D VISION RESEARCH ENGINEER,90000.0,"MOUNTAIN VIEW, CA",2018
GEOMAGICAL LABS INC,DEEP LEARNING &amp; SLAM 3D VISION RESEARCH ENGINEER,90000.0,"MOUNTAIN VIEW, CA",2018
IBM CORPORATION,DEEP LEARNING APPLIED SCIENTIST,155819.0,"SAN JOSE, CA",2018
IBM CORPORATION,DEEP LEARNING APPLIED SCIENTIST,158163.0,"SAN JOSE, CA",2018
BLACK SESAME TECHNOLOGIES INC,DEEP LEARNING ARCHITECTURE ENGINEER,105000.0,"SANTA CLARA, CA",2018
MYTHIC INC,DEEP LEARNING DATA SCIENTIST,135000.0,"REDWOOD CITY, CA",2018
FOCAL SYSTEMS INC,DEEP LEARNING ENGINEER,83000.0,"BURLINGAME, CA",2018
PROSCIA INC,DEEP LEARNING ENGINEER,100000.0,"PHILADELPHIA, PA",2018
HYPEVR,DEEP LEARNING ENGINEER,105000.0,"SAN DIEGO, CA",2018
ZENUITY INC,DEEP LEARNING ENGINEER,105000.0,"FARMINGTON HILLS, MI",2018
BOSSA NOVA ROBOTICS INC,DEEP LEARNING ENGINEER,110000.0,"SAN FRANCISCO, CA",2018
ECHONOUS INC,DEEP LEARNING ENGINEER,110000.0,"REDMOND, WA",2018
UBIQUITY6 INC,DEEP LEARNING ENGINEER,120000.0,"SAN FRANCISCO, CA",2018
AQUABYTE INC,DEEP LEARNING ENGINEER,120000.0,"SAN FRANCISCO, CA",2018
WORKDAY INC,DEEP LEARNING ENGINEER,121077.0,"SAN FRANCISCO, CA",2018
AUTOX TECHNOLOGIES INC,DEEP LEARNING ENGINEER,122158.0,"SAN JOSE, CA",2018
OSARO INC,DEEP LEARNING ENGINEER,122824.0,"SAN FRANCISCO, CA",2018
VOLVO CAR TECHNOLOGY USA LLC,DEEP LEARNING ENGINEER,125050.0,"MOUNTAIN VIEW, CA",2018
AUTOX TECHNOLOGIES INC,DEEP LEARNING ENGINEER,125050.0,"SAN JOSE, CA",2018
VOLVO CAR TECHNOLOGY USA LLC,DEEP LEARNING ENGINEER,125050.0,"MOUNTAIN VIEW, CA",2018
MATTERPORT INC,DEEP LEARNING ENGINEER,130000.0,"SUNNYVALE, CA",2018
FOCAL SYSTEMS INC,DEEP LEARNING ENGINEER,135000.0,"BURLINGAME, CA",2018
LIGHTHOUSE AI INC,DEEP LEARNING ENGINEER,151000.0,"PALO ALTO, CA",2018
LIGHTHOUSE AI INC,DEEP LEARNING ENGINEER,155000.0,"PALO ALTO, CA",2018
NVIDIA CORPORATION,DEEP LEARNING GENOMICS SCIENTIST,107786.0,"SANTA CLARA, CA",2018
NVIDIA CORPORATION,DEEP LEARNING GENOMICS SCIENTIST,107786.0,"SANTA CLARA, CA",2018
TUSIMPLE,DEEP LEARNING RESEARCH ENGINEER,108000.0,"SAN DIEGO, CA",2018
TUSIMPLE,DEEP LEARNING RESEARCH ENGINEER,108000.0,"SAN DIEGO, CA",2018
APPLE INC,DEEP LEARNING RESEARCH ENGINEER,147347.0,"CUPERTINO, CA",2018
PATHAI INC,DEEP LEARNING SCIENTIST,120000.0,"CAMBRIDGE, MA",2018
BUTTERFLY NETWORK INC,DEEP LEARNING SCIENTIST,125000.0,"NEW YORK, NY",2018
SIEMENS CORPORATION,DEEP LEARNING SOFTWARE ENGINEER,105000.0,"PRINCETON, NJ",2018
VISTEON CORPORATION,DEEP LEARNING SOFTWARE ENGINEER,106080.0,"VAN BUREN TOWNSHIP, MI",2018
VISTEON CORPORATION,DEEP LEARNING SOFTWARE ENGINEER,110160.0,"VAN BUREN TOWNSHIP, MI",2018
BLACK SESAME TECHNOLOGIES INC,DEEP LEARNING SOFTWARE ENGINEER,130000.0,"SANTA CLARA, CA",2018
ROCHE SEQUENCING SOLUTIONS INC,"DEEP LEARNING, BIOINFORMATICS SCIENTIST OES SOC",104000.0,"SANTA CLARA, CA",2018
