Company,Job,Salary,Location,Year
APTONET INC,FULL STACK .NET DEVELOPER,66000.0,"FORT WAYNE, IN",2018
DAYSMART SOFTWARE LLC,FULL STACK .NET DEVELOPER,96820.0,"ANN ARBOR, MI",2018
CREST FINANCIAL SERVICES LLC,FULL STACK .NET DEVELOPER,84000.0,"DRAPER, UT",2018
HCR GROUP INC,FULL STACK .NET DEVELOPER,85000.0,"SOUTHFIELD, MI",2018
SOLSTICE CONSULTING LLC,FULL STACK .NET DEVELOPER,85000.0,"CHICAGO, IL",2018
HALLMARK GLOBAL TECHNOLOGIES INC,FULL STACK .NET DEVELOPER,85000.0,"SOUTHFIELD, MI",2018
KELLTON TECH INC,FULL STACK .NET DEVELOPER,90000.0,"CHARLOTTE, NC",2018
ORABASE SOLUTIONS LLC,FULL STACK .NET DEVELOPER,90002.0,"HOUSTON, TX",2018
INTELLITRO INC,FULL STACK .NET DEVELOPER,95000.0,"COLLIERVILLE, TX",2018
SAR TECH LLC,FULL STACK .NET DEVELOPER,95680.0,"SOLON, OH",2018
SOFTNICE INC,FULL STACK .NET DEVELOPER,110000.0,"RICHMOND, VA",2018
KORNERSTONE CREDIT LLC,FULL STACK .NET DEVELOPER,110000.0,"DRAPER, UT",2018
AMTEX SYSTEMS INC,FULL STACK .NET PROGRAMMER-ANALYST,97000.0,"LONG ISLAND CITY, NY",2018
ADVANTAGE TECHNICAL RESOURCING INC,FULL STACK APPLICATION ARCHITECT DEVELOPER,134000.0,"RICHMOND, VA",2018
CIBER GLOBAL LLC,FULL STACK APPLICATION DEVELOPER,92000.0,"SOUTHFIELD, MI",2018
CIBER GLOBAL LLC,FULL STACK APPLICATION DEVELOPER,92000.0,"FARMINGTON HILLS, MI",2018
CATCHPOINT SYSTEMS INC,FULL STACK APPLICATION DEVELOPER,75000.0,"NEW YORK, NY",2018
ANAGHA SOLUTIONS INC,FULL STACK APPLICATION DEVELOPER,90000.0,"PHILADELPHIA, PA",2018
ADI WORLDLINK LLC,FULL STACK APPLICATION DEVELOPER - PYTHON AND REACT,105000.0,"NEW YORK, NY",2018
SYMBIOUN TECHNOLOGIES INC,FULL STACK APPLICATION DEVELOPER SOFTWARE DEVELOPER,92800.0,"PISCATAWAY, NJ",2018
TECHNO BYTES INC,FULL STACK ASP.NET DEVELOPER,79893.0,"ALLENTON, PA",2018
BI1 SOLUTIONS INC,FULL STACK AWS DEVELOPER,102669.0,"SAN FRANCISCO, CA",2018
XSEER INC,FULL STACK BACKEND ENGINEER,90000.0,"SANTA CLARA, CA",2018
EIDEX LLC,FULL STACK BUSINESS INTELLIGENCE DEVELOPER,63000.0,"GRAND RAPIDS, MI",2018
GERBERA TECHNOLOGIES INC,FULL STACK BUSINESS INTELLIGENCE DEVELOPER,80000.0,"REDMOND, WA",2018
GERBERA TECHNOLOGIES INC,FULL STACK BUSINESS INTELLIGENCE DEVELOPER,80000.0,"REDMOND, WA",2018
GERBERA TECHNOLOGIES INC,FULL STACK BUSINESS INTELLIGENCE DEVELOPER,80000.0,"REDMOND, WA",2018
GERBERA TECHNOLOGIES INC,FULL STACK BUSINESS INTELLIGENCE DEVELOPER,80000.0,"REDMOND, WA",2018
PIONEER CONSULTING SERVICES LLC,FULL STACK CLOUD ENGINEER,80000.0,"JERSEY CITY, NJ",2018
SPINS VENTURES LLC,FULL STACK DATA DEVELOPER,76500.0,"SHERMAN OAKS, CA",2018
SALESFORCECOM INC,FULL STACK DATA ENGINEER,107786.0,"PALO ALTO, CA",2018
