Company,Job,Salary,Location,Year
PINTEREST INC,AR ACCOUNTANT,76648.0,"SAN FRANCISCO, CA",2019
IMVU INC,AR APPLICATIONS ENGINEER,121077.0,"REDWOOD CITY, CA",2019
INNOPEAK TECHNOLOGY INC,AR SOFTWARE ENGINEER,131726.0,"PALO ALTO, CA",2019
INNOPEAK TECHNOLOGY INC,AR SOFTWARE ENGINEER,131726.0,"PALO ALTO, CA",2019
INNOPEAK TECHNOLOGY INC,AR SOFTWARE ENGINEER,131726.0,"PALO ALTO, CA",2019
FACEBOOK INC,AR VR MARKETING FINANCE MANAGER,188000.0,"MENLO PARK, CA",2019
FACEBOOK INC,AR VR SALES FINANCE MANAGER,161535.0,"MENLO PARK, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,141000.0,"SUNNYVALE, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,164674.0,"SUNNYVALE, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,165000.0,"CUPERTINO, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,170000.0,"CUPERTINO, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,170000.0,"CUPERTINO, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,170000.0,"SUNNYVALE, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,170000.0,"SUNNYVALE, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,200000.0,"SUNNYVALE, CA",2019
APPLE INC,AR VR SOFTWARE DEVELOPMENT ENGINEER,210000.0,"CUPERTINO, CA",2019
HTC AMERICA CONTENT SERVICES INC,VR APP STORE PRODUCT MANAGER E-COMMERCE,85000.0,"SAN FRANCISCO, CA",2019
SCHLUMBERGER TECHNOLOGY CORPORATION,VR AR DEVELOPER,100620.0,"HOUSTON, TX",2019
THE GLIMPSE GROUP INC,VR AR SOFTWARE DEVELOPER &amp; TECH LEAD,72240.0,"NEW YORK, NY",2019
YOUVISIT LLC,VR CONTENT SPECIALIST,71004.0,"NEW YORK, NY",2019
FACEBOOK INC,VR GAMEPLAY PROTOTYPING ENGINEER,210000.0,"MENLO PARK, CA",2019
HUDSON VIEW LABS INC,VR SOFTWARE ENGINEER,62400.0,"CROTON, NY",2019
SPECTRA AUDIO DESIGN GROUP LTD,VIRTUAL REALITY ART DIRECTOR,75000.0,"NEW YORK, NY",2019
HAWAII INTERNATIONAL FILM FESTIVAL,VIRTUAL REALITY EXHIBIT MANAGER + PROGRAMMING ASSISTANT,30000.0,"HONOLULU, HI",2019
HAWAII INTERNATIONAL FILM FESTIVAL,VIRTUAL REALITY EXHIBIT MANAGER + PROGRAMMING ASSISTANT,30000.0,"HONOLULU, HI",2019
HAWAII INTERNATIONAL FILM FESTIVAL,VIRTUAL REALITY EXHIBIT MANAGER + PROGRAMMING ASSISTANT,30000.0,"HONOLULU, HI",2019
HAWAII INTERNATIONAL FILM FESTIVAL,VIRTUAL REALITY EXHIBIT MANAGER + PROGRAMMING ASSISTANT,30000.0,"HONOLULU, HI",2019
VIRTUAL THERAPEUTICS CORPORATION,VIRTUAL REALITY SOFTWARE DEVELOPER,54000.0,"KIRKLAND, WA",2019
YOUVISIT LLC,VIRTUAL REALITY VR 360 CONTENT ASSOCIATE DIRECTOR,65000.0,"NEW YORK, NY",2019
GE OIL &amp; GAS LLC,AUGMENTED REALITY AND DIGITAL TECHNOLOGY SPECIALIST,85000.0,"OKLAHOMA CITY, OK",2019
BAKER HUGHES A GE COMPANY LLC,AUGMENTED REALITY AND DIGITAL TECHNOLOGY SPECIALIST,85000.0,"OKLAHOMA CITY, OK",2019
VERB SURGICAL INC,AUGMENTED REALITY AND VIRTUAL REALITY SOFTWARE ENGINEER,125000.0,"MOUNTAIN VIEW, CA",2019
VERB SURGICAL INC,AUGMENTED REALITY AND VIRTUAL REALITY SOFTWARE ENGINEER,125000.0,"MOUNTAIN VIEW, CA",2019
GE OIL &amp; GAS LLC,AUGMENTED REALITY SPECIALIST ROLE,85000.0,"OKLAHOMA CITY, OK",2019
BAKER HUGHES A GE COMPANY LLC,AUGMENTED REALITY SPECIALIST ROLE,85000.0,"OKLAHOMA CITY, OK",2019
YINZCAM INC,AUGMENTED VIRTUAL REALITY DEVELOPER AR VR DEVELOPER,82399.0,"PITTSBURGH, PA",2019
