Company,Job,Salary,Location,Year
IBM CORPORATION,CYBER ANALYTICS TECHNICAL ARCHITECT,83720.0,"PHOENIX, AZ",2019
JPMORGAN CHASE &amp; CO,CYBER ATTACK ANALYST CSIR,125000.0,"NEW YORK, NY",2019
STROZ FRIEDBERG LLC,CYBER CONSULTANT II - DFIR,100837.0,"NEW YORK, NY",2019
NCR CORPORATION,CYBER DEFENSE MANAGER,145020.0,"ATLANTA, GA",2019
NCR CORPORATION,CYBER DEFENSE MANAGER,145020.0,"ATLANTA, GA",2019
CITIZENS FINANCIAL GROUP INC,CYBER DEFENSE SENIOR SPECIALIST,90376.0,"JOHNSTON, RI",2019
RSM US LLP,"CYBER DUE DILIGENCE DIRECTOR, TRANSACTION ADVISORY SERVICES",190000.0,"PHILADELPHIA, PA",2019
THE TRUSTEES OF PRINCETON UNIVERSITY,CYBER INFRASTRUCTURE ENGINEER,95284.0,"PRINCETON, NJ",2019
THE TRUSTEES OF PRINCETON UNIVERSITY,CYBER INFRASTRUCTURE ENGINEER RESEARCHER,95284.0,"PRINCETON, NJ",2019
THE TRUSTEES OF PRINCETON UNIVERSITY,CYBER INFRASTRUCTURE ENGINEER RESEARCHER,95284.0,"PRINCETON, NJ",2019
MCKINSEY &amp; COMPANY INC UNITED STATES,CYBER KNOWLEDGE SPECIALIST,105000.0,"NEW YORK, NY",2019
WESTERN WASHINGTON UNIVERSITY,CYBER RANGE MASTER,80000.0,"POULSBO, WA",2019
BARCLAYS SERVICES CORP,CYBER RESPONSE SENIOR ANALYST,93000.0,"WHIPPANY, NJ",2019
RISK MANAGEMENT SOLUTIONS INC,CYBER RISK ANALYST,104208.0,"HOBOKEN, NJ",2019
GRANT THORNTON LLP,CYBER RISK EXPERIENCED ASSOCIATE,82100.0,"PHILADELPHIA, PA",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,122000.0,"MINNEAPOLIS, MN",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,143300.0,"CHICAGO, IL",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,145000.0,"NEW YORK, NY",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,145000.0,"SAN FRANCISCO, CA",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,145000.0,"NEW YORK, NY",2019
GRANT THORNTON LLP,CYBER RISK MANAGER,152000.0,"ARLINGTON, VA",2019
FAIR ISAAC CORPORATION,CYBER SECURITY - ENGINEER I,78915.0,"AUSTIN, TX",2019
PEPSICO INC,CYBER SECURITY - GLOBAL SECURITY SPLUNK ENGINEER,132400.0,"PLANO, TX",2019
FEDEX CORPORATE SERVICES INC,CYBER SECURITY ADVISOR,105432.0,"COLLIERVILLE, TN",2019
MPRSOFT INC,CYBER SECURITY ANALYST,65000.0,"WASHINGTON, DC",2019
MPRSOFT INC,CYBER SECURITY ANALYST,65000.0,"WASHINGTON, DC",2019
MPRSOFT INC,CYBER SECURITY ANALYST,65686.0,"WASHINGTON, DC",2019
DYNPRO INC,CYBER SECURITY ANALYST,67000.0,"MECHANICSBURG, PA",2019
TRADEWEB MARKETS LLC,CYBER SECURITY ANALYST,70000.0,"JERSEY CITY, NJ",2019
SYMANTEC CORPORATION,CYBER SECURITY ANALYST,75000.0,"HERNDON, VA",2019
GURUCUL SOLUTIONS LLC,CYBER SECURITY ANALYST,76773.0,"EL SEGUNDO, CA",2019
GURUCUL SOLUTIONS LLC,CYBER SECURITY ANALYST,76773.0,"EL SEGUNDO, CA",2019
GURUCUL SOLUTIONS LLC,CYBER SECURITY ANALYST,76773.0,"EL SEGUNDO, CA",2019
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ANALYST,77438.0,"RESTON, VA",2019
PALADION NETWORKS PRIVATE LIMITED,CYBER SECURITY ANALYST,77438.0,"RESTON, VA",2019
UL LLC,CYBER SECURITY ANALYST,82056.0,"NORTHBROOK, IL",2019
ALPINE CYBER SOLUTIONS LLC,CYBER SECURITY ANALYST,83000.0,"MALVERN, PA",2019
ALPINE CYBER SOLUTIONS LLC,CYBER SECURITY ANALYST,84406.0,"POTTSTOWN, PA",2019
HOMESITE GROUP INC,CYBER SECURITY ANALYST,84500.0,"BOSTON, MA",2019
HOMESITE GROUP INC,CYBER SECURITY ANALYST,84500.0,"BOSTON, MA",2019
DYNPRO INC,CYBER SECURITY ANALYST,85000.0,"ALPHARETTA, GA",2019
DYNPRO INC,CYBER SECURITY ANALYST,85000.0,"ALPHARETTA, GA",2019
PERIMETERX INC,CYBER SECURITY ANALYST,85000.0,"SAN MATEO, CA",2019
HOMESITE GROUP INC,CYBER SECURITY ANALYST,85000.0,"BOSTON, MA",2019
SARANSH INC,CYBER SECURITY ANALYST,95000.0,"RICHARDSON, TX",2019
SARANSH INC,CYBER SECURITY ANALYST,95000.0,"ATLANTA, GA",2019
SARANSH INC,CYBER SECURITY ANALYST,95000.0,"RICHARDSON, TX",2019
SARANSH INC,CYBER SECURITY ANALYST,95000.0,"ATLANTA, GA",2019
SARANSH INC,CYBER SECURITY ANALYST,100000.0,"RICHARDSON, TX",2019
BRIDGEWATER ASSOCIATES LP,CYBER SECURITY ANALYST,103834.0,"WILTON, CT",2019
BRIDGEWATER ASSOCIATES LP,CYBER SECURITY ANALYST,103834.0,"WILTON, CT",2019
FIRST EAGLE INVESTMENT MANAGEMENT LLC,CYBER SECURITY ANALYST,150000.0,"NEW YORK, NY",2019
TCF NATIONAL BANK,CYBER SECURITY ANALYST I,63939.0,"PLYMOUTH, MN",2019
DOBLE ENGINEERING COMPANY,CYBER SECURITY ANALYST I,88500.0,"MARLBOROUGH, MA",2019
DOBLE ENGINEERING COMPANY,CYBER SECURITY ANALYST I,89461.0,"WATERTOWN, MA",2019
CHILDREN&#39;S HOSPITAL CORPORATION,CYBER SECURITY ANALYST III,118037.0,"BOSTON, MA",2019
SWAN &amp; LEGEND MANAGEMENT SERVICES COMPANIES LLC,CYBER SECURITY AND RISK MANAGEMENT ANALYST,75500.0,"LEESBURG, VA",2019
STABILITY TP - LOS ANGELES LLC,CYBER SECURITY ARCHITECT,105000.0,"LOS ANGELES, CA",2019
RIVIERA CONSULTING LLC,CYBER SECURITY ARCHITECT,180000.0,"SAN FRANCISCO, CA",2019
TRAVELPORT LP,CYBER SECURITY ARCHITECT  IDENTITY &amp; ACCESS MANAGEMENT,113006.0,"ATLANTA, GA",2019
APEX TECHNOLOGY GROUP INC,CYBER SECURITY BUSINESS ANALYST,96554.0,"WASHINGTON, DC",2019
APEX TECHNOLOGY GROUP INC,CYBER SECURITY BUSINESS ANALYST,96554.0,"WASHINGTON DC, DC",2019
APEX TECHNOLOGY GROUP INC,CYBER SECURITY BUSINESS ANALYST,97094.0,"WASHINGTON DC, DC",2019
INTERNATIONAL BUSINESS MACHINES CORPORATION,CYBER SECURITY BUSINESS DEVELOPMENT SPECIALIST,88150.0,"CAMBRIDGE, MA",2019
LOGIC PLANET INC,CYBER SECURITY CONSULTANT,79830.0,"MILWAUKEE, WI",2019
