Company,Job,Salary,Location,Year
MICRON TECHNOLOGY INC,DEEP LEARNING COMPILER ENGINEER,160000.0,"SEATTLE, WA",2020
VEONEER SYSTEM SOFTWARE INC,DEEP LEARNING ENGINEER,80000.0,"NOVI, MI",2020
TUSIMPLE INC,DEEP LEARNING ENGINEER,102502.0,"SAN DIEGO, CA",2020
CENTER FOR DEEP LEARNING IN ELECTRONICS MANUFACTURING INC,DEEP LEARNING ENGINEER,108784.0,"SAN JOSE, CA",2020
PHIAR TECHNOLOGIES INC,DEEP LEARNING ENGINEER,120000.0,"REDWOOD CITY, CA",2020
RAIN NEUROMORPHICS INC,DEEP LEARNING ENGINEER,130000.0,"REDWOOD CITY, CA",2020
SAMSUNG RESEARCH AMERICA INC,DEEP LEARNING ENGINEER,141586.0,"MOUNTAIN VIEW, CA",2020
MATROID INC,DEEP LEARNING ENGINEER,142000.0,"PALO ALTO, CA",2020
MATROID INC,DEEP LEARNING ENGINEER,142000.0,"PALO ALTO, CA",2020
MATROID INC,DEEP LEARNING ENGINEER,142000.0,"PALO ALTO, CA",2020
A3 BY AIRBUS LLC,DEEP LEARNING ENGINEER,160000.0,"SUNNYVALE, CA",2020
IRIS AUTOMATION INC,DEEP LEARNING ENGINEER,170000.0,"SAN FRANCISCO, CA",2020
CROWDAI INC,DEEP LEARNING ENGINEER,170000.0,"SAN FRANCISCO, CA",2020
MATROID INC,DEEP LEARNING ENGINEER,200000.0,"PALO ALTO, CA",2020
NAUTO INC,DEEP LEARNING ENGINEER - SCENE UNDERSTANDING,108784.0,"PALO ALTO, CA",2020
NAUTO INC,DEEP LEARNING ENGINEER-SCENE,141586.0,"PALO ALTO, CA",2020
NAUTO INC,DEEP LEARNING ENGINEER-SCENE,141586.0,"PALO ALTO, CA",2020
STANDARD COGNITION CORP,DEEP LEARNING RESEARCHER,125000.0,"ALHAMBRA, CA",2020
SUBTLE MEDICAL INC,DEEP LEARNING SCIENTIST,107182.0,"MENLO PARK, CA",2020
AFFECTIVA INC,DEEP LEARNING SCIENTIST,140000.0,"BOSTON, MA",2020
AI THERAPEUTICS INC,DEEP LEARNING SCIENTIST,140000.0,"GUILFORD, CT",2020
