Company,Job,Salary,Location,Year
RCUBE TECHNOLOGY INC,FULL STACK  JAVA DEVELOPER,90000.0,"RIVERWOODS, IL",2020
RCUBE TECHNOLOGY INC,FULL STACK  JAVA DEVELOPER,95430.0,"SNOQUALMIE, WA",2020
JOHN WILEY &amp; SONS INC,FULL STACK &amp; ANALYTICS PLATFORM ENGINEER,112000.0,"HOBOKEN, NJ",2020
STARCHASE LLC,FULL STACK &amp; APPLICATIONS DEVELOPER,80000.0,"VIRGINIA BEACH, VA",2020
TEXPERTS INC,FULL STACK .NET DEVELOPER,76000.0,"CARROLLTON, TX",2020
APTONET INC,FULL STACK .NET DEVELOPER,89300.0,"FORT WAYNE, IN",2020
DAYSMART SOFTWARE LLC,FULL STACK .NET DEVELOPER,108160.0,"ANN ARBOR, MI",2020
KC SYNERGY SOLUTIONSINC,FULL STACK .NET DEVELOPER,115420.0,"AUSTIN, TX",2020
KC SYNERGY SOLUTIONSINC,FULL STACK .NET DEVELOPER,115420.0,"AUSTIN, TX",2020
POINT OF RENTAL INC,FULL STACK .NET DEVELOPER,65000.0,"FT. WORTH, TX",2020
INDUS GROUP INC,FULL STACK .NET DEVELOPER,80000.0,"BROOKLYN, NY",2020
SAPPHIRE SOFTWARE SOLUTIONS INC,FULL STACK .NET DEVELOPER,80000.0,"DAYTON, OH",2020
IBLESOFT INC,FULL STACK .NET DEVELOPER,80000.0,"MIAMI, FL",2020
IBLESOFT INC,FULL STACK .NET DEVELOPER,80000.0,"MIAMI, FL",2020
KEYPIXEL SOFTWARE SOLUTIONS LLC,FULL STACK .NET DEVELOPER,81474.0,"TIMONIUM, MD",2020
ANTRA INC,FULL STACK .NET DEVELOPER,81500.0,"COLUMBIA, MD",2020
VISUAL IT SERVICES INC,FULL STACK .NET DEVELOPER,83637.0,"TEMPE, AZ",2020
VERTEX CONSULTING SERVICES INC,FULL STACK .NET DEVELOPER,87838.0,"BUFFALO GROVE, IL",2020
TECHNODEED LLC,FULL STACK .NET DEVELOPER,89918.0,"CHARLOTTE, NC",2020
HALLMARK GLOBAL TECHNOLOGIES INC,FULL STACK .NET DEVELOPER,90000.0,"HARRISBURG, PA",2020
SDH SYSTEMS LLC,FULL STACK .NET DEVELOPER,91104.0,"GREENVILLE, SC",2020
SDH SYSTEMS LLC,FULL STACK .NET DEVELOPER,91104.0,"GREENVILLE, SC",2020
SDH SYSTEMS LLC,FULL STACK .NET DEVELOPER,91104.0,"GREENVILLE, SC",2020
