Company,Job,Salary,Location,Year
SOUTH MIAMI PHARMACY II INC,TESTING,100000.0,"MIAMI, FL",2020
ATOS SYNTEL INC,TESTING &amp; QA CONSULTANT,62000.0,"CHICAGO, IL",2020
ATOS SYNTEL INC,TESTING &amp; QA CONSULTANT,77438.0,"CHICAGO, IL",2020
VEN SOFT LLC,TESTING ANALYST,94307.0,"IRVING, TX",2020
UNITED SOFTWARE GROUP INC,TESTING ANALYST,103000.0,"WOODLAND HILLS, CA",2020
TRC ENGINEERS LLC,TESTING AND COMMISSIONING ENGINEER,67018.0,"LANCASTER, PA",2020
ATOS SYNTEL INC,TESTING AND QUALITY ASSURANCE CONSULTANT,80522.0,"CHICAGO, IL",2020
SUNERA TECHNOLOGIES INC,TESTING ARCHITECT,80995.0,"MIAMI, FL",2020
ECHELON SOLUTIONS GROUP LLC,TESTING ARCHITECT,95000.0,"NAPERVILLE, IL",2020
SUNERA TECHNOLOGIES INC,TESTING ARCHITECT,98738.0,"MIAMI, FL",2020
TECHSMART GLOBAL INC,TESTING AUTOMATION ENGINEER,79560.0,"IRVING, TX",2020
WAGEWORKS INC,TESTING AUTOMATION ENGINEER,79560.0,"IRVING, TX",2020
LOGIX GURU LLC,TESTING BUSINESS ANALYST,90000.0,"PITTSBURGH, PA",2020
LOGIX GURU LLC,TESTING BUSINESS ANALYST,90000.0,"PITTSBURGH, PA",2020
SEQGEN INC,TESTING ENGINEER,61960.0,"TORRANCE, CA",2020
TEXPERTS INC,TESTING ENGINEER,74000.0,"OVERLAND PARK, KS",2020
NGK AUTOMOTIVE CERAMICS USA INC,TESTING ENGINEER,68000.0,"NOVI, MI",2020
BLOOMBERG LP,TESTING ENGINEER,117500.0,"NEW YORK, NY",2020
BARCLAYS SERVICES LLC,TESTING ENGINEER,119500.0,"HENDERSON, NV",2020
ANSYS INC,TESTING ENGINEER I,63794.0,"CANONSBURG, PA",2020
ANSYS INC,TESTING ENGINEER I,63794.0,"CANONSBURG, PA",2020
ANSYS INC,TESTING ENGINEER I,69202.0,"LEBANON, NH",2020
ANSYS INC,TESTING ENGINEER I,69202.0,"LEBANON, NH",2020
ANSYS INC,TESTING ENGINEER I,70429.0,"CONCORD, MA",2020
ANSYS INC,TESTING ENGINEER I,70429.0,"CONCORD, MA",2020
ANSYS INC,TESTING ENGINEER II,70000.0,"CANONSBURG, PA",2020
ANSYS INC,TESTING ENGINEER II,77355.0,"CANONSBURG, PA",2020
ANSYS INC,TESTING ENGINEER II,77355.0,"CANONSBURG, PA",2020
NTT DATA SERVICES LLC,TESTING ENGINEERING ANALYST,55474.0,"MEMPHIS, TN",2020
NTT DATA SERVICES LLC,TESTING ENGINEERING SPECIALIST,78790.0,"LOUISVILLE, KY",2020
NTT DATA SERVICES LLC,TESTING ENGINEERING SPECIALIST,79560.0,"PLANO, TX",2020
NTT DATA INC,TESTING ENGINEERING SPECIALIST,83957.0,"CHARLOTTE, NC",2020
NTT DATA INC,TESTING ENGINEERING SPECIALIST,83957.0,"CHARLOTTE, NC",2020
NTT DATA INC,TESTING ENGINEERING SPECIALIST,92976.0,"BALA CYNWYD, PA",2020
NTT DATA SERVICES LLC,TESTING ENGINEERING SPECIALIST,93538.0,"PLANO, TX",2020
NTT DATA SERVICES LLC,TESTING ENGINEERING SPECIALIST,93538.0,"PLANO, TX",2020
AMERICAN FAMILY MUTUAL INSURANCE COMPANY SI,TESTING ENGINEERING SPECIALIST,97100.0,"MADISON, WI",2020
AMERICAN FAMILY MUTUAL INSURANCE COMPANY SI,TESTING ENGINEERING SPECIALIST,97100.0,"MADISON, WI",2020
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,TESTING ENGINEERING SPECIALIST,108000.0,"MADISON, WI",2020
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,TESTING ENGINEERING SPECIALIST,108659.0,"MADISON, WI",2020
