Company,Job,Salary,Location,Year
INTENSIFY TECHNOLOGIES INC,SCRUM MANAGER,111197.0,"IRVINE, CA",2021
MAGANTI GROUP LLC,SCRUM MASTER,70000.0,"NORTH ATTLEBORO, MA",2021
EATEAM INC,SCRUM MASTER,70700.0,"RICHMOND, VA",2021
ASTA CRS INC,SCRUM MASTER,71160.0,"ATLANTA, GA",2021
EATEAM INC,SCRUM MASTER,71180.0,"SOUTHLAKE, TX",2021
NATIONAL CONSULTING GROUP INC,SCRUM MASTER,71720.0,"GREEN BAY, WI",2021
NEUMERIC TECHNOLOGIES CORPORATION,SCRUM MASTER,74000.0,"FRISCO, TX",2021
SUDHI INFOMATICS INC,SCRUM MASTER,74000.0,"SCHAUMBURG, IL",2021
SUDHI INFOMATICS INC,SCRUM MASTER,74000.0,"ROWLETT, TX",2021
SUDHI INFOMATICS INC,SCRUM MASTER,74000.0,"ROWLETT, TX",2021
4 PEAKS BUSINESS SOLUTION LLC,SCRUM MASTER,74020.0,"INDIANAPOLIS, IN",2021
IVYNOVA SOLUTIONS INC,SCRUM MASTER,74440.0,"DOWNINGTOWN, PA",2021
BEYOND AGILITY SOLUTIONS INC,SCRUM MASTER,76000.0,"CHICAGO, IL",2021
BEYOND AGILITY SOLUTIONS INC,SCRUM MASTER,76000.0,"LEWIS CENTER, OH",2021
BEYOND AGILITY SOLUTIONS INC,SCRUM MASTER,76000.0,"LEWIS CENTER, OH",2021
BEYOND AGILITY SOLUTIONS INC,SCRUM MASTER,76000.0,"LEWIS CENTER, OH",2021
BEYOND AGILITY SOLUTIONS INC,SCRUM MASTER,76000.0,"LEWIS CENTER, OH",2021
SUDHI INFOMATICS INC,SCRUM MASTER,80000.0,"PISCATAWAY, NJ",2021
BEACON HILL STAFFING GROUP LLC,SCRUM MASTER,80000.0,"MARYLAND HEIGHTS, MO",2021
NORTH POINT IT CORP,SCRUM MASTER,80000.0,"GREEN BAY, WI",2021
GENOA EMPLOYMENT SOLUTIONS INC,SCRUM MASTER,82040.0,"OKEMOS, MI",2021
GLOBAL BRIDGE INFOTECH INC,SCRUM MASTER,84000.0,"BUFFALO GROVE, IL",2021
SUDHI INFOMATICS INC,SCRUM MASTER,86000.0,"NORFOLK, VA",2021
SUDHI INFOMATICS INC,SCRUM MASTER,86000.0,"NORFOLK, VA",2021
BEACON HILL STAFFING GROUP LLC,SCRUM MASTER,86000.0,"HARTFORD, CT",2021
INCEPT DATA SOLUTIONS INC,SCRUM MASTER,86000.0,"IRVING, TX",2021
SUDHI INFOMATICS INC,SCRUM MASTER,86000.0,"NORFOLK, VA",2021
CORE IT SOLUTIONS INC,SCRUM MASTER,88340.0,"SAN ANTONIO, TX",2021
CORE IT SOLUTIONS INC,SCRUM MASTER,90420.0,"SAN ANTONIO, TX",2021
INFOSPAN INC,SCRUM MASTER,92000.0,"CHICAGO, IL",2021
PRECISION TECHNOLOGIES CORP,SCRUM MASTER,92540.0,"MERRIMACK, NH",2021
I3 INFOTEK INC,SCRUM MASTER,94000.0,"ROCKVILLE, MD",2021
I3 INFOTEK INC,SCRUM MASTER,94000.0,"ROCKVILLE, MD",2021
I3 INFOTEK INC,SCRUM MASTER,94000.0,"ROCKVILLE, MD",2021
POPULUS GROUP LLC,SCRUM MASTER,96200.0,"BROOKLYN PARK, MN",2021
VLINK INC,SCRUM MASTER,98000.0,"HENRICO, VA",2021
SUDHI INFOMATICS INC,SCRUM MASTER,104000.0,"EDEN PRAIRIE, MN",2021
CONCEPTS INFORMATION TECHNOLOGY INC,SCRUM MASTER,114000.0,"CHANTILLY, VA",2021
KYYBA INC,SCRUM MASTER,114320.0,"RALEIGH, NC",2021
HIRE IT PEOPLE INC,SCRUM MASTER,120000.0,"BELLEVUE, WA",2021
HIRE IT PEOPLE INC,SCRUM MASTER,120000.0,"BELLEVUE, WA",2021
POPULUS GROUP LLC,SCRUM MASTER,126540.0,"BENTONVILLE, AR",2021
POPULUS GROUP LLC,SCRUM MASTER,126540.0,"BENTONVILLE, AR",2021
POPULUS GROUP LLC,SCRUM MASTER,130000.0,"FARMINGTON, CT",2021
POPULUS GROUP LLC,SCRUM MASTER,130000.0,"BENTONVILLE, AR",2021
MINDLANCE INC,SCRUM MASTER,132000.0,"MCLEAN, VA",2021
REVEL IT INC,SCRUM MASTER,134000.0,"DUBLIN, OH",2021
TEK TREE LLC,SCRUM MASTER,60133.0,"LOUISVILLE, KY",2021
PIORION SOLUTIONSINC,SCRUM MASTER,60133.0,"LOUISVILLE, KY",2021
MP INFOTECH CORP,SCRUM MASTER,60133.0,"LOUISVILLE, KY",2021
VISTADOS CORP,SCRUM MASTER,62000.0,"LOUISVILLE, KY",2021
ATOS SYNTEL INC,SCRUM MASTER,64000.0,"LOUISVILLE, KY",2021
