Company,Job,Salary,Location,Year
MAVEN COALITION INC,MACHINE LEARNING,150000.0,"SEATTLE, WA",2021
MAVEN COALITION INC,MACHINE LEARNING,150000.0,"SAN FRANCISCO, CA",2021
QBOTICA INC,MACHINE LEARNING  CHATBOT DEVELOPER,83637.0,"PHOENIX, AZ",2021
QBOTICA INC,MACHINE LEARNING  CHATBOT DEVELOPER,83637.0,"PHOENIX, AZ",2021
VERIFAI INC,MACHINE LEARNING  REINFORCEMENT LEARNING ENGINEER,100526.0,"JERSEY CITY, NJ",2021
BLUESUIT TECHNOLOGIES INC,MACHINE LEARNING &amp; DATA ENGINEER,105000.0,"DENVER, CO",2021
GRIDSMART TECHNOLOGIES INC,MACHINE LEARNING AI ENGINEER USA,97947.0,"NEWARK, NJ",2021
GRIDSMART TECHNOLOGIES INC,MACHINE LEARNING AI ENGINEER USA,97947.0,"KNOXVILLE, TN",2021
EBSCO PUBLISHING,MACHINE LEARNING AI SYSTEM ANALYTICS ENGINEER,100000.0,"IPSWICH, MA",2021
ACTIV SURGICAL INC,MACHINE LEARNING ALGORITHM DEVELOPER,150000.0,"BOSTON, MA",2021
QUINSTREET INC,MACHINE LEARNING ANALYST,145000.0,"FOSTER CITY, CA",2021
LUMILEDS LLC,MACHINE LEARNING ANALYST ENGINEER,79560.0,"SAN JOSE, CA",2021
GOVERNMENT WORKS INC,MACHINE LEARNING AND ARTIFICIAL INTELLIGENCE EXPERT,89000.0,"SOUTHBOROUGH, MA",2021
GOVERNMENT WORKS INC,MACHINE LEARNING AND ARTIFICIAL INTELLIGENCE EXPERT,99000.0,"SOUTHBOROUGH, MA",2021
PALAYEKAR COMPANIES INC,MACHINE LEARNING AND AUTOMATION ENGINEER,67766.0,"CRANBURY, NJ",2021
NOD INC,MACHINE LEARNING AND COMPUTER VISION ENGINEER,120578.0,"SANTA CLARA, CA",2021
HOLOGIC INC,MACHINE LEARNING AND IMAGE PROCESSING SCIENTIST,150000.0,"SANTA CLARA, CA",2021
OCTOML INC,MACHINE LEARNING AND SYSTEMS ENGINEER,120000.0,"SEATTLE, WA",2021
ADOBE INC,MACHINE LEARNING APPLIED RESEARCH SCIENTIST,184080.0,"SAN JOSE, CA",2021
QUALTRICS LLC,MACHINE LEARNING APPLIED SCIENTIST,155000.0,"SEATTLE, WA",2021
DOMA CORPORATE LLC,MACHINE LEARNING ARCHITECT,200000.0,"SAN DIEGO, CA",2021
PAYFONE INC,MACHINE LEARNING CONSULTANT,167710.0,"REDWOOD CITY, CA",2021
3M COMPANY,MACHINE LEARNING DATA ENGINEER,125104.0,"MAPLEWOOD, MN",2021
H1 INSIGHTS INC,MACHINE LEARNING DATA ENGINEER,155000.0,"NEW YORK, NY",2021
EBSCO PUBLISHING,MACHINE LEARNING DATA SCIENTIST,90000.0,"IPSWICH, MA",2021
LEAD ALLIES INC,MACHINE LEARNING DEVELOPER,85000.0,"FRISCO, TX",2021
SEQUIUM ASSET SOLUTIONS LLC,MACHINE LEARNING DEVELOPER,85842.0,"MARIETTA, GA",2021
SEQUIUM ASSET SOLUTIONS LLC,MACHINE LEARNING DEVELOPER,85842.0,"MARIETTA, GA",2021
SAS INSTITUTE INC,MACHINE LEARNING DEVELOPER,103584.0,"CARY, NC",2021
CELESTIAL AI INC,MACHINE LEARNING DEVELOPER,120000.0,"SUNNYVALE, CA",2021
INFOBAHN SOFTWORLD INC,MACHINE LEARNING DEVELOPER,120578.0,"MOUNTAIN VIEW, CA",2021
INFOBAHN SOFTWORLD INC,MACHINE LEARNING DEVELOPER,120578.0,"MOUNTAIN VIEW, CA",2021
UNITED WHOLESALE MORTGAGE LLC,MACHINE LEARNING DEVELOPER,140000.0,"PONTIAC, MI",2021
APPLE INC,MACHINE LEARNING ENG 4,170540.0,"CUPERTINO, CA",2021
APPLE INC,MACHINE LEARNING ENG 4,175350.0,"CUPERTINO, CA",2021
COMPROBASE INC,MACHINE LEARNING ENGINEER,73400.0,"GREENVILLE, SC",2021
PRIMESOFT INC,MACHINE LEARNING ENGINEER,98000.0,"BROOKLYN, NY",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,100000.0,"DALLAS, TX",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,100000.0,"DALLAS, TX",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,120000.0,"AUSTIN, TX",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,120000.0,"SAN JOSE, CA",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,120000.0,"AUSTIN, TX",2021
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,120000.0,"SAN JOSE, CA",2021
UNITY TECHNOLOGIES SF,MACHINE LEARNING ENGINEER,134620.0,"BELLEVUE, WA",2021
KELLS INC,MACHINE LEARNING ENGINEER,140000.0,"BROOKLYN, NY",2021
KELLS INC,MACHINE LEARNING ENGINEER,140000.0,"BROOKLYN, NY",2021
VOLT MANAGEMENT CORP,MACHINE LEARNING ENGINEER,180000.0,"FOSTER CITY, CA",2021
VOLT MANAGEMENT CORP,MACHINE LEARNING ENGINEER,180000.0,"FOSTER CITY, CA",2021
GALILEO CDS INC,MACHINE LEARNING ENGINEER,58500.0,"EL DORADO HILLS, CA",2021
OFFICE DEPOT LLC,MACHINE LEARNING ENGINEER,62712.0,"BOCA RATON, FL",2021
NOVAMEGHA LLC,MACHINE LEARNING ENGINEER,63000.0,"BUFFALO, NY",2021
VERIDIC SOLUTIONS LLC,MACHINE LEARNING ENGINEER,65000.0,"BENTONVILLE, AR",2021
DYNAMIC TECHNOLOGY INC,MACHINE LEARNING ENGINEER,65000.0,"BENTONVILLE, AR",2021
PRECISIONGX INC,MACHINE LEARNING ENGINEER,65000.0,"DALLAS, TX",2021
DEMATIC CORP,MACHINE LEARNING ENGINEER,68016.0,"HOLLAND, MI",2021
DEMATIC CORP,MACHINE LEARNING ENGINEER,68016.0,"HOLLAND, MI",2021
ACV AUCTIONS INC,MACHINE LEARNING ENGINEER,68432.0,"BUFFALO, NY",2021
ACV AUCTIONS INC,MACHINE LEARNING ENGINEER,68432.0,"BUFFALO, NY",2021
ACV AUCTIONS INC,MACHINE LEARNING ENGINEER,68432.0,"BUFFALO, NY",2021
CENTURY INTERACTIVE COMPANY LC,MACHINE LEARNING ENGINEER,70000.0,"DALLAS, TX",2021
CENTURY INTERACTIVE COMPANY LC,MACHINE LEARNING ENGINEER,70000.0,"DALLAS, TX",2021
XPRESS TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,72000.0,"SCOTTSDALE, AZ",2021
TANGENSIS INC,MACHINE LEARNING ENGINEER,75317.0,"BUFFALO, NY",2021
INFOYOGI LLC,MACHINE LEARNING ENGINEER,75878.0,"LAS VEGAS, NV",2021
INFOYOGI LLC,MACHINE LEARNING ENGINEER,75878.0,"LAS VEGAS, NV",2021
ANG TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,77875.0,"BELLEVUE, WA",2021
UNIVERSAL ROBOTICS INC,MACHINE LEARNING ENGINEER,78000.0,"NASHVILLE, TN",2021
UNIVERSAL ROBOTICS INC,MACHINE LEARNING ENGINEER,78000.0,"NASHVILLE, TN",2021
GLIPPED INC,MACHINE LEARNING ENGINEER,78125.0,"ANAHEIM, CA",2021
BUSINESSOLVERCOM INC,MACHINE LEARNING ENGINEER,78700.0,"BELLEVUE, WA",2021
H LEE MOFFITT CANCER CENTER &amp; RESEARCH INSTITUTE INC,MACHINE LEARNING ENGINEER,79311.0,"TAMPA, FL",2021
CLOSEDLOOPAI INC,MACHINE LEARNING ENGINEER,80000.0,"AUSTIN, TX",2021
TOWER HILL INSURANCE GROUP LLC,MACHINE LEARNING ENGINEER,80000.0,"GAINESVILLE, FL",2021
SINGULARITY SYSTEMS INC,MACHINE LEARNING ENGINEER,80000.0,"PRINCETON, NJ",2021
SINGULARITY SYSTEMS INC,MACHINE LEARNING ENGINEER,80000.0,"PRINCETON, NJ",2021
CLOSEDLOOPAI INC,MACHINE LEARNING ENGINEER,80000.0,"AUSTIN, TX",2021
SINGULARITY SYSTEMS INC,MACHINE LEARNING ENGINEER,80000.0,"PRINCETON, NJ",2021
ICURO LLC,MACHINE LEARNING ENGINEER,80000.0,"BLACKSBURG, VA",2021
ACV AUCTIONS INC,MACHINE LEARNING ENGINEER,80267.0,"CHARLOTTE, NC",2021
DEKA RESEARCH &amp; DEVELOPMENT CORP,MACHINE LEARNING ENGINEER,81000.0,"MANCHESTER, NH",2021
DEKA RESEARCH &amp; DEVELOPMENT CORP,MACHINE LEARNING ENGINEER,81000.0,"MANCHESTER, NH",2021
OLIVE AI INC,MACHINE LEARNING ENGINEER,81500.0,"TAMPA, FL",2021
GATC HEALTH CORP,MACHINE LEARNING ENGINEER,81900.0,"PITTSBURGH, PA",2021
VIDEAHEALTH INC,MACHINE LEARNING ENGINEER,83500.0,"CAMBRIDGE, MA",2021
VIDEAHEALTH INC,MACHINE LEARNING ENGINEER,83500.0,"CAMBRIDGE, MA",2021
CNET GLOBAL SOLUTIONS INC,MACHINE LEARNING ENGINEER,85000.0,"RICHARDSON, TX",2021
QUICKEN LOANS LLC,MACHINE LEARNING ENGINEER,85000.0,"DETROIT, MI",2021
