Company,Job,Salary,Location,Year
FLUXTEK SOLUTIONS INC,MOBILE  SOFTWARE ENGINEER,74000.0,"DETROIT, MI",2021
FLUXTEK SOLUTIONS INC,MOBILE  SOFTWARE ENGINEER,90100.0,"DETROIT, MI",2021
NEXTILES INC,MOBILE &amp; FULL STACK ENGINEER,80000.0,"BROOKLYN, NY",2021
FORD MOTOR COMPANY,MOBILE AI VISION SYSTEM SOFTWARE ENGINEER,86400.0,"FARMINGTON HILLS, MI",2021
BAYLOR SCOTT &amp; WHITE HEALTH,MOBILE ANDROID DEVELOPER,129000.0,"DALLAS, TX",2021
BAYLOR SCOTT &amp; WHITE HEALTH,MOBILE ANDROID DEVELOPER,129000.0,"DALLAS, TX",2021
COSTCO WHOLESALE CORPORATION,MOBILE APP ANDROID DEVELOPER,130000.0,"ISSAQUAH, WA",2021
FORD MOTOR COMPANY,MOBILE APP DEVELOPERS - ANDROID &amp; IOS,75420.0,"CANTON, MI",2021
FORD MOTOR COMPANY,MOBILE APP DEVELOPERS - ANDROID &amp; IOS,102900.0,"NORTHVILLE, MI",2021
LESLIE&#39;S POOLMART INC,MOBILE APP PRODUCT MANAGER,145000.0,"PHOENIX, AZ",2021
PETSMART LLC (F/K/A PETSMART INC),MOBILE APPLICATION ANALYST,85000.0,"PHOENIX, AZ",2021
KK ASSOCIATES LLC,MOBILE APPLICATION AUTOMATION ENGINEER,116999.0,"SAN DIEGO, CA",2021
AMEEX TECHNOLOGIES CORP,MOBILE APPLICATION DEVELOPER,86560.0,"HOUSTON, TX",2021
LOTUSDATA LLP,MOBILE APPLICATION DEVELOPER,92000.0,"PARKER, CO",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,66040.0,"NEENAH, WI",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,72384.0,"AUSTIN, TX",2021
TECHNIQORE SOLUTIONS INC,MOBILE APPLICATION DEVELOPER,73757.0,"LOUISVILLE,, KY",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,78811.0,"NEW YORK, NY",2021
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,MOBILE APPLICATION DEVELOPER,79000.0,"OKLAHOMA CITY, OK",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,79914.0,"NEW YORK, NY",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,83637.0,"ST. LOUIS, MO",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,83637.0,"ST. LOUIS, MO",2021
NORTHEASTERN UNIVERSITY,MOBILE APPLICATION DEVELOPER,84403.0,"BOSTON, MA",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,85842.0,"ATLANTA, GA",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,85842.0,"ATLANTA, GA",2021
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,MOBILE APPLICATION DEVELOPER,86700.0,"OKLAHOMA CITY, OK",2021
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,MOBILE APPLICATION DEVELOPER,86700.0,"OKLAHOMA CITY, OK",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,87485.0,"ALPHARETTA, GA",2021
TANGENSIS INC,MOBILE APPLICATION DEVELOPER,87589.0,"AUSTIN, TX",2021
SYSINTELLI INC,MOBILE APPLICATION DEVELOPER,88000.0,"CHICAGO, IL",2021
URSI TECHNOLOGIES INC,MOBILE APPLICATION DEVELOPER,89000.0,"ALPHARETTA, GA",2021
AMEEX TECHNOLOGIES CORP,MOBILE APPLICATION DEVELOPER,90022.0,"HOUSTON, TX",2021
EMONICS LLC,MOBILE APPLICATION DEVELOPER,92477.0,"DENVER, CO",2021
EMONICS LLC,MOBILE APPLICATION DEVELOPER,93558.0,"PLANO, TX",2021
EMONICS LLC,MOBILE APPLICATION DEVELOPER,93558.0,"PLANO, TX",2021
COMPUTEK SOLUTIONS INC,MOBILE APPLICATION DEVELOPER,94037.0,"DALLAS, TX",2021
VARIAN MEDICAL SYSTEMS INC,MOBILE APPLICATION DEVELOPER,95430.0,"PALO ALTO, CA",2021
TEK GIANTS INC,MOBILE APPLICATION DEVELOPER,97406.0,"RESTON, VA",2021
NINFO SYSTEMS INC,MOBILE APPLICATION DEVELOPER,97406.0,"ROCKVILLE, MD",2021
PYCUBE INC,MOBILE APPLICATION DEVELOPER,97406.0,"STERLING, VA",2021
CRAVE INFOTECH LLC,MOBILE APPLICATION DEVELOPER,101000.0,"PISCATAWAY, NJ",2021
CNN IT CORP INC,MOBILE APPLICATION DEVELOPER,101000.0,"SHELTON, CT",2021
EMONICS LLC,MOBILE APPLICATION DEVELOPER,104291.0,"PORTLAND, OR",2021
SYSINTELLI INC,MOBILE APPLICATION DEVELOPER,108000.0,"CHARLOTTE, NC",2021
JOHNSON CONTROLS INC,MOBILE APPLICATION DEVELOPER,115856.0,"MILWAUKEE, WI",2021
NYBBLE TEKSOLUTIONS INC,MOBILE APPLICATION DEVELOPER,120931.0,"SAN FRANCISCO, CA",2021
REMOTE TIGER INC,MOBILE APPLICATION DEVELOPER,122000.0,"EL SEGUNDO, CA",2021
WHATABURGER RESTAURANTS LLC,MOBILE APPLICATION DEVELOPER,127500.0,"SAN ANTONIO, TX",2021
CITY NATIONAL BANK,MOBILE APPLICATION DEVELOPER - IOS,120000.0,"WOODLAND HILLS, CA",2021
CITY NATIONAL BANK,MOBILE APPLICATION DEVELOPER - IOS,120000.0,"LOS ANGELES, CA",2021
CAERUSGLOBAL INC,MOBILE APPLICATION DEVELOPER IV,88800.0,"CHICAGO, IL",2021
PALO ALTO NETWORKS INC,MOBILE APPLICATION ENGINEER,120578.0,"SANTA CLARA, CA",2021
PALO ALTO NETWORKS INC,MOBILE APPLICATION ENGINEER,135000.0,"SEATTLE, WA",2021
NIKE INC,MOBILE APPLICATION ENGINEER III,150000.0,"BEAVERTON, OR",2021
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,MOBILE APPLICATION IOS DEVELOPER,145471.0,"BOSTON, MA",2021
NUROTRON BIOTECHNOLOGY INC,MOBILE APPLICATION SOFTWARE ENGINEER,76920.0,"IRVINE, CA",2021
AVANT SYSTEMS INC,MOBILE APPLICATION TESTER,100526.0,"BETHPAGE, NY",2021
AVANT SYSTEMS INC,MOBILE APPLICATION TESTER,101754.0,"BETHPAGE, NY",2021
TANGENSIS INC,MOBILE APPLICATIONS DEVELOPER,69888.0,"COLLIERVILLE, TN",2021
MIDSYS INC,MOBILE APPLICATIONS DEVELOPER,80829.0,"EAST PEORIA, IL",2021
CENTRAL SERVICE ASSOCIATION,MOBILE APPLICATIONS DEVELOPER,95000.0,"TUPELO, MS",2021
BLUE CROSS &amp; BLUE SHIELD OF MISSISSIPPI,MOBILE APPLICATIONS ENGINEER II,72966.0,"FLOWOOD, MS",2021
BLUE CROSS &amp; BLUE SHIELD OF MISSISSIPPI,MOBILE APPLICATIONS ENGINEER II,72966.0,"FLOWOOD, MS",2021
MUNICIPAL PARKING SERVICES INC,MOBILE APPLICATIONS SOFTWARE DEVELOPER,103500.0,"MINNETONKA, MN",2021
CIRQUETECH GROUP INC,MOBILE APPS DEVELOPER IN-VEHICLE ENTERTAINMENT,79248.0,"FARMINGTON HILLS, MI",2021
AVCO CONSULTING INC,MOBILE APPS ENGINEER,94182.0,"DENVER, CO",2021
ZILLOW INC,"MOBILE APPS ENGINEER, ANDROID",159028.0,"SAN FRANCISCO, CA",2021
ZILLOW INC,"MOBILE APPS ENGINEER, ANDROID",159028.0,"SAN FRANCISCO, CA",2021
OAK TECHNOLOGIES INC,MOBILE APPS VERIFICATION ENGINEER,100000.0,"ANDOVER, MA",2021
PHOTON INFOTECH INC,MOBILE ARCHITECT,93558.0,"DALLAS, TX",2021
PHOTON INFOTECH INC,MOBILE ARCHITECT,95264.0,"CORAOPOLIS, PA",2021
JOSH PROS LLC,MOBILE AUTOMATION ENGINEER,79914.0,"NEW YORK, NY",2021
TEKNATIO INC,MOBILE AUTOMATION ENGINEER,93558.0,"DALLAS, TX",2021
HASHI SOLUTIONS LLC,MOBILE AUTOMATION LEAD ENGINEER,85842.0,"ATLANTA, GA",2021
HASHI SOLUTIONS LLC,MOBILE AUTOMATION LEAD ENGINEER,85842.0,"ALPHARETTA, GA",2021
INTERNATIONAL BUSINESS MACHINES CORPORATION,MOBILE AUTOMATION QUALITY ENGINEER,78000.0,"ATLANTA, GA",2021
INTERNATIONAL BUSINESS MACHINES CORPORATION,MOBILE AUTOMATION QUALITY ENGINEER,78000.0,"BROOKHAVEN, GA",2021
INTERNATIONAL BUSINESS MACHINES CORPORATION,MOBILE AUTOMATION QUALITY ENGINEER,78000.0,"ATLANTA, GA",2021
SRIVEN SYSTEMS INC,MOBILE AUTOMATION TESTER,95100.0,"MOUNT LAUREL, NJ",2021
SRIVEN SYSTEMS INC,MOBILE AUTOMATION TESTER,95100.0,"JACKSONVILLE, FL",2021
ADVITHRI TECHNOLOGIES LLC,MOBILE AUTOMATION TESTER,65000.0,"BENTONVILLE, AR",2021
COLLABERA INC,MOBILE AUTOMATION TESTING ENGINEER,140000.0,"CHANDLER, AZ",2021
CHINA TELECOM (AMERICAS) CORPORATION,MOBILE BUSINESS SPECIALIST,53200.0,"HERNDON, VA",2021
EATEAM INC,MOBILE DEVELOPER,77060.0,"PITTSBURGH, PA",2021
EATEAM INC,MOBILE DEVELOPER,77060.0,"PITTSBURGH, PA",2021
SIERRA BUSINESS SOLUTION LLC,MOBILE DEVELOPER,89960.0,"PLANO, TX",2021
EIGHT ELEVEN GROUP LLC,MOBILE DEVELOPER,130000.0,"CINCINNATI, OH",2021
PROJITECH INC,MOBILE DEVELOPER,60000.0,"CLEVELAND, OH",2021
PROJITECH INC,MOBILE DEVELOPER,60000.0,"CLEVELAND, OH",2021
