Company,Job,Salary,Location,Year
AI CYBER SOLUTIONS INC,SOFTWARE ARCHITECT,67000.0,"TAMPA, FL",2021
E-BASE TECHNOLOGIES INC,SOFTWARE ARCHITECT,71160.0,"ALPHARETTA, GA",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,88120.0,"MT LAUREL, NJ",2021
YOUNGSOFT INC,SOFTWARE ARCHITECT,89120.0,"KATY, TX",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,90320.0,"MT LAUREL, NJ",2021
E-BASE TECHNOLOGIES INC,SOFTWARE ARCHITECT,91880.0,"FREMONT, CA",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,100000.0,"NEWTON, MA",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,100000.0,"NEWTON, MA",2021
INNOVECTURE,SOFTWARE ARCHITECT,104000.0,"PHOENIX, AZ",2021
E-BASE TECHNOLOGIES INC,SOFTWARE ARCHITECT,106660.0,"SAN JOSE, CA",2021
E-BASE TECHNOLOGIES INC,SOFTWARE ARCHITECT,106660.0,"SAN JOSE, CA",2021
ITECH US INC,SOFTWARE ARCHITECT,106740.0,"SMYRNA, TN",2021
BEACON HILL STAFFING GROUP LLC,SOFTWARE ARCHITECT,112000.0,"CHESTNUT HILL, MA",2021
SOMNOMED TECHNOLOGIES INC,SOFTWARE ARCHITECT,120000.0,"TAMPA, FL",2021
GCOM SOFTWARE LLC,SOFTWARE ARCHITECT,122000.0,"ALBANY, NY",2021
COMPUTER AID INC,SOFTWARE ARCHITECT,124000.0,"HARRISBURG, PA",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,126000.0,"NEWTON, MA",2021
WEBIMOTECH LLC,SOFTWARE ARCHITECT,126000.0,"NEWTON, MA",2021
SAANSOL INC,SOFTWARE ARCHITECT,140000.0,"MANTECA, CA",2021
GCOM SOFTWARE LLC,SOFTWARE ARCHITECT,149100.0,"ALBANY, NY",2021
DATASYS CONSULTING &amp; SOFTWARE INC,SOFTWARE ARCHITECT,150000.0,"SAN RAMON, CA",2021
LAKSAN TECHNOLOGIES LLC,SOFTWARE ARCHITECT,150000.0,"CHARLOTTE, NC",2021
COMPUTER AID INC,SOFTWARE ARCHITECT,150000.0,"HARRISBURG, PA",2021
SAANSOL INC,SOFTWARE ARCHITECT,164000.0,"NEWARK, CA",2021
OPTIMA GLOBAL SOLUTIONS INC,SOFTWARE ARCHITECT,64230.0,"LAWRENCEVILLE, NJ",2021
OPTIMA GLOBAL SOLUTIONS INC,SOFTWARE ARCHITECT,65000.0,"LAWRENCEVILLE, NJ",2021
MPHASIS CORPORATION,SOFTWARE ARCHITECT,67163.0,"HOUSTON, TX",2021
MPHASIS CORPORATION,SOFTWARE ARCHITECT,67163.0,"HOUSTON, TX",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,70200.0,"ELLICOTT CITY, MD",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,70200.0,"ELLICOTT CITY, MD",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,73500.0,"WEBSTER, MA",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,73500.0,"WEBSTER, MA",2021
IDEAS2IT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,73840.0,"LAS VEGAS, NV",2021
IDEAS2IT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,73840.0,"LAS VEGAS, NV",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,74010.0,"HAPEVILLE, GA",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,74568.0,"WEBSTER, MA",2021
HINDUJA GLOBAL SOLUTIONS INC,SOFTWARE ARCHITECT,76000.0,"CHICAGO, IL",2021
SGS TECHNOLOGIE LLC,SOFTWARE ARCHITECT,76000.0,"JACKSONVILLE, FL",2021
STEM XPERT LLC,SOFTWARE ARCHITECT,76378.0,"BOISE, ID",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,77418.0,"PLYMOUTH MEETING, PA",2021
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,77854.0,"BOISE, ID",2021
N28 TECHNOLOGIES INC,SOFTWARE ARCHITECT,78562.0,"ISSAQUAH, WA",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,80000.0,"JERSEY CITY, NJ",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,80000.0,"JERSEY CITY, NJ",2021
CRAFTNER INC,SOFTWARE ARCHITECT,80000.0,"HOUSTON, TX",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80164.0,"FRANKLIN, TN",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80164.0,"FRANKLIN, TN",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80164.0,"FRANKLIN, TN",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80330.0,"FRANKLIN, TN",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80330.0,"FRANKLIN, TN",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80538.0,"KANSAS CITY, MO",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,80704.0,"DEARBORN, MI",2021
QUESTPAY INC DBA: V2 TECHNOLOGIES INC,SOFTWARE ARCHITECT,81000.0,"FRANKLIN, TN",2021
V-SOFT CONSULTING GROUP INC,SOFTWARE ARCHITECT,81000.0,"ALBANY, NY",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,81806.0,"TAMPA, FL",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,81806.0,"TAMPA, FL",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,81806.0,"TAMPA, FL",2021
TAX TECHNOLOGIES INC,SOFTWARE ARCHITECT,81806.0,"TAMPA, FL",2021
UST GLOBAL INC,SOFTWARE ARCHITECT,81855.0,"BENTONVILLE, AR",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,81900.0,"ST. PETERSBURG, FL",2021
QUESTPAY INC,SOFTWARE ARCHITECT,82000.0,"TROY, MI",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,83100.0,"COLUMBUS, OH",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,83637.0,"SAINT LOUIS, MO",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,83637.0,"ST. LOUIS, MO",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,83637.0,"OFALLON, MO",2021
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,83900.0,"CHARLOTTE, NC",2021
KAIROS TECHNOLOGIES INC,SOFTWARE ARCHITECT,84000.0,"IRVING, TX",2021
NEC CORPORATION OF AMERICA,SOFTWARE ARCHITECT,85000.0,"IRVING, TX",2021
VALUELABS INC,SOFTWARE ARCHITECT,85040.0,"CHICAGO, IL",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,85488.0,"FORT MILL, SC",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,85842.0,"ALPHARETTA, GA",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,85842.0,"FORT MILL, SC",2021
SMARTSOFT INTERNATIONAL INC,SOFTWARE ARCHITECT,85842.0,"SUWANEE, GA",2021
LARSEN &amp; TOUBRO INFOTECH LIMITED,SOFTWARE ARCHITECT,85842.0,"CHARLOTTE, NC",2021
IQUADRA INFORMATION SERVICES LLC,SOFTWARE ARCHITECT,85842.0,"ATLANTA, GA",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,85842.0,"ATLANTA, GA",2021
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,85842.0,"CUMMING, GA",2021
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,85842.0,"CUMMING, GA",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,85842.0,"ALPHARETTA, GA",2021
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,85850.0,"ALPHARETTA, GA",2021
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,85869.0,"JACKSONVILLE, FL",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,86700.0,"CHANDLER, AZ",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,86700.0,"CHANDLER, AZ",2021
LARSEN &amp; TOUBRO INFOTECH LIMITED,SOFTWARE ARCHITECT,87194.0,"CINCINNATI, OH",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,87500.0,"ATLANTA, GA",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,87500.0,"ALPHARETTA, GA",2021
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,87500.0,"CUMMING, GA",2021
VALUELABS INC,SOFTWARE ARCHITECT,87838.0,"CHICAGO, IL",2021
ITG TECHNOLOGIES INC,SOFTWARE ARCHITECT,87838.0,"CHICAGO, IL",2021
UNIFIED TECH GROUP INC,SOFTWARE ARCHITECT,87838.0,"CHICAGO, IL",2021
TEK EXCEL INC,SOFTWARE ARCHITECT,87838.0,"HOFFMAN ESTATES, IL",2021
TERRA INFORMATION GROUP INC,SOFTWARE ARCHITECT,88000.0,"AURORA, IL",2021
TERRA INFORMATION GROUP INC,SOFTWARE ARCHITECT,88000.0,"AURORA, IL",2021
TERRA INFORMATION GROUP INC,SOFTWARE ARCHITECT,88000.0,"AURORA, IL",2021
TERRA INFORMATION GROUP INC,SOFTWARE ARCHITECT,88000.0,"AURORA, IL",2021
KATALYST TECHNOLOGIES INC,SOFTWARE ARCHITECT,88100.0,"EVANSTON, IL",2021
QUESTPAY INC,SOFTWARE ARCHITECT,88712.0,"EDEN PRAIRIE, MN",2021
INDEGENE INC,SOFTWARE ARCHITECT,89128.0,"PRINCETON, NJ",2021
EVOKE TECHNOLOGIES,SOFTWARE ARCHITECT,89773.0,"WILMINGTON, DE",2021
EVOKE TECHNOLOGIES,SOFTWARE ARCHITECT,89773.0,"WILMINGTON, DE",2021
TRAFIX LLC,SOFTWARE ARCHITECT,90000.0,"ALLEN, TX",2021
TRAFIX LLC,SOFTWARE ARCHITECT,90000.0,"ALLEN, TX",2021
SGS TECHNOLOGIE LLC,SOFTWARE ARCHITECT,90000.0,"BALTIMORE, MD",2021
SGS TECHNOLOGIE LLC,SOFTWARE ARCHITECT,90022.0,"SUGAR LAND, TX",2021
BROADGATE INC,SOFTWARE ARCHITECT,90397.0,"CHICAGO, IL",2021
