Company,Job,Salary,Location,Year
KLA CORPORATION,ARTIFICIAL INTELLIGENCE ENGINEER,107594.0,"ANN ARBOR, MI",2022
SPHERE OF INFLUENCE INC,ARTIFICIAL INTELLIGENCE ENGINEER,120000.0,"MCLEAN, VA",2022
BRANDOPS INC,ARTIFICIAL INTELLIGENCE ENGINEER,121000.0,"AUSTIN, TX",2022
ROCKWELL AUTOMATION INC,ARTIFICIAL INTELLIGENCE ENGINEER,125000.0,"HOUSTON, TX",2022
SENSIA LLC,ARTIFICIAL INTELLIGENCE ENGINEER,125000.0,"HOUSTON, TX",2022
SPHERE OF INFLUENCE INC,ARTIFICIAL INTELLIGENCE ENGINEER,135000.0,"MCLEAN, VA",2022
SCHLUMBERGER TECHNOLOGY CORPORATION,ARTIFICIAL INTELLIGENCE ENGINEER,160030.0,"MENLO PARK, CA",2022
PRO UNLIMITED INC,ARTIFICIAL INTELLIGENCE ENGINEER,170000.0,"SOUTH SAN FRANCISCO, CA",2022
LIMINAL SCIENCES INC,ARTIFICIAL INTELLIGENCE ENGINEER,175000.0,"CAMBRIDGE, MA",2022
ACCENTURE LLP,ARTIFICIAL INTELLIGENCE ENGINEERING MANAGER,188800.0,"SEATTLE, WA",2022
FUTURE OF LIFE INSTITUTE,ARTIFICIAL INTELLIGENCE POLICY RESEARCHER,99682.0,"LOS ANGELES, CA",2022
SHELL GLOBAL SOLUTION (US) INC,ARTIFICIAL INTELLIGENCE RESIDENT,135000.0,"HOUSTON, TX",2022
FRONTIER MEDICINES CORPORATION,ARTIFICIAL INTELLIGENCE SCIENTIST,163342.0,"SOUTH SAN FRANCISCO, CA",2022
INTUITIVE SURGICAL OPERATIONS INC,ARTIFICIAL INTELLIGENCE SOFTWARE ENGINEER,79320.0,"SUNNYVALE, CA",2022
INTUITIVE SURGICAL OPERATIONS INC,ARTIFICIAL INTELLIGENCE SOFTWARE ENGINEER,140000.0,"SUNNYVALE, CA",2022
INTUITIVE SURGICAL OPERATIONS INC,ARTIFICIAL INTELLIGENCE SOFTWARE ENGINEER,140000.0,"SUNNYVALE, CA",2022
OWL PEAK TECHNOLOGIES INC,ARTIFICIAL INTELLIGENCE SOFTWARE ENGINEER,95000.0,"CHARLOTTESVILLE, VA",2022
WELLS FARGO BANK NA,ARTIFICIAL INTELLIGENCE SOLUTIONS CONSULTANT,146682.0,"SAN FRANCISCO, CA",2022
FORD MOTOR COMPANY,AI &amp; COMPUTING RESEARCH ENGINEER,69960.0,"ANN ARBOR, MI",2022
INVOLGIXS INC,AI &amp;ML ANALYTICS PLATFORMS ENGINEER,109283.0,"ISELIN, NJ",2022
UNSUPERVISEDCOM INC,AI AND MACHINE LEARNING - TECHNICAL PRODUCT MANAGE,150000.0,"BROOMFIELD, CO",2022
UNSUPERVISEDCOM INC,AI AND MACHINE LEARNING - TECHNICAL PRODUCT MANAGE,150000.0,"BROOMFIELD, CO",2022
UNSUPERVISEDCOM INC,AI AND MACHINE LEARNING - TECHNICAL PRODUCT MANAGER,150000.0,"BROOMFIELD, CO",2022
UNSUPERVISEDCOM INC,AI AND MACHINE LEARNING - TECHNICAL PRODUCT MANAGER,150000.0,"BROOMFIELD, CO",2022
HEWLETT PACKARD ENTERPRISE COMPANY,AI AND MACHINE LEARNING ENGINEER,175000.0,"AUSTIN, TX",2022
HEWLETT PACKARD ENTERPRISE COMPANY,AI AND MACHINE LEARNING MANAGER,195000.0,"FORT COLLINS, CO",2022
UNSUPERVISEDCOM INC,AI AND MACHINE LEARNING- TECHNICAL PRODUCT MANAGER,150000.0,"BOULDER, CO",2022
GRAPHCORE INC,AI APPLICATION SPECIALIST,214760.0,"PALO ALTO, CA",2022
GRAPHCORE INC,AI APPLICATION SPECIALIST,214760.0,"PALO ALTO, CA",2022
SERVICENOW INC,AI DATA OPERATIONS SPECIALIST,102315.0,"NEWPORT BEACH, CA",2022
SERVICENOW INC,AI DATA OPERATIONS SPECIALIST,146827.0,"SANTA CLARA, CA",2022
MEDTRONIC INC,AI DATA SCIENCE ENGINEER,74963.0,"SAN DIEGO, CA",2022
HACKING MEDICINE INSTITUTE INC,AI ENGINEER,130000.0,"PITTSBURGH, PA",2022
ANTHEM INC,AI ENGINEER,70554.0,"ATLANTA, GA",2022
DASH TECHNOLOGIES INC,AI ENGINEER,86000.0,"DUBLIN, OH",2022
KALIBER LABS INC,AI ENGINEER,104291.0,"SAN FRANCISCO, CA",2022
KALIBER LABS INC,AI ENGINEER,104291.0,"SAN FRANCISCO, CA",2022
ACTIVISION PUBLISHING INC,AI ENGINEER,120000.0,"WOODLAND HILLS, CA",2022
MATROID INC,AI ENGINEER,144000.0,"PALO ALTO, CA",2022
IBM CORPORATION,AI ENGINEER,158624.0,"CAMBRIDGE, MA",2022
AIRA TECHNOLOGIES INC,AI ENGINEER,160000.0,"SARATOGA, CA",2022
MATROID INC,AI ENGINEER,165000.0,"PALO ALTO, CA",2022
MYOME INC,AI ENGINEER,220000.0,"ALAMO, CA",2022
IQVIA INC,AI ENGINEER 1,90440.0,"WAYNE, PA",2022
IQVIA INC,AI ENGINEER 1,123586.0,"DURHAM, NC",2022
IQVIA INC,AI ENGINEER 2,123586.0,"DURHAM, NC",2022
ELECTRONIC ARTS INC,AI ENGINEER II,137000.0,"REDWOOD CITY, CA",2022
ELECTRONIC ARTS INC,AI ENGINEER II,140000.0,"REDWOOD CITY, CA",2022
FCA US LLC,AI GROUND TRUTH CREATION ENGINEER,130008.0,"AUBURN HILLS, MI",2022
SCHNEIDER ELECTRIC USA INC,AI INDUSTRY CONSULTANT,132434.0,"BOSTON, MA",2022
MOVEWORKS INC,AI INSIGHTS ANALYST,125000.0,"AUSTIN, TX",2022
WINDHAM BRANNON LLC,AI MACHINE LEARNING ENGINEER,100000.0,"ARLINGTON, VA",2022
ACE AMERICAN INSURANCE COMPANY,AI MACHINE LEARNING ENGINEER,150000.0,"PHILADELPHIA, PA",2022
HEWLETT PACKARD ENTERPRISE COMPANY,AI MACHINE LEARNING ENGINEER,190000.0,"CHESTERBROOK, PA",2022
SIMON-KUCHER &amp; PARTNERS STRATEGY &amp; MARKETING CONSULTANTS LLC,AI MACHINE LEARNING ENGINEER 2,135000.0,"NEW YORK, NY",2022
ANTHEM INC,AI MACHINE LEARNING SCIENTIST,83470.0,"CHICAGO, IL",2022
ELEVANCE HEALTH INC,AI MACHINE LEARNING SCIENTIST,85197.0,"CHICAGO, IL",2022
RYZEN SOLUTIONS,AI ML CONSULTANT,180000.0,"CUPERTINO, CA",2022
AKSCELLENCE INFO SOLUTIONS LLC,AI ML CONSULTANT,83408.0,"MADISON, WI",2022
ADECCO GROUP NA/MODIS INC,AI ML DATA INFRASTRUCTURE ENGINEER,130000.0,"SAN JOSE, CA",2022
DEMATIC CORP,AI ML DATA SCIENTIST,60000.0,"ATLANTA, GA",2022
DEMATIC CORP,AI ML DATA SCIENTIST,75000.0,"TULSA, OK",2022
PEDIATRIC ASSOCIATES PA,AI ML DATA SCIENTIST II,94078.0,"IRVINE, CA",2022
PEDIATRIC ASSOCIATES PA,AI ML DATA SCIENTIST II,99091.0,"SAN FRANCISCO, CA",2022
INFORMATICA LLC,AI ML ENGINEER,67995.0,"TEMPE, AZ",2022
FORD MOTOR COMPANY,AI ML ENGINEER,75420.0,"FARMINGTON HILLS, MI",2022
FORD MOTOR COMPANY,AI ML ENGINEER,75420.0,"BATH, MI",2022
AI RANDOMTREES LLC,AI ML ENGINEER,92685.0,"HOUSTON, TX",2022
INFORMATICA LLC,AI ML ENGINEER,98779.0,"REDWOOD CITY, CA",2022
INFORMATICA LLC,AI ML ENGINEER,121763.0,"REDWOOD CITY, CA",2022
INSURANCE SERVICES OFFICE INC,AI ML ENGINEER,126690.0,"JERSEY CITY, NJ",2022
INFORMATICA LLC,AI ML ENGINEER,130894.0,"SUNNYVALE, CA",2022
ROOTS AUTOMATION INC,AI ML ENGINEER,145454.0,"NEW YORK, NY",2022
TIGEREYE LABS INC,AI ML ENGINEER,200000.0,"SAN DIEGO, CA",2022
SNOWSTACK LLC,AI ML ENGINEER - SPECIALIST,90420.0,"PLANO, TX",2022
GLAXOSMITHKLINE LLC,AI ML ENGINEER NLP,121763.0,"SOUTH SAN FRANCISCO, CA",2022
TIGERGRAPH INC,AI ML PLATFORM ENGINEER,130000.0,"BELLEVUE, WA",2022
FORD MOTOR COMPANY,AI ML PRODUCT MANAGER - MLOPS,105420.0,"SAINT LOUIS, MO",2022
AVCO CONSULTING INC,AI ML PRODUCT OWNER  INFORMATION TECHNOLOGY PROJECT MANAGER,100000.0,"MERCER ISLAND, WA",2022
AVCO CONSULTING INC,AI ML PRODUCT OWNER  IT PROJECT MANAGER,100000.0,"MERCER ISLAND, WA",2022
MOURI TECH LLC,AI ML PROGRAMMER,100000.0,"IRVING, TX",2022
NOKIA OF AMERICA CORPORATION,AI ML REGRESSION SPECIALIST,125445.0,"NAPERVILLE, IL",2022
FRONTIER MEDICINES CORPORATION,AI ML RESEARCH SCIENTIST,131000.0,"SOUTH SAN FRANCISCO, CA",2022
APPLE INC,"AI ML Ã¢ÂÂ ML PLATFORM ENGINEER, SIRI AND LANGUAGE TECHNOLOGIES",147000.0,"CUPERTINO, CA",2022
DEMATIC CORP,AI OPTIMIZATION ENGINEER,59238.0,"ATLANTA, GA",2022
DEMATIC CORP,AI OPTIMIZATION ENGINEER,86507.0,"ATLANTA, GA",2022
DEMATIC CORP,AI OPTIMIZATION ENGINEER,95264.0,"NEWARK, DE",2022
CAMPAIGN COMPLETE LLC,AI PROGRAMMER,60341.0,"DENVER, CO",2022
CAMPAIGN COMPLETE LLC,AI PROJECTS MANAGER,100000.0,"DENVER, CO",2022
JPMORGAN CHASE &amp; CO,AI RESEARCH ASSOCIATE,130425.0,"NEW YORK, NY",2022
FORD MOTOR COMPANY,AI RESEARCH ENGINEER,90022.0,"WESTLAND, MI",2022
MENDEL HEALTH INC,AI RESEARCH ENGINEER,130000.0,"SAN JOSE, CA",2022
MENDEL HEALTH INC,AI RESEARCH ENGINEER,140000.0,"SAN JOSE, CA",2022
MENDEL HEALTH INC,AI RESEARCH ENGINEER,140000.0,"SAN JOSE, CA",2022
MENDEL HEALTH INC,AI RESEARCH ENGINEER,140000.0,"BROOKLYN, NY",2022
ELEMENTAL COGNITION INC,AI RESEARCH ENGINEER,164070.0,"NEW YORK, NY",2022
ELEMENTAL COGNITION INC,AI RESEARCH ENGINEER,164070.0,"NEW YORK, NY",2022
DUOLINGO INC,AI RESEARCH ENGINEER,210000.0,"PITTSBURGH, PA",2022
DUOLINGO INC,AI RESEARCH ENGINEER,210000.0,"PITTSBURGH, PA",2022
EDUCATIONAL TESTING SERVICE,AI RESEARCH LAB-DATA ENGINEER,85218.0,"PRINCETON, NJ",2022
BLUE WAVE CAPITAL AND CONSULTING LLC,AI RESEARCH SCIENTIST,72000.0,"WEST LAFAYETTE, IN",2022
LATENTAI INC,AI RESEARCH SCIENTIST,120000.0,"SKILLMAN, NJ",2022
LATENTAI INC,AI RESEARCH SCIENTIST,120000.0,"SKILLMAN, NJ",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,160000.0,"SEATTLE, WA",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,168000.0,"SEATTLE, WA",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,168000.0,"SUNNYVALE, CA",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,168000.0,"SUNNYVALE, CA",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,169281.0,"MENLO PARK, CA",2022
META PLATFORMS INC,AI RESEARCH SCIENTIST,200000.0,"MENLO PARK, CA",2022
TWO SIGMA INVESTMENTS LP,AI RESEARCH SCIENTIST,215000.0,"NEW YORK, NY",2022
PROSCIA INC,AI SCIENTIST,110000.0,"PHILADELPHIA, PA",2022
PROSCIA INC,AI SCIENTIST,110000.0,"PHILADELPHIA, PA",2022
ELECTRONIC ARTS INC,AI SCIENTIST,168000.0,"REDWOOD CITY, CA",2022
ELECTRONIC ARTS INC,AI SCIENTIST,168000.0,"REDWOOD CITY, CA",2022
ELECTRONIC ARTS INC,AI SCIENTIST,168000.0,"REDWOOD CITY, CA",2022
ELECTRONIC ARTS INC,AI SCIENTIST,168000.0,"REDWOOD CITY, CA",2022
FCA US LLC,AI SENSING ARCHITECTURE &amp; DATA ACQUISITION ENGINEER,110009.0,"AUBURN HILLS, MI",2022
CAMPAIGN COMPLETE LLC,AI SOFTWARE ARCHITECT,100000.0,"DENVER, CO",2022
CAMPAIGN COMPLETE LLC,AI SOFTWARE ARCHITECT,100000.0,"|DENVER, CO",2022
CAMPAIGN COMPLETE LLC,AI SOFTWARE ARCHITECT,100000.0,"DENVER, CO",2022
GEN NINE INC,AI SOFTWARE ENGINEER,65811.0,"COVINGTON, KY",2022
JUJI INC,AI SOFTWARE ENGINEER,104291.0,"SUNNYVALE, CA",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,120328.0,"BOSTON, MA",2022
DELTA AIR LINES INC,AI SOFTWARE ENGINEER,125000.0,"EAGAN, MN",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,132000.0,"BETHESDA, MD",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,132000.0,"BOSTON, MA",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,132000.0,"LOS ANGELES, CA",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,132000.0,"NEW YORK, NY",2022
THE BOSTON CONSULTING GROUP INC,AI SOFTWARE ENGINEER,132000.0,"DENVER, CO",2022
HUMAN MODE LLC,AI SOFTWARE ENGINEER II,106059.0,"OKLAHOMA CITY, OK",2022
TRANSPERFECT TRANSLATIONS INTERNATIONAL INC,AI SOLUTIONS ENGINEER,70000.0,"NEW YORK, NY",2022
META PLATFORMS INC,AI SPECIALIST,248000.0,"REDMOND, WA",2022
DATAROBOT INC,AI SUCCESS MANAGER,160000.0,"MARLTON, NJ",2022
DATAROBOT INC,AI SUCCESS MANAGER,160000.0,"MARLTON, NJ",2022
DATAROBOT INC,AI SUPPORT ENGINEER,88608.0,"BOSTON, MA",2022
DATAROBOT INC,AI SUPPORT ENGINEER,99750.0,"BOSTON, MA",2022
RAZORTHINK INC,AI TECHNICAL PROGRAM MANAGER,160000.0,"MOUNTAIN HOUSE, CA",2022
THE COLLEGE OF WILLIAM AND MARY,AIDDATA PROGRAM MANAGER TUFF,60000.0,"WILLIAMSBURG, VA",2022
THE COLLEGE OF WILLIAM AND MARY,AIDDATA PROGRAM MANAGER TUFF,65000.0,"WILLIAMSBURG, VA",2022
THE STRAWHECKER GROUP LLC,AIM SOFTWARE ENGINEER,69035.0,"OMAHA, NE",2022
