Company,Job,Salary,Location,Year
SIEMENS MOBILITY INC,DATA ANALYSIS &amp; SIMULATION PROFESSIONAL,141960.0,"ALPHARETTA, GA",2022
E INK CORPORATION,DATA ANALYSIS &amp; TEST ENGINEER ENGINEER II,78500.0,"BILLERICA, MA",2022
GENWORTH NORTH AMERICA CORPORATION,DATA ANALYSIS AND MODELING MANAGER,140000.0,"RICHMOND, VA",2022
SIEMENS MEDICAL SOLUTIONS USA INC,DATA ANALYSIS AND SIMULATION PROFESSIONAL 2,92830.0,"CARY, NC",2022
RSA TECH GROUP LLC,DATA ANALYSIS DEVELOPER,94037.0,"HENRICO, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,71469.0,"PLANO, TX",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,72862.0,"RICHMOND, VA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,74963.0,"PLANO, TX",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,74963.0,"PLANO, TX",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,74963.0,"PLANO, TX",2022
CAPITAL ONE NATIONAL ASSOCIATION,DATA ANALYSIS MANAGER,76294.0,"BOSTON, MA",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,78021.0,"CHICAGO, IL",2022
CISCO SYSTEMS INC,DATA ANALYSIS MANAGER,86700.0,"APEX, NC",2022
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,87714.0,"MCLEAN, VA",2022
