Company,Job,Salary,Location,Year
SUPERNAL LLC,EMBEDDED APPLICATIONS SOFTWARE ENGINEER,133120.0,"IRVINE, CA",2023
ANU SOFTWARE CONSULTANTS INC,EMBEDDED AUTOMATION SOFTWARE TEST ENGINEER,84000.0,"ANN ARBOR, MI",2023
FREUDENBERG BATTERY POWER SYSTEMS LLC,EMBEDDED BATTERY ALGORITHM ENGINEER,101275.0,"AUBURN HILLS, MI",2023
YASKAWA AMERICA INC,EMBEDDED CONTROL SOFTWARE ENGINEER,112986.0,"LAWRENCE, MA",2023
LHP ENGINEERING SOLUTIONS LLC,EMBEDDED CONTROLS ENGINEER,72100.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,76000.0,"SEYMOUR, IN",2023
LHP ENGINEERING SOLUTIONS LLC,EMBEDDED CONTROLS ENGINEER,76378.0,"ROYAL OAK, MI",2023
LHP ENGINEERING SOLUTIONS LLC,EMBEDDED CONTROLS ENGINEER,80031.0,"COLUMBUS, IN",2023
LHP ENGINEERING SOLUTIONS LLC,EMBEDDED CONTROLS ENGINEER,80892.0,"AUBURN HILLS, MI",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,83491.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,83783.0,"COLUMBUS, IN",2023
LHP ENGINEERING SOLUTIONS LLC,EMBEDDED CONTROLS ENGINEER,85062.0,"WEST BLOOMFIELD, MI",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,86000.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,90000.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,90000.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,90000.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,93000.0,"COLUMBUS, IN",2023
LER TECHFORCE LLC,EMBEDDED CONTROLS ENGINEER,100000.0,"WEST SACRAMENTO, CA",2023
DEERE AND COMPANY,EMBEDDED CONTROLS ENGINEER,100000.0,"ANKENY, IA",2023
GENERAL MOTORS COMPANY,EMBEDDED CONTROLS SOFTWARE ENGINEER,107100.0,"MILFORD, MI",2023
FORD MOTOR COMPANY,EMBEDDED CONTROLS SOFTWARE ENGINEER,123781.0,"DEARBORN, MI",2023
FORD MOTOR COMPANY,EMBEDDED CONTROLS SOFTWARE ENGINEER,123781.0,"DEARBORN, MI",2023
FORD MOTOR COMPANY,EMBEDDED CONTROLS SOFTWARE ENGINEER,123781.0,"DEARBORN, MI",2023
CONTROL-TEC LLC,EMBEDDED CYBERSECURITY ENGINEER,124080.0,"TROY, MI",2023
AAA VIRGINIA CONSULTING INC,EMBEDDED ENGINEER,76000.0,"AUBURN HILLS, MI",2023
COMPASS INC,EMBEDDED ENGINEER,92000.0,"ANN ARBOR, MI",2023
COMPASS INC,EMBEDDED ENGINEER,95200.0,"PLANO, TX",2023
VARA CORPORATION,EMBEDDED ENGINEER,69430.0,"TROY, NY",2023
VARA CORPORATION,EMBEDDED ENGINEER,69430.0,"TROY, NY",2023
TEK LABS INC,EMBEDDED ENGINEER,81203.0,"FARMINGTON HILLS, MI",2023
ACEQUEST CORPORATION,EMBEDDED ENGINEER,85197.0,"PISCATAWAY, NJ",2023
TATA TECHNOLOGIES INC,EMBEDDED ENGINEER,85500.0,"DETROIT, MI",2023
TATA TECHNOLOGIES INC,EMBEDDED ENGINEER,85500.0,"DETROIT, MI",2023
TATA TECHNOLOGIES INC,EMBEDDED ENGINEER,85500.0,"DETROIT, MI",2023
TATA TECHNOLOGIES INC,EMBEDDED ENGINEER,85500.0,"DETROIT, MI",2023
INFOMATICS INC,EMBEDDED ENGINEER,86445.0,"GREENWOOD VILLAGE, CO",2023
VOLANSYS LLC,EMBEDDED ENGINEER,101700.0,"CHICAGO, IL",2023
AQUATIC AV INC,EMBEDDED ENGINEER,101774.0,"SAN JOSE, CA",2023
ATLIS MOTOR VEHICLES LLC,EMBEDDED ENGINEER,115856.0,"MESA, AZ",2023
EINFOCHIPS INC,EMBEDDED ENGINEER,123600.0,"BENTON HARBOR, MI",2023
CALSOFT LABS INC,EMBEDDED ENGINEER,129000.0,"SAN JOSE, CA",2023
CALSOFT LABS INC,EMBEDDED ENGINEER,129000.0,"SAN JOSE, CA",2023
EINFOCHIPS INC,EMBEDDED ENGINEER,140000.0,"PEACHTREE CITY, GA",2023
EINFOCHIPS INC,EMBEDDED ENGINEER,140000.0,"AUSTIN, TX",2023
EINFOCHIPS INC,EMBEDDED ENGINEER,150200.0,"FRAMINGHAM, MA",2023
SUNPOWER CORPORATION SYSTEMS,EMBEDDED ENGINEER,160000.0,"AUSTIN, TX",2023
REACH POWER INC,EMBEDDED ENGINEER,165000.0,"REDWOOD CITY, CA",2023
EINFOCHIPS INC,EMBEDDED ENGINEER,179910.0,"CALABASAS, CA",2023
METHODICA TECHNOLOGIES LLC,EMBEDDED ENGINEER HIL ADAS,79186.0,"ALLEN PARK, MI",2023
BOSE CORPORATION,EMBEDDED ENGINEER II,112986.0,"FRAMINGHAM, MA",2023
WHOOP INC,EMBEDDED ENGINEER II,130000.0,"BOSTON, MA",2023
WHOOP INC,EMBEDDED ENGINEER II,130000.0,"BOSTON, MA",2023
METHODICA TECHNOLOGIES LLC,EMBEDDED ENGINEER-ADAS HIL,79186.0,"HAMTRAMCK, MI",2023
MUTEX SYSTEMS INC,EMBEDDED ENGINER,110000.0,"WILTON, CT",2023
THE EVOLVERS GROUP LP,EMBEDDED FIRMWARE ENGINEER,96000.0,"FRISCO, TX",2023
ENPHASE ENERGY INC,EMBEDDED FIRMWARE ENGINEER,80000.0,"AUSTIN, TX",2023
SENSATA TECHNOLOGIES INC,EMBEDDED FIRMWARE ENGINEER,93150.0,"NEW YORK, NY",2023
SUSASH CONSULTING SERVICES LLC,EMBEDDED FIRMWARE ENGINEER,95000.0,"VERNON HILLS, IL",2023
CAVNUE LLC,EMBEDDED FIRMWARE ENGINEER,140000.0,"MOUNTAIN VIEW, CA",2023
CAVNUE LLC,EMBEDDED FIRMWARE ENGINEER,145000.0,"MOUNTAIN VIEW, CA",2023
TECH MATRIX INC,EMBEDDED FIRMWARE ENGINEERÃÂ ,72360.0,"BLUE ASH, OH",2023
SIBYLLINE AMERICAS INC,EMBEDDED INTELLIGENCE ANALYST,100000.0,"SPRINGFIELD, VA",2023
MINDLANCE INC,EMBEDDED MACHINE CONTROL ENGINEER,100526.0,"MASON, OH",2023
DEKA RESEARCH &amp; DEVELOPMENT CORP,EMBEDDED MACHINE LEARNING ENGINEER,85000.0,"MANCHESTER, NH",2023
BEACON HILL STAFFING GROUP LLC,EMBEDDED NETWORK ENGINEER,107000.0,"GREENWOOD VILLAGE, CO",2023
CATERPILLAR INC,EMBEDDED PRODUCT ANALYTICS ENGINEER SPECIALIST,94411.0,"CHILLICOTHE, IL",2023
ANALOG DEVICES INC,EMBEDDED PRODUCT SECURITY ASSURANCE ENGINEER,125000.0,"BOSTON, MA",2023
SIGMA CONNECTIVITY INC,EMBEDDED R&amp;D FIRMWARE ENGINEER,162000.0,"CARLSBAD, CA",2023
SIBYLLINE AMERICAS INC,EMBEDDED RADIO SYSTEMS PROJECT MANAGER,86510.0,"SEATTLE, WA",2023
ROBERT BOSCH LLC,EMBEDDED SECURITY ENGINEER,123000.0,"FARMINGTON HILLS, MI",2023
SRS CONSULTING INC,EMBEDDED SECURITY ENGINEER,150000.0,"SAN FRANCISCO, CA",2023
VALSOC SEMICONDUCTOR USA LLC,EMBEDDED SOFTWARE,99000.0,"ORLANDO, FL",2023
BELCAN SERVICES GROUP LIMITED PARTNERSHIP,EMBEDDED SOFTWARE ENGINEER,57160.0,"ST. LOUIS, MO",2023
BRIDGETOWN CONSULTING GROUP INC,EMBEDDED SOFTWARE ENGINEER,78600.0,"BUFFALO GROVE, IL",2023
KELLY SERVICES INC,EMBEDDED SOFTWARE ENGINEER,79800.0,"BAY CITY, MI",2023
