Company,Job,Salary,Location,Year
RECAR LLC,FRONT CAMERA MODULE RELEASE ENGINEER,115000.0,"TROY, MI",2023
HIGHGATE HOTELS LP,FRONT DESK AGENT,28000.0,"KEY WEST, FL",2023
TRAVERSE CITY 31N INN AND SUITES LLC,FRONT DESK HOSPITALITY,26000.0,"TRAVERSE CITY, MI",2023
HOTEL NIKKO OF SAN FRANCISCO INC,FRONT DESK MANAGER,70021.0,"SAN FRANCISCO, CA",2023
3001 ATLANTIC LLC,FRONT DESK SUPERVISOR,34500.0,"VIRGINIA BEACH, VA",2023
3001 ATLANTIC LLC,FRONT DESK SUPERVISOR,34500.0,"VIRGINIA BEACH, VA",2023
THE HUNTINGTON NATIONAL BANK,FRONT END ANGULAR DEVELOPER,120000.0,"ROUND ROCK, TX",2023
SOCIONEXT AMERICA INC,FRONT END ASIC DESIGN ENGINEER,141440.0,"MILPITAS, CA",2023
IBM CORPORATION,FRONT END CONSULTANT AND SALES FORCE,106891.0,"TITUSVILLE, NJ",2023
ALTAIR ENGINEERING INC,FRONT END DEVELOPER,66840.0,"TROY, MI",2023
SYNMETA LLC,FRONT END DEVELOPER,91660.0,"SAINT LOUIS PARK, MN",2023
SYNMETA LLC,FRONT END DEVELOPER,91660.0,"MINNEAPOLIS, MN",2023
PRO-TEK CONSULTING,FRONT END DEVELOPER,93580.0,"SOUTHGATE, MI",2023
CLOUDSPACE LLC,FRONT END DEVELOPER,95100.0,"SCHAUMBURG, IL",2023
RESOURCESOFT INC,FRONT END DEVELOPER,99220.0,"SMITHFIELD, RI",2023
TEKSERVS CONS LTD CO,FRONT END DEVELOPER,101600.0,"CELINA, TX",2023
SHOOLIN INC,FRONT END DEVELOPER,104000.0,"HARRISBURG, PA",2023
PRO-TEK CONSULTING,FRONT END DEVELOPER,127760.0,"OAKLAND, CA",2023
VIGNA INC,FRONT END DEVELOPER,65000.0,"MINNETONKA, MN",2023
ALBION COLLEGE,FRONT END DEVELOPER,67891.0,"ALBION, MI",2023
TECHZON INC,FRONT END DEVELOPER,68848.0,"PLANO, TX",2023
EVERSANA LIFE SCIENCE SERVICES LLC,FRONT END DEVELOPER,70000.0,"PLANO, TX",2023
MAMSYS CONSULTING SERVICES LTD,FRONT END DEVELOPER,75000.0,"SOLON, OH",2023
MAMSYS CONSULTING SERVICES LTD,FRONT END DEVELOPER,75000.0,"SOLON, OH",2023
REHABILITATION INSTITUTE OF CHICAGO,FRONT END DEVELOPER,78312.0,"CHICAGO, IL",2023
