EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
GLOBAL FORCE USA INC	QA  AUTOMATION TEST ENGINEER	100,000	SAN ANTONIO, TX	06/16/2023	10/01/2023
GLOBEX IT SOLUTIONS INC	QA  GUIDEWIRE ENGINEER	99,549	SOUTH PLAINFIELD, NJ	08/09/2023	08/17/2023
PROJECT MANAGEMENT INSTITUTE INC	QA & AUTOMATION ARCHITECT	168,000	WEST CHESTER, PA	04/19/2023	10/16/2023
PROJECT MANAGEMENT INSTITUTE INC	QA & AUTOMATION ENGINEER III	156,818	WEST CHESTER, PA	09/08/2023	02/08/2024
SATURN INFOSYSTEMS LLC	QA & TEST ENGINEER	90,000	CARY, NC	05/25/2023	10/02/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING ADVISOR	92,455	NORTHLAKE, TX	07/12/2023	08/21/2023
EVICORE HEALTHCARE MSI LLC	QA & TESTING ADVISOR	101,109	FRANKLIN, TN	02/06/2023	03/20/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING ADVISOR	124,800	MORRIS PLAINS, NJ	09/11/2023	02/15/2024
CIGNA-EVERNORTH SERVICES INC	QA & TESTING ADVISOR	127,000	VOORHEES, NJ	01/26/2023	03/20/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING LEAD ANALYST	93,329	SANTA MONICA, CA	03/28/2023	04/17/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	111,142	BLOOMFIELD, CT	01/27/2023	03/20/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	115,000	BLOOMFIELD, CT	07/12/2023	08/21/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	119,180	CONCORD, CA	03/20/2023	04/01/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	125,403	CARY, NC	01/20/2023	02/27/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	125,486	AUSTIN, TX	09/22/2023	10/16/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	126,684	AUSTIN, TX	08/09/2023	09/06/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	134,875	PARSIPPANY, NJ	05/02/2023	10/01/2023
CIGNA-EVERNORTH SERVICES INC	QA & TESTING SENIOR ADVISOR	136,269	BLOOMFIELD, CT	04/18/2023	05/15/2023
EVICORE HEALTHCARE MSI LLC	QA & TESTING SENIOR ANALYST	87,568	FRANKLIN, TN	02/23/2023	08/03/2023
BABATEK INC	QA & VALIDATION ENGINEER	97,053	NORTH BRUNSWICK, NJ	05/24/2023	10/01/2023
KR ELIXIR INC	QA - LEAD	140,000	ALPHARETTA, GA	03/03/2023	03/13/2023
CITIUSTECH INC	QA - MANAGER	107,700	TAYLORSVILLE, UT	06/20/2023	07/03/2023
SQUAD SOFTWARE INC	QA - TEST AUTOMATION ENGINEER	74,381	IRVING, TX	03/14/2023	03/27/2023
SIRI INFOSOLUTIONS INC	QA - TEST AUTOMATION ENGINEER MID	105,000	IRVING, TX	07/13/2023	07/24/2023
I3 INFOTEK INC	QA ADMINISTRATOR	77,000	NORWOOD, MA	06/12/2023	10/01/2023
I3 INFOTEK INC	QA ADMINISTRATOR	94,000	NORWOOD, MA	06/12/2023	10/01/2023
ORDERMYGEAR LLC	QA ANALYSIS AND TEST ENGINEER	90,000	CHANDLER, OK	05/01/2023	10/01/2023
ALTEXT INC	QA ANALYST	60,200	BLOOMINGTON, IL	01/13/2023	01/13/2023
SKY TECH SERVICES INC	QA ANALYST	60,960	PRINCETON, NJ	06/14/2023	10/01/2023
CADAN CORPORATION	QA ANALYST	63,400	EAGAN, MN	05/26/2023	10/01/2023
PHOTON INFOTECH INC	QA ANALYST	72,000	PLANO, TX	05/03/2023	10/01/2023
SNOWSTACK LLC	QA ANALYST	72,340	AUSTIN, TX	06/07/2023	06/12/2023
SCIENTIA SYSTEMS LLC	QA ANALYST	74,480	QUINCY, MA	05/11/2023	05/11/2023
SPLINT PHARMA LLC	QA ANALYST	80,500	AUSTIN, TX	07/31/2023	10/01/2023
AKSHAYA INC	QA ANALYST	80,700	REDMOND, WA	05/16/2023	10/01/2023
XCEED TECHNOLOGIES INC	QA ANALYST	84,000	WESTCHESTER, IL	07/27/2023	07/27/2023
TEXPERTS INC	QA ANALYST	84,000	MCLEAN, VA	05/15/2023	05/22/2023
LOGICAL PARADIGM LLC	QA ANALYST	84,000	HENDON, VA	05/19/2023	05/19/2023
MAK TECHNOLOGIES LLC	QA ANALYST	86,280	RALEIGH, NC	01/06/2023	01/06/2023
IT DIVISION INC	QA ANALYST	90,000	MINNEAPOLIS, MN	08/08/2023	08/16/2023
INABIA SOFTWARE AND CONSULTING INC	QA ANALYST	90,000	BELLEVUE, WA	07/10/2023	07/17/2023
INABIA SOFTWARE AND CONSULTING INC	QA ANALYST	90,000	BELLEVUE, WA	06/16/2023	07/10/2023
SCIENTIA SYSTEMS LLC	QA ANALYST	90,160	QUINCY, MA	03/23/2023	04/01/2023
SCIENTIA SYSTEMS LLC	QA ANALYST	90,160	QUINCY, MA	03/10/2023	04/01/2023
MICHAEL CLARKE LLC	QA ANALYST	90,340	MORRISVILLE, NC	01/04/2023	07/06/2023
XCELTECH INC	QA ANALYST	92,000	BOSTON, MA	04/21/2023	05/01/2023
ANAGH TECHNOLOGIES INC	QA ANALYST	94,000	WOODBRIDGE, NJ	03/13/2023	03/13/2023
BEACON HILL STAFFING GROUP LLC	QA ANALYST	95,200	CONCORD, NC	06/20/2023	07/03/2023
TEKSKILLS INC	QA ANALYST	95,720	PRINCETON, NJ	09/01/2023	10/01/2023
NUWARE TECH CORP	QA ANALYST	96,000	ISELIN, NJ	09/14/2023	10/01/2023
SUDHI INFOMATICS INC	QA ANALYST	96,000	WAKEFIELD, MA	02/03/2023	02/20/2023
SUDHI INFOMATICS INC	QA ANALYST	96,000	WAKEFIELD, MA	02/03/2023	02/20/2023
SUDHI INFOMATICS INC	QA ANALYST	96,000	WAKEFIELD, MA	02/03/2023	02/20/2023
ASTA CRS INC	QA ANALYST	102,920	ISSAQUAH, WA	03/23/2023	08/24/2023
ASTIR TECHNOLOGIES LLC	QA ANALYST	60,000	DALLAS, TX	04/14/2023	04/21/2023
ASTIR TECHNOLOGIES LLC	QA ANALYST	60,000	DALLAS, TX	04/14/2023	04/21/2023
